time,open,high,low,close,volume
2021-08-04,61.62,61.62,50.37,61.57,197900
2021-08-05,61.57,61.57,55.31,57.7,227117
2021-08-06,57.7,57.7,55.99,57.22,155200
2021-08-09,56.24,56.73,52.81,54.48,135600
2021-08-10,54.38,54.48,52.86,53.94,133906
2021-08-11,53.3,56.19,53.3,55.41,180500
2021-08-12,55.26,55.75,53.79,53.79,115900
2021-08-13,54.28,57.17,52.33,53.16,166700
2021-08-16,55.21,55.21,52.08,53.69,45200
2021-08-17,53.69,54.04,52.08,53.6,98502
2021-08-18,52.81,53.99,52.08,52.33,32000
2021-08-19,52.81,53.21,51.2,52.08,24700
2021-08-20,52.08,52.28,49.39,51.25,20600
2021-08-23,48.41,53.25,48.41,51.05,28302
2021-08-24,52.72,52.72,48.9,50.81,17200
2021-08-25,51.15,51.3,48.9,50.37,49600
2021-08-26,50.61,50.61,48.85,50.03,20500
2021-08-27,48.66,49.88,48.41,49.88,18900
2021-08-30,49.39,51.35,49.39,50.86,47500
2021-08-31,51.35,51.84,50.86,51.84,54600
2021-09-01,51.35,51.54,51.25,51.54,77200
2021-09-06,51.49,51.59,50.86,51.49,43801
2021-09-07,51.84,51.84,51.1,51.74,34900
2021-09-08,51.59,52.23,51.49,52.08,37500
2021-09-09,52.08,53.5,51.84,53.45,101300
2021-09-10,54.28,56.19,53.45,55.75,145500
2021-09-13,55.75,56.73,55.26,56.09,96300
2021-09-14,56.24,56.97,55.75,56.68,83200
2021-09-15,56.48,57.17,54.77,57.02,127100
2021-09-16,56.58,57.61,56.24,56.87,94900
2021-09-17,57.22,63.57,56.73,58.44,113700
2021-09-20,58.29,58.93,57.22,57.22,73800
2021-09-21,58.19,58.93,57.7,58.54,55100
2021-09-22,49.88,61.32,49.88,57.75,45900
2021-09-23,56.73,58.68,56.73,58.29,79300
2021-09-24,53.79,58.93,49.88,58.14,51206
2021-09-27,58.19,58.63,57.7,57.8,67700
2021-09-28,56.73,58.63,56.73,57.66,56600
2021-09-29,56.97,57.66,56.97,57.36,66300
2021-09-30,56.73,58.39,56.24,57.66,64710
2021-10-01,57.7,58.24,56.73,57.56,55600
2021-10-04,57.85,58.14,57.22,57.75,66500
2021-10-05,57.7,58.0,57.22,57.9,63500
2021-10-06,56.24,57.95,56.24,57.07,82200
2021-10-07,56.73,58.19,56.73,57.12,89200
2021-10-08,57.22,57.41,56.38,56.73,80200
2021-10-11,56.73,57.61,56.48,57.41,78000
2021-10-12,57.12,57.51,56.24,56.58,51400
2021-10-13,56.73,57.51,56.24,56.34,53102
2021-10-14,56.73,57.22,56.24,56.58,45700
2021-10-15,56.48,56.97,55.26,55.94,52700
2021-10-18,55.99,56.24,55.11,55.11,48400
2021-10-19,55.26,59.66,54.77,55.65,74701
2021-10-20,55.5,55.94,55.26,55.75,54600
2021-10-21,55.65,55.99,54.77,55.75,86400
2021-10-22,55.75,55.75,54.43,54.67,53700
2021-10-25,54.43,55.65,54.28,55.65,91000
2021-10-26,54.62,56.24,54.62,56.14,67807
2021-10-27,56.04,56.48,55.65,56.24,51400
2021-10-28,56.24,57.22,55.75,57.17,87700
2021-10-29,56.92,57.22,56.73,56.97,65100
2021-11-01,57.22,57.36,56.24,56.92,48500
2021-11-02,56.73,56.92,54.72,55.46,70500
2021-11-03,55.5,55.5,53.79,55.06,57800
2021-11-04,54.77,55.26,54.28,55.11,64800
2021-11-05,55.11,55.36,54.09,55.26,145400
2021-11-08,54.87,55.26,54.28,54.92,58500
2021-11-09,55.06,55.7,54.77,55.55,43000
2021-11-10,55.46,55.6,55.26,55.5,54300
2021-11-11,55.26,55.55,54.38,54.97,54100
2021-11-12,55.06,56.38,54.92,55.94,177400
2021-11-15,55.94,56.24,55.75,56.09,128800
2021-11-16,56.09,56.38,54.33,55.36,108200
2021-11-17,55.26,55.8,54.28,54.28,121300
2021-11-18,55.26,55.26,54.28,55.26,68300
2021-11-19,55.26,55.26,54.53,54.53,40000
2021-11-22,55.01,55.26,54.53,54.67,52400
2021-11-23,55.01,55.65,53.79,54.97,69200
2021-11-24,54.77,54.92,54.18,54.77,38400
2021-11-25,54.77,55.01,54.33,54.72,71701
2021-11-26,54.67,54.72,53.79,54.57,75600
2021-11-29,54.28,54.43,53.79,54.23,31900
2021-11-30,54.28,55.26,54.18,54.77,114700
2021-12-01,54.53,55.01,54.28,54.28,67600
2021-12-02,54.53,55.36,54.28,54.53,86700
2021-12-03,54.53,55.16,53.3,54.92,70800
2021-12-06,54.53,54.77,53.3,53.3,43500
2021-12-07,54.28,54.72,53.3,54.43,61200
2021-12-08,53.79,54.62,53.79,54.28,97500
2021-12-09,53.79,54.38,52.81,53.79,63600
2021-12-10,53.3,54.43,53.3,54.28,147900
2021-12-13,54.04,54.72,53.55,54.67,159300
2021-12-14,54.23,54.67,53.79,54.28,109500
2021-12-15,54.04,54.57,53.55,54.33,115200
