time,open,high,low,close,volume
2015-07-09,4.83,4.83,4.83,4.83,1000
2015-07-10,4.83,4.83,4.83,4.83,2000
2015-07-13,4.83,4.83,4.83,4.83,0
2015-07-14,4.83,4.83,4.83,4.83,0
2015-07-15,4.83,4.83,4.83,4.83,0
2015-07-16,4.83,4.83,4.83,4.83,0
2015-07-17,4.83,4.83,4.83,4.83,0
2015-07-20,4.83,4.83,4.83,4.83,0
2015-07-21,4.83,4.83,4.83,4.83,0
2015-07-22,5.19,5.22,5.19,5.22,600
2015-07-23,5.22,5.22,5.22,5.22,0
2015-07-24,5.22,5.22,5.22,5.22,100
2015-07-27,5.22,5.22,5.22,5.22,0
2015-07-28,5.22,5.22,5.22,5.22,0
2015-07-29,5.22,5.22,5.22,5.22,0
2015-07-30,5.22,5.22,5.22,5.22,0
2015-07-31,5.22,5.22,5.22,5.22,0
2015-08-03,5.22,5.22,5.22,5.22,0
2015-08-04,5.22,5.22,5.22,5.22,0
2015-08-05,5.22,5.22,5.22,5.22,0
2015-08-06,5.22,5.22,5.22,5.22,0
2015-08-07,5.22,5.22,5.22,5.22,0
2015-08-10,5.22,5.22,5.22,5.22,0
2015-08-11,5.22,5.22,5.22,5.22,0
2015-08-12,5.22,5.22,5.22,5.22,0
2015-08-13,5.22,5.22,5.22,5.22,0
2015-08-14,5.22,5.22,5.22,5.22,0
2015-08-17,5.22,5.22,5.22,5.22,0
2015-08-18,5.22,5.22,5.22,5.22,0
2015-08-19,5.22,5.22,5.22,5.22,0
2015-08-20,5.22,5.22,5.22,5.22,0
2015-08-21,5.74,5.74,5.74,5.74,100
2015-08-24,5.74,5.74,5.74,5.74,0
2015-08-25,5.74,5.74,5.74,5.74,0
2015-08-26,5.69,5.69,5.69,5.69,200
2015-08-27,5.61,5.61,5.48,5.48,200
2015-08-28,5.48,5.48,5.35,5.35,400
2015-08-31,5.35,5.35,5.35,5.35,0
2015-09-01,5.35,5.35,5.35,5.35,0
2015-09-03,5.35,5.35,5.35,5.35,0
2015-09-04,5.35,5.35,5.35,5.35,0
2015-09-07,5.32,5.32,5.22,5.22,500
2015-09-08,5.22,5.22,5.22,5.22,0
2015-09-09,5.22,5.22,5.22,5.22,0
2015-09-10,5.22,5.22,5.22,5.22,0
2015-09-11,5.22,5.22,5.22,5.22,0
2015-09-14,5.17,5.17,5.17,5.17,100
2015-09-15,5.17,5.17,5.17,5.17,0
2015-09-16,5.09,5.37,5.09,5.37,200
2015-09-17,5.09,5.35,5.09,5.35,200
2015-09-18,5.35,5.35,5.35,5.35,0
2015-09-21,5.35,5.35,5.35,5.35,0
2015-09-22,5.22,5.22,5.22,5.22,100
2015-09-23,5.22,5.22,5.22,5.22,0
2015-09-24,5.22,5.22,5.22,5.22,0
2015-09-25,5.22,5.22,5.22,5.22,0
2015-09-28,5.22,5.22,5.22,5.22,0
2015-09-29,5.22,5.22,5.22,5.22,0
2015-09-30,5.71,5.71,5.71,5.71,100
2015-10-01,5.71,5.71,5.71,5.71,0
2015-10-02,5.71,5.71,5.71,5.71,0
2015-10-05,5.71,5.71,5.71,5.71,0
2015-10-06,5.71,5.71,5.71,5.71,0
2015-10-07,5.71,5.71,5.71,5.71,0
2015-10-08,5.71,5.71,5.71,5.71,0
2015-10-09,5.71,5.71,5.71,5.71,0
2015-10-12,5.71,5.71,5.71,5.71,0
2015-10-13,5.71,5.71,5.71,5.71,0
2015-10-14,5.71,5.71,5.71,5.71,0
2015-10-15,5.71,5.71,5.71,5.71,0
2015-10-16,5.71,5.71,5.71,5.71,0
2015-10-19,5.71,5.71,5.48,5.63,76100
2015-10-20,5.48,5.61,5.48,5.61,41500
2015-10-21,5.61,5.74,5.48,5.74,18100
2015-10-22,5.74,5.74,5.74,5.74,0
2015-10-23,5.74,5.74,5.74,5.74,0
2015-10-26,6.31,6.31,5.87,5.87,4300
2015-10-27,5.87,5.87,5.87,5.87,0
2015-10-28,5.48,5.48,5.48,5.48,900
2015-10-29,5.48,5.61,5.48,5.61,1800
2015-10-30,6.16,6.16,6.16,6.16,3300
2015-11-02,6.31,6.76,6.31,6.76,2700
2015-11-03,6.7,6.7,6.52,6.52,3000
2015-11-04,6.39,6.39,6.26,6.26,1000
2015-11-05,6.26,6.26,6.26,6.26,0
2015-11-06,6.26,6.26,6.26,6.26,0
2015-11-09,6.26,6.26,6.26,6.26,200
2015-11-10,6.63,6.63,6.63,6.63,100
2015-11-11,6.63,6.63,6.63,6.63,0
2015-11-12,6.63,6.63,6.63,6.63,0
2015-11-13,6.63,6.63,6.63,6.63,0
2015-11-16,6.63,6.63,6.63,6.63,0
2015-11-17,6.0,6.0,6.0,6.0,500
2015-11-18,6.0,6.0,6.0,6.0,0
2015-11-19,6.0,6.03,6.0,6.03,700
2015-11-20,6.03,6.03,6.03,6.03,0
2015-11-23,6.03,6.03,6.03,6.03,0
2015-11-24,6.03,6.03,6.03,6.03,0
2015-11-25,6.03,6.03,6.03,6.03,0
2015-11-26,6.03,6.03,6.03,6.03,0
2015-11-27,6.03,6.03,6.03,6.03,0
2015-11-30,6.03,6.03,6.03,6.03,0
2015-12-01,6.03,6.03,6.03,6.03,0
2015-12-02,6.03,6.03,6.03,6.03,0
2015-12-03,6.03,6.03,6.03,6.03,0
2015-12-04,6.13,6.13,6.13,6.13,100
2015-12-07,6.13,6.13,6.13,6.13,0
2015-12-08,6.13,6.13,6.13,6.13,0
2015-12-09,6.13,6.13,6.13,6.13,0
2015-12-10,6.1,6.1,6.1,6.1,500
2015-12-11,6.1,6.1,6.1,6.1,0
2015-12-14,6.1,6.1,6.1,6.1,900
2015-12-15,6.26,6.68,6.26,6.68,300
2015-12-16,6.68,6.68,6.68,6.68,0
2015-12-17,6.89,6.89,6.89,6.89,100
2015-12-18,6.26,6.26,6.26,6.26,3000
2015-12-21,6.89,6.89,6.89,6.89,100
2015-12-22,7.57,7.57,7.57,7.57,100
2015-12-23,7.57,7.57,7.57,7.57,0
2015-12-24,7.57,7.57,7.57,7.57,0
2015-12-25,7.57,7.57,7.57,7.57,0
2015-12-28,7.57,7.57,7.57,7.57,0
2015-12-29,7.57,7.57,7.57,7.57,0
2015-12-30,7.57,7.57,7.57,7.57,0
2015-12-31,7.57,7.57,7.57,7.57,800
2016-01-04,7.57,7.57,7.57,7.57,0
2016-01-05,7.57,7.57,7.57,7.57,0
2016-01-06,7.57,7.57,7.57,7.57,0
2016-01-07,7.57,7.57,7.57,7.57,0
2016-01-08,7.57,7.57,7.57,7.57,0
2016-01-11,7.57,7.57,7.57,7.57,0
2016-01-12,7.57,7.57,7.57,7.57,0
2016-01-13,7.57,7.57,7.57,7.57,0
2016-01-14,7.57,7.57,7.57,7.57,0
2016-01-15,7.57,7.57,7.57,7.57,0
2016-01-18,7.57,7.57,7.57,7.57,0
2016-01-19,7.57,7.57,7.57,7.57,0
2016-01-20,7.57,7.57,7.57,7.57,0
2016-01-21,7.57,7.57,7.57,7.57,0
2016-01-22,7.57,7.57,7.57,7.57,0
2016-01-25,7.57,7.57,7.57,7.57,0
2016-01-26,7.57,7.57,7.57,7.57,0
2016-01-27,7.57,7.57,7.57,7.57,0
2016-01-28,7.57,7.83,6.81,6.81,1100
2016-01-29,6.78,6.78,6.78,6.78,500
2016-02-01,6.13,6.13,6.13,6.13,500
2016-02-02,6.18,6.18,6.18,6.18,500
2016-02-03,6.18,6.18,6.18,6.18,0
2016-02-04,6.18,6.18,6.18,6.18,200
2016-02-05,6.18,6.18,6.18,6.18,0
2016-02-15,6.18,6.18,6.18,6.18,0
2016-02-16,6.13,6.18,6.13,6.18,4100
2016-02-17,6.18,6.18,6.18,6.18,1000
2016-02-18,6.18,6.18,6.18,6.18,0
2016-02-19,6.18,6.18,6.18,6.18,0
2016-02-22,6.21,6.21,6.21,6.21,100
2016-02-23,6.24,6.24,6.24,6.24,100
2016-02-24,6.24,6.24,6.24,6.24,0
2016-02-25,6.26,6.52,6.26,6.52,1300
2016-02-26,6.52,6.52,6.52,6.52,1700
2016-02-29,6.52,6.6,6.52,6.6,1300
2016-03-01,6.03,6.6,6.03,6.6,200
2016-03-02,6.65,6.65,6.65,6.65,500
2016-03-03,6.68,6.7,6.68,6.7,3500
2016-03-04,6.78,6.78,6.78,6.78,900
2016-03-07,6.78,6.78,6.78,6.78,0
2016-03-08,6.78,6.78,6.78,6.78,0
2016-03-09,6.78,6.78,6.78,6.78,0
2016-03-10,6.78,6.78,6.78,6.78,500
2016-03-11,6.78,6.78,6.78,6.78,0
2016-03-14,6.78,6.78,6.78,6.78,0
2016-03-15,6.78,6.78,6.78,6.78,0
2016-03-16,6.78,6.78,6.78,6.78,0
2016-03-17,6.78,6.78,6.78,6.78,0
2016-03-18,6.78,6.78,6.78,6.78,0
2016-03-21,6.78,6.78,6.78,6.78,0
2016-03-22,6.78,6.78,6.78,6.78,100
2016-03-23,6.78,6.78,6.78,6.78,0
2016-03-24,6.78,6.78,6.78,6.78,0
2016-03-25,6.78,6.78,6.78,6.78,0
2016-03-28,6.78,6.78,6.78,6.78,0
2016-03-29,7.04,7.04,7.04,7.04,2100
2016-03-30,7.04,7.04,7.04,7.04,0
2016-03-31,7.17,7.17,7.17,7.17,1600
2016-04-01,7.17,7.17,7.17,7.17,0
2016-04-04,7.3,7.3,7.3,7.3,800
2016-04-05,7.3,7.3,7.3,7.3,0
2016-04-06,7.3,7.3,7.3,7.3,0
2016-04-07,7.83,7.83,7.83,7.83,1000
2016-04-08,7.83,7.83,7.83,7.83,0
2016-04-11,7.83,7.83,7.83,7.83,0
2016-04-12,7.83,7.83,7.83,7.83,1000
2016-04-13,7.83,7.83,7.83,7.83,0
2016-04-14,7.83,7.83,7.83,7.83,0
2016-04-15,7.83,7.83,7.83,7.83,0
2016-04-19,8.01,8.09,8.01,8.09,1900
2016-04-20,8.09,8.09,8.09,8.09,0
2016-04-21,8.09,8.09,8.09,8.09,1000
2016-04-22,8.09,8.09,8.09,8.09,0
2016-04-25,8.5,8.5,8.5,8.5,700
2016-04-26,8.5,8.5,8.5,8.5,0
2016-04-27,8.5,8.5,8.5,8.5,0
2016-04-28,8.5,8.5,8.5,8.5,0
2016-04-29,8.5,8.5,8.5,8.5,0
2016-05-04,7.7,7.7,7.7,7.7,500
2016-05-05,8.45,8.45,8.45,8.45,100
2016-05-06,9.26,9.26,9.26,9.26,100
2016-05-09,9.65,9.65,9.39,9.39,13100
2016-05-10,9.39,9.39,9.39,9.39,1500
2016-05-11,9.39,9.39,9.39,9.39,0
2016-05-12,9.39,9.39,9.39,9.39,0
2016-05-13,9.65,9.65,9.65,9.65,100
2016-05-16,9.65,9.65,9.65,9.65,0
2016-05-17,9.52,9.52,9.39,9.39,1800
2016-05-18,9.65,9.65,9.65,9.65,300
2016-05-19,9.65,10.08,9.65,10.08,500
2016-05-20,10.08,10.08,10.08,10.08,0
2016-05-23,10.08,10.08,10.08,10.08,0
2016-05-24,9.08,9.48,9.08,9.48,400
2016-05-25,10.08,10.08,10.08,10.08,100
2016-05-26,10.08,10.08,10.08,10.08,0
2016-05-27,10.08,10.08,10.08,10.08,0
2016-05-30,10.08,10.08,10.08,10.08,0
2016-05-31,9.08,9.08,9.08,9.08,500
2016-06-01,9.08,9.08,9.08,9.08,0
2016-06-02,9.08,9.08,9.08,9.08,0
2016-06-03,9.08,9.08,9.08,9.08,0
2016-06-06,9.08,9.08,9.08,9.08,0
2016-06-07,9.08,9.08,9.08,9.08,2500
2016-06-08,9.08,9.08,9.08,9.08,0
2016-06-09,9.08,9.08,9.08,9.08,0
2016-06-10,8.79,8.79,8.79,8.79,600
2016-06-13,8.64,8.64,8.64,8.64,20000
2016-06-14,8.36,8.64,8.21,8.64,3800
2016-06-15,8.64,8.64,8.64,8.64,0
2016-06-16,8.64,8.64,8.64,8.64,800
2016-06-17,8.64,8.64,8.64,8.64,0
2016-06-20,8.64,8.64,8.64,8.64,1000
2016-06-21,8.64,8.64,8.64,8.64,0
2016-06-22,8.64,8.64,8.64,8.64,0
2016-06-23,8.64,8.64,8.64,8.64,52500
2016-06-24,8.64,8.64,8.64,8.64,4900
2016-06-27,8.93,8.93,8.93,8.93,2000
2016-06-28,9.22,9.51,9.22,9.48,4900
2016-06-29,9.48,9.48,9.48,9.48,0
2016-06-30,9.51,9.77,9.51,9.77,17100
2016-07-01,9.77,9.77,9.74,9.74,5100
2016-07-04,9.74,9.74,9.74,9.74,0
2016-07-05,9.36,9.36,9.36,9.36,1700
2016-07-06,9.77,9.8,9.65,9.77,59900
2016-07-07,9.94,9.94,9.77,9.8,20000
2016-07-08,9.8,9.85,9.8,9.8,5000
2016-07-11,9.8,9.8,9.8,9.8,1100
2016-07-12,9.77,9.77,9.77,9.77,3500
2016-07-13,9.8,9.8,9.74,9.74,5300
2016-07-14,9.77,9.77,9.77,9.77,2300
2016-07-15,9.77,9.77,9.77,9.77,1000
2016-07-18,9.77,9.77,9.77,9.77,0
2016-07-19,9.77,9.77,9.77,9.77,0
2016-07-20,9.36,9.51,9.36,9.51,2500
2016-07-21,9.51,9.51,9.51,9.51,0
2016-07-22,9.65,9.65,9.65,9.65,3200
2016-07-25,9.77,9.77,9.77,9.77,1600
2016-07-26,9.22,9.22,9.22,9.22,2000
2016-07-27,9.22,9.22,9.22,9.22,0
2016-07-28,9.22,9.22,9.22,9.22,100
2016-07-29,9.22,9.22,9.22,9.22,0
2016-08-01,9.8,9.8,9.51,9.51,1200
2016-08-02,9.51,9.51,9.51,9.51,0
2016-08-03,9.51,9.51,9.51,9.51,0
2016-08-04,9.51,9.51,9.51,9.51,0
2016-08-05,9.8,9.8,9.8,9.8,1300
2016-08-08,9.8,9.8,9.8,9.8,1000
2016-08-09,9.8,9.8,9.8,9.8,100
2016-08-10,9.8,9.8,9.8,9.8,23200
