time,open,high,low,close,volume
2015-04-16,16.18,16.36,16.18,16.36,23420
2015-04-17,16.27,16.27,15.72,16.18,107890
2015-04-20,15.9,15.99,15.72,15.99,53240
2015-04-21,15.99,15.99,15.62,15.62,49760
2015-04-22,15.72,15.9,15.62,15.9,54800
2015-04-23,15.9,15.9,15.72,15.72,29310
2015-04-24,15.9,16.27,15.81,16.18,39420
2015-04-27,15.99,16.18,15.99,15.99,37550
2015-05-04,15.99,15.99,15.53,15.72,96070
2015-05-05,15.07,15.99,14.88,15.81,21500
2015-05-06,15.72,15.72,15.62,15.72,37000
2015-05-07,15.62,16.09,15.62,15.99,30560
2015-05-08,16.09,16.09,15.72,15.9,16020
2015-05-11,15.81,16.36,15.72,15.9,44690
2015-05-12,15.9,16.09,15.81,15.9,31100
2015-05-13,16.19,16.28,15.9,16.28,16240
2015-05-14,16.09,16.38,16.09,16.19,18620
2015-05-15,16.19,16.38,16.19,16.19,145210
2015-05-18,15.81,16.28,15.81,15.9,8710
2015-05-19,15.33,16.0,15.33,16.0,43640
2015-05-20,15.9,16.19,15.9,16.0,55260
2015-05-21,16.19,16.47,16.09,16.19,59100
2015-05-22,16.0,17.14,15.81,16.66,127800
2015-05-25,16.66,17.33,16.66,16.95,139080
2015-05-26,17.04,17.14,16.76,16.85,24800
2015-05-27,16.85,16.85,16.57,16.57,77850
2015-05-28,16.66,17.71,16.66,17.42,243610
2015-05-29,17.52,17.52,17.04,17.14,38090
2015-06-01,17.42,17.52,17.14,17.42,32490
2015-06-02,17.33,18.47,17.33,17.9,251090
2015-06-03,18.57,18.57,18.09,18.38,28780
2015-06-04,18.57,18.57,18.0,18.09,82680
2015-06-05,18.28,18.28,17.9,18.0,89860
2015-06-08,17.81,18.28,17.71,17.9,69480
2015-06-09,17.71,17.81,17.42,17.81,67260
2015-06-10,17.81,17.81,17.42,17.42,20080
2015-06-11,18.09,18.09,17.42,17.42,27470
2015-06-12,17.62,17.9,17.42,17.62,48870
2015-06-15,17.42,17.62,17.42,17.52,48730
2015-06-16,17.42,17.52,17.33,17.52,18650
2015-06-17,17.52,17.52,17.33,17.52,14410
2015-06-18,17.52,17.52,17.33,17.33,39960
2015-06-19,18.0,18.0,17.33,17.33,181800
2015-06-22,17.33,17.52,17.33,17.42,45680
2015-06-23,17.33,17.52,17.23,17.52,12810
2015-06-24,17.33,17.42,17.14,17.42,87890
2015-06-25,17.33,17.33,16.95,16.95,101470
2015-06-26,16.95,17.23,16.95,17.23,163650
2015-06-29,17.04,17.42,17.04,17.42,51960
2015-06-30,17.14,17.62,17.14,17.42,227690
2015-07-01,17.42,17.62,17.42,17.62,148880
2015-07-02,17.62,18.0,17.62,18.0,113760
2015-07-03,17.9,17.9,17.71,17.9,43720
2015-07-06,17.9,18.66,17.81,18.38,149590
2015-07-07,18.38,19.33,18.38,19.23,204420
2015-07-08,19.04,19.04,18.47,18.66,177290
2015-07-09,18.38,18.85,18.38,18.66,51470
2015-07-10,18.76,19.04,18.57,19.04,69180
2015-07-13,19.04,19.04,18.47,18.57,41390
2015-07-14,18.57,18.95,18.38,18.57,61950
2015-07-15,18.38,18.38,17.81,17.81,84000
2015-07-16,17.81,18.09,17.33,18.09,29510
2015-07-17,17.81,17.9,17.71,17.81,41780
2015-07-20,17.42,18.09,17.42,17.62,17230
2015-07-21,17.62,17.62,17.42,17.52,60420
2015-07-22,17.42,17.71,17.42,17.62,32330
2015-07-23,17.62,18.09,17.62,17.81,40220
2015-07-24,18.09,18.09,17.62,17.81,8330
2015-07-27,17.33,18.0,17.33,17.81,39210
2015-07-28,17.71,17.9,17.62,17.62,11530
2015-07-29,17.62,17.9,17.52,17.81,31670
2015-07-30,17.9,17.9,17.71,17.9,36440
2015-07-31,18.09,18.09,17.81,17.9,19460
2015-08-03,17.81,18.09,17.14,17.81,63110
2015-08-04,17.9,17.9,17.62,17.71,34640
2015-08-05,17.71,18.28,17.71,18.09,71560
2015-08-06,18.09,18.19,17.81,18.09,13150
2015-08-07,18.09,18.09,17.9,18.0,1810
2015-08-10,17.71,17.81,17.62,17.71,26970
2015-08-11,18.0,18.09,17.71,17.71,25130
2015-08-12,17.81,17.81,17.52,17.81,34260
2015-08-13,17.81,17.81,17.52,17.62,23770
2015-08-14,17.23,18.09,17.23,18.09,20010
2015-08-17,18.09,18.09,17.42,17.42,15870
2015-08-18,17.42,17.42,17.14,17.14,44350
2015-08-19,17.71,17.71,16.95,17.42,37130
2015-08-20,17.14,17.14,16.85,17.04,6220
2015-08-21,16.66,16.95,16.19,16.76,88770
2015-08-24,16.19,16.19,15.81,16.0,32860
2015-08-25,16.0,16.85,15.43,16.38,39390
2015-08-26,16.19,16.85,16.19,16.85,5410
2015-08-27,16.57,17.14,16.57,17.14,2050
2015-08-28,16.95,17.04,16.76,16.85,15350
2015-08-31,16.85,16.85,16.66,16.76,7120
2015-09-01,16.66,16.85,16.66,16.85,6360
2015-09-03,16.85,17.04,16.85,17.04,41880
2015-09-04,16.95,17.04,16.95,17.04,4510
2015-09-07,16.76,16.76,16.66,16.76,5690
2015-09-08,16.76,16.85,16.76,16.85,4670
2015-09-09,16.85,17.04,16.85,16.95,33940
2015-09-10,16.95,17.14,16.66,16.95,8080
2015-09-11,17.14,17.14,16.85,16.85,3380
2015-09-14,16.85,16.95,16.66,16.95,8120
2015-09-15,16.76,16.85,16.76,16.85,4020
2015-09-16,16.85,16.85,16.85,16.85,0
2015-09-17,16.57,17.04,16.57,16.95,6730
2015-09-18,17.04,17.04,17.04,17.04,40
2015-09-21,16.76,17.04,16.66,17.04,2440
2015-09-22,17.04,17.04,17.04,17.04,0
2015-09-23,17.04,17.04,16.66,16.66,8020
2015-09-24,16.76,17.04,16.76,16.76,2670
2015-09-25,16.66,16.95,16.47,16.47,3320
2015-09-28,16.38,16.66,16.38,16.66,1760
2015-09-29,16.76,17.33,16.66,17.33,9460
2015-09-30,16.76,17.42,16.76,16.76,1880
2015-10-01,16.66,17.52,16.66,17.14,10690
2015-10-02,17.14,17.14,17.14,17.14,2000
2015-10-05,16.76,17.14,16.66,17.14,3540
2015-10-06,17.9,17.9,17.14,17.23,2690
2015-10-07,17.52,17.71,16.95,17.04,20120
2015-10-08,17.14,17.33,17.14,17.23,18700
2015-10-09,17.23,17.42,17.23,17.42,700
2015-10-12,17.42,17.42,17.04,17.33,19900
2015-10-13,17.14,18.38,17.14,18.38,159860
2015-10-14,18.38,19.42,18.38,18.76,191930
2015-10-15,18.85,18.85,18.09,18.19,259710
2015-10-16,18.19,18.76,18.19,18.47,100750
2015-10-19,18.28,18.76,18.28,18.47,29300
2015-10-20,18.28,18.38,17.9,18.0,107970
2015-10-21,17.9,18.57,17.9,18.28,111830
2015-10-22,18.47,18.57,18.09,18.38,134330
2015-10-23,18.57,18.95,18.38,18.76,233070
2015-10-26,18.57,18.85,18.47,18.47,146040
2015-10-27,18.76,18.76,18.28,18.47,96490
2015-10-28,18.38,18.38,18.0,18.38,232500
2015-10-29,18.28,19.61,18.19,19.61,596870
2015-10-30,20.0,20.47,19.61,19.61,226930
2015-11-02,19.52,19.52,19.04,19.23,123110
2015-11-03,19.23,19.33,18.76,19.33,135250
2015-11-04,19.33,19.52,18.76,18.76,125450
2015-11-05,18.76,19.04,18.76,18.95,47640
2015-11-06,18.95,18.95,17.71,18.28,191070
2015-11-09,18.47,18.47,17.62,18.0,138510
2015-11-10,17.62,18.0,17.52,18.0,49350
2015-11-11,18.0,18.0,17.71,17.81,37920
2015-11-12,18.0,18.0,17.52,17.9,26360
2015-11-13,18.09,18.09,17.71,17.81,22380
2015-11-16,17.62,17.71,17.52,17.71,79610
2015-11-17,17.62,17.62,17.42,17.62,65430
2015-11-18,17.62,17.71,17.42,17.62,43070
2015-11-19,17.81,17.81,17.42,17.52,50050
2015-11-20,17.52,17.52,17.33,17.52,5080
2015-11-23,17.52,17.9,17.14,17.9,23270
2015-11-24,17.62,17.71,17.33,17.71,34420
2015-11-25,17.23,17.62,17.23,17.52,19020
2015-11-26,17.62,17.62,17.14,17.23,39390
2015-11-27,17.04,17.81,16.95,17.33,29880
2015-11-30,17.04,17.33,17.04,17.33,11300
2015-12-01,17.23,17.23,16.95,17.14,28940
2015-12-02,17.42,17.42,16.95,17.23,29030
2015-12-03,17.04,17.14,16.85,17.04,21370
2015-12-04,16.95,17.04,16.76,16.85,37120
2015-12-07,17.23,17.23,17.23,17.23,5020
2015-12-08,17.14,17.14,16.66,16.85,32730
2015-12-09,17.14,17.23,16.85,17.04,7050
2015-12-10,16.85,17.14,16.76,16.76,17860
2015-12-11,17.04,17.04,16.76,16.85,7410
2015-12-14,17.14,17.14,16.76,16.95,47210
2015-12-15,17.14,17.14,16.85,16.85,23470
2015-12-16,16.76,16.76,16.66,16.66,65150
2015-12-17,16.95,16.95,16.57,16.57,8020
2015-12-18,16.85,17.14,16.66,17.14,34330
2015-12-21,17.23,17.23,16.76,16.85,9510
2015-12-22,16.95,17.04,16.76,16.76,13710
2015-12-23,16.66,16.95,16.57,16.95,7360
2015-12-24,16.95,17.04,16.95,16.95,7210
2015-12-25,16.95,17.14,16.95,17.14,26440
2015-12-28,17.52,17.52,16.85,16.85,21460
2015-12-29,16.85,17.04,16.85,17.04,1760
2015-12-30,17.33,17.33,16.95,17.33,19220
2015-12-31,17.04,17.62,16.95,17.62,24140
2016-01-04,17.62,17.62,16.76,17.14,9820
2016-01-05,17.14,17.42,17.04,17.04,11340
2016-01-06,17.42,17.42,17.04,17.04,10320
2016-01-07,17.33,17.33,16.85,16.85,28220
2016-01-08,17.14,17.14,16.66,16.76,5820
2016-01-11,16.76,16.95,16.57,16.95,22190
2016-01-12,16.95,17.14,16.95,17.14,11430
2016-01-13,16.47,17.14,16.47,17.14,22850
2016-01-14,16.66,17.04,16.57,16.57,20210
2016-01-15,16.66,16.66,16.57,16.66,7230
2016-01-18,15.81,16.66,15.71,16.09,15290
2016-01-19,16.19,16.19,15.9,16.09,14340
2016-01-20,16.19,16.19,16.09,16.09,2830
2016-01-21,16.09,16.09,15.9,16.0,16620
2016-01-22,16.0,16.09,15.81,16.0,17360
2016-01-25,16.09,16.57,16.09,16.19,16480
2016-01-26,16.19,16.19,16.19,16.19,2010
2016-01-27,16.19,16.38,16.09,16.28,5410
