time,open,high,low,close,volume
2014-06-10,9.07,9.12,8.3,8.59,45700
2014-06-11,8.35,9.36,8.35,8.49,4000
2014-06-12,9.07,9.07,9.07,9.07,100
2014-06-13,8.44,8.54,8.44,8.49,300
2014-06-16,8.49,8.49,8.49,8.49,100
2014-06-17,8.54,8.54,8.54,8.54,800
2014-06-18,8.54,9.36,8.54,8.64,6700
2014-06-19,8.59,9.16,8.59,8.64,1200
2014-06-20,8.68,8.68,8.68,8.68,1700
2014-06-23,9.12,9.12,8.73,8.73,1500
2014-06-24,8.73,8.73,8.73,8.73,100
2014-06-25,8.68,8.73,8.68,8.73,300
2014-06-26,8.78,8.78,8.78,8.78,1300
2014-06-27,8.78,8.78,8.78,8.78,100
2014-06-30,8.88,8.88,8.73,8.73,2000
2014-07-01,8.73,8.73,8.73,8.73,100
2014-07-02,8.73,8.73,8.73,8.73,0
2014-07-03,8.73,8.73,8.73,8.73,0
2014-07-04,8.73,8.73,8.73,8.73,0
2014-07-07,9.36,9.36,9.36,9.36,20000
2014-07-08,9.36,9.36,9.36,9.36,0
2014-07-09,9.36,9.36,9.36,9.36,20
2014-07-10,9.36,9.36,9.36,9.36,0
2014-07-11,9.36,9.36,9.36,9.36,0
2014-07-14,9.36,9.36,9.36,9.36,0
2014-07-15,9.02,9.02,9.02,9.02,1200
2014-07-16,8.92,9.02,8.92,9.02,1100
2014-07-17,8.88,8.88,8.88,8.88,500
2014-07-18,8.88,8.88,8.88,8.88,0
2014-07-21,8.88,8.88,8.88,8.88,0
2014-07-22,8.88,8.88,8.88,8.88,0
2014-07-23,8.88,8.88,8.88,8.88,0
2014-07-24,8.88,8.88,8.88,8.88,0
2014-07-25,8.88,8.88,8.88,8.88,0
2014-07-28,8.64,9.36,8.64,9.36,4400
2014-07-29,9.36,9.36,9.36,9.36,0
2014-07-30,9.36,9.36,9.36,9.36,0
2014-07-31,9.36,9.36,9.36,9.36,0
2014-08-01,9.36,9.36,9.36,9.36,0
2014-08-04,9.36,9.36,9.36,9.36,0
2014-08-05,9.36,9.36,9.36,9.36,0
2014-08-06,9.36,9.36,9.36,9.36,0
2014-08-07,9.36,9.36,9.36,9.36,0
2014-08-08,9.36,9.36,9.36,9.36,0
2014-08-11,9.12,9.12,9.12,9.12,2100
2014-08-12,9.12,9.12,9.12,9.12,8900
2014-08-13,9.6,9.6,9.6,9.6,100
2014-08-14,9.84,9.84,9.84,9.84,100
2014-08-15,9.84,9.84,9.84,9.84,0
2014-08-18,10.8,10.8,9.36,9.36,700
2014-08-19,9.36,9.36,9.36,9.36,0
2014-08-20,9.36,9.36,9.36,9.36,0
2014-08-21,9.36,9.36,9.36,9.36,0
2014-08-22,9.12,9.36,8.44,9.36,2500
2014-08-25,9.26,9.26,9.26,9.26,7200
2014-08-26,9.16,9.16,9.16,9.16,400
2014-08-27,9.16,9.16,9.16,9.16,0
2014-08-28,9.12,9.16,9.12,9.16,4100
2014-08-29,9.12,9.12,9.12,9.12,5300
2014-09-03,9.02,9.02,9.02,9.02,600
2014-09-04,9.02,9.02,9.02,9.02,0
2014-09-05,9.02,9.02,9.02,9.02,0
2014-09-08,9.02,9.02,9.02,9.02,100
2014-09-09,9.02,9.02,9.02,9.02,1700
2014-09-10,9.12,9.6,9.12,9.6,400
2014-09-11,9.45,9.45,9.45,9.45,300
2014-09-12,9.45,9.45,9.45,9.45,0
2014-09-15,9.45,9.45,9.45,9.45,0
2014-09-16,9.45,9.45,9.45,9.45,0
2014-09-17,9.36,9.36,9.36,9.36,1300
2014-09-18,9.36,9.36,9.36,9.36,0
2014-09-19,9.36,9.36,9.36,9.36,100
2014-09-22,9.36,9.36,9.36,9.36,1000
2014-09-23,9.36,9.36,9.36,9.36,0
2014-09-24,9.12,9.12,9.12,9.12,1000
2014-09-25,9.12,9.12,9.12,9.12,500
2014-09-26,9.12,9.12,9.12,9.12,0
2014-09-29,9.12,9.12,9.12,9.12,0
2014-09-30,9.12,9.12,9.12,9.12,0
2014-10-01,9.12,9.12,9.02,9.02,3400
2014-10-02,9.02,9.02,9.02,9.02,0
2014-10-03,9.02,9.79,8.97,9.79,10800
2014-10-06,9.12,9.12,8.88,8.88,8400
2014-10-07,8.88,8.88,8.88,8.88,0
2014-10-08,8.97,8.97,8.97,8.97,110
2014-10-09,8.97,8.97,8.97,8.97,0
2014-10-10,8.97,8.97,8.97,8.97,0
2014-10-13,8.97,8.97,8.97,8.97,0
2014-10-14,9.12,9.12,9.12,9.12,200
2014-10-15,9.12,9.12,9.12,9.12,0
2014-10-16,9.36,9.36,9.36,9.36,200
2014-10-17,9.36,9.36,9.36,9.36,10
2014-10-20,9.36,9.36,9.36,9.36,0
2014-10-21,8.73,8.73,8.73,8.73,1300
2014-10-22,9.36,9.6,8.88,9.55,7000
2014-10-23,9.84,9.84,9.6,9.6,400
2014-10-24,9.21,9.6,9.16,9.6,7200
2014-10-27,9.6,9.6,9.6,9.6,0
2014-10-28,9.6,9.84,9.6,9.6,4600
2014-10-29,9.6,9.79,9.6,9.6,9300
2014-10-30,9.6,9.6,9.6,9.6,0
2014-10-31,9.6,9.6,9.6,9.6,1400
2014-11-03,9.64,10.32,9.6,10.32,42400
2014-11-04,9.69,10.22,9.6,10.08,14100
2014-11-05,10.36,10.36,10.36,10.36,110
2014-11-06,9.84,10.27,9.69,10.27,5300
