time,open,high,low,close,volume
2015-07-09,3.34,3.38,3.3,3.38,1257880
2015-07-10,3.38,3.38,3.3,3.34,1606060
2015-07-13,3.34,3.42,3.34,3.34,1710910
2015-07-14,3.34,3.34,3.26,3.26,1253510
2015-07-15,3.26,3.3,3.18,3.22,1454090
2015-07-16,3.18,3.22,3.14,3.18,1675570
2015-07-17,3.22,3.34,3.18,3.3,2742790
2015-07-20,3.3,3.3,3.22,3.3,1211730
2015-07-21,3.3,3.3,3.22,3.26,995990
2015-07-22,3.18,3.26,3.18,3.22,960250
2015-07-23,3.22,3.26,3.18,3.18,1262320
2015-07-24,3.18,3.22,3.1,3.1,1489470
2015-07-27,2.98,3.14,2.98,3.06,1443250
2015-07-28,3.1,3.26,3.1,3.26,3869930
2015-07-29,3.26,3.38,3.26,3.3,1741010
2015-07-30,3.34,3.5,3.3,3.5,4716200
2015-07-31,3.64,3.72,3.55,3.72,1456510
2015-08-03,3.72,3.98,3.72,3.93,3121390
2015-08-04,3.98,4.06,3.93,4.06,1898850
2015-08-05,4.06,4.31,4.06,4.31,1746860
2015-08-06,4.4,4.57,4.02,4.02,8528650
2015-08-07,3.98,4.27,3.85,4.27,2540860
2015-08-10,4.27,4.4,4.23,4.31,2392080
2015-08-11,4.23,4.36,4.19,4.31,1910600
2015-08-12,4.27,4.27,4.14,4.23,4046260
2015-08-13,4.19,4.23,3.93,3.93,870920
2015-08-14,3.98,4.14,3.89,4.14,1119900
2015-08-17,4.19,4.19,3.93,4.06,759420
2015-08-18,3.93,4.14,3.93,4.1,1145570
2015-08-19,4.02,4.1,3.93,4.02,544350
2015-08-20,4.02,4.06,3.76,4.02,681300
2015-08-21,3.98,4.02,3.76,4.02,1228750
2015-08-24,3.89,4.06,3.76,4.02,2138230
2015-08-25,3.85,4.02,3.85,3.98,389970
2015-08-26,4.02,4.14,3.98,3.98,481150
2015-08-27,3.98,4.06,3.93,3.93,358560
2015-08-28,4.02,4.19,3.89,4.14,1064850
2015-08-31,4.14,4.19,4.1,4.1,307090
2015-09-01,4.02,4.23,4.02,4.23,452800
2015-09-03,4.1,4.27,4.06,4.14,1146600
2015-09-04,4.19,4.23,4.1,4.1,420870
2015-09-07,4.14,4.14,4.06,4.1,283410
2015-09-08,4.06,4.19,4.02,4.1,1152010
2015-09-09,4.1,4.14,4.02,4.02,421360
2015-09-10,3.98,4.1,3.98,4.02,561410
2015-09-11,4.02,4.06,3.98,4.02,208480
2015-09-14,3.98,4.02,3.93,3.98,838670
2015-09-15,4.02,4.06,3.98,4.02,1510340
2015-09-16,4.02,4.06,3.93,4.02,2207710
2015-09-17,4.02,4.02,3.93,3.93,330130
2015-09-18,3.93,4.06,3.93,4.02,525960
2015-09-21,4.02,4.06,3.98,4.06,423410
2015-09-22,4.06,4.06,4.02,4.02,266860
2015-09-23,4.02,4.02,3.93,4.02,159810
2015-09-24,3.98,4.02,3.85,3.85,138150
2015-09-25,3.89,4.02,3.89,3.98,216550
2015-09-28,4.02,4.02,3.93,3.93,336820
2015-09-29,3.93,3.98,3.85,3.98,890080
2015-09-30,3.93,4.14,3.93,4.1,968790
2015-10-01,4.14,4.23,4.14,4.23,841870
2015-10-02,4.23,4.27,4.19,4.23,381680
2015-10-05,4.23,4.27,4.19,4.27,925060
2015-10-06,4.31,4.48,4.27,4.48,871560
2015-10-07,4.4,4.48,4.36,4.44,1653950
2015-10-08,4.4,4.57,4.4,4.53,1044700
2015-10-09,4.48,4.57,4.44,4.53,872940
2015-10-12,4.53,4.82,4.53,4.78,1393720
2015-10-13,4.78,4.91,4.78,4.86,407820
2015-10-14,4.82,5.08,4.78,5.03,421480
2015-10-15,4.95,5.03,4.86,4.91,893660
2015-10-16,4.91,4.95,4.78,4.82,902680
2015-10-19,4.74,4.91,4.74,4.86,839500
2015-10-20,4.91,4.91,4.74,4.78,510560
2015-10-21,4.78,4.82,4.78,4.78,602630
2015-10-22,4.82,4.95,4.82,4.95,264880
2015-10-23,5.03,5.03,4.95,4.99,466600
2015-10-26,5.03,5.03,4.95,5.03,452530
2015-10-27,4.99,5.2,4.99,5.2,738690
2015-10-28,5.12,5.24,5.12,5.16,500770
2015-10-29,5.16,5.37,5.16,5.33,745610
2015-10-30,5.37,5.37,5.24,5.24,567560
2015-11-02,5.29,5.37,5.24,5.24,385120
2015-11-03,5.33,5.5,5.24,5.5,640850
2015-11-04,5.5,5.58,5.41,5.41,743600
2015-11-05,5.41,5.63,5.41,5.54,740800
2015-11-06,5.63,5.63,5.5,5.54,1029430
2015-11-09,5.54,5.71,5.54,5.67,1218750
2015-11-10,5.58,5.63,5.5,5.54,517460
2015-11-11,5.54,5.67,5.54,5.54,629900
2015-11-12,5.58,5.67,5.5,5.67,1017490
2015-11-13,5.71,5.71,5.58,5.67,858500
2015-11-16,5.67,5.79,5.58,5.71,1663650
2015-11-17,5.79,5.79,5.63,5.67,998350
2015-11-18,5.58,5.71,5.58,5.63,689760
2015-11-19,5.67,5.67,5.58,5.63,517390
2015-11-20,5.63,5.75,5.58,5.67,1014130
2015-11-23,5.71,5.92,5.67,5.92,1691570
2015-11-24,5.84,6.05,5.84,6.01,1105550
2015-11-25,6.09,6.09,6.01,6.01,1317960
2015-11-26,6.01,6.09,5.96,6.05,1364460
2015-11-27,6.05,6.09,5.92,5.96,721370
2015-11-30,5.88,5.92,5.84,5.88,687100
2015-12-01,5.84,5.96,5.84,5.88,1425140
2015-12-02,5.84,6.01,5.84,5.96,1516760
2015-12-03,5.96,6.01,5.92,5.96,1291390
2015-12-04,5.96,5.96,5.84,5.92,1728620
2015-12-07,5.92,5.92,5.84,5.88,1620100
2015-12-08,5.88,6.22,5.75,6.18,1426570
2015-12-09,6.18,6.22,6.09,6.09,1595070
2015-12-10,6.01,6.22,6.01,6.09,1171420
2015-12-11,6.13,6.34,6.13,6.34,1116810
2015-12-14,6.39,6.43,6.34,6.34,1243620
2015-12-15,6.34,6.34,6.26,6.34,876760
2015-12-16,6.34,6.34,6.22,6.34,1065760
2015-12-17,6.34,6.34,6.22,6.3,1277500
2015-12-18,6.05,6.3,6.05,6.26,1113200
2015-12-21,6.26,6.39,6.22,6.39,1884700
2015-12-22,6.43,6.47,6.39,6.43,1729270
2015-12-23,6.39,6.47,6.39,6.43,658180
2015-12-24,6.43,6.51,6.43,6.51,2839990
2015-12-25,6.56,6.72,6.43,6.68,1712530
2015-12-28,6.77,6.77,6.64,6.64,1473650
2015-12-29,6.6,6.94,6.6,6.94,1363080
2015-12-30,6.98,6.98,6.89,6.89,1171020
2015-12-31,6.89,6.98,6.85,6.98,1173820
2016-01-04,6.98,7.27,6.98,7.23,1201780
2016-01-05,7.11,7.36,7.11,7.19,1345450
2016-01-06,7.15,7.61,7.15,7.61,1091630
2016-01-07,7.57,7.57,7.36,7.44,1316800
2016-01-08,7.36,7.4,7.15,7.15,1432450
2016-01-11,7.06,7.36,6.81,7.32,1145130
2016-01-12,7.23,7.53,7.23,7.53,1167310
2016-01-13,7.49,7.53,7.19,7.27,1118440
2016-01-14,7.15,7.27,7.02,7.27,1081400
2016-01-15,7.11,7.4,7.11,7.23,1143170
2016-01-18,7.19,7.19,6.89,7.02,1035220
2016-01-19,6.85,7.11,6.85,7.02,1132820
2016-01-20,6.98,7.06,6.94,7.02,1171610
2016-01-21,6.94,7.06,6.85,6.85,1015470
2016-01-22,6.85,6.94,6.51,6.85,1170930
2016-01-25,6.85,7.19,6.77,7.19,1724390
2016-01-26,7.19,7.19,6.98,7.11,946700
2016-01-27,7.11,7.27,7.11,7.27,1452500
2016-01-28,7.27,7.32,7.15,7.23,1002410
2016-01-29,7.23,7.4,7.11,7.27,1256340
2016-02-01,7.27,7.32,7.19,7.23,1560020
2016-02-02,7.23,7.23,7.15,7.15,1400710
2016-02-03,7.15,7.15,7.02,7.15,1215090
2016-02-04,7.15,7.32,7.15,7.23,930740
2016-02-05,7.23,7.49,7.19,7.44,1270220
2016-02-15,7.44,7.44,7.36,7.44,1604260
2016-02-16,7.44,7.61,7.4,7.61,1724620
2016-02-17,7.61,7.74,7.53,7.53,1370970
2016-02-18,7.53,7.61,7.49,7.57,1414040
2016-02-19,7.49,7.57,7.4,7.44,1536940
2016-02-22,7.36,7.53,7.27,7.53,1966740
2016-02-23,7.44,7.61,7.44,7.49,1609720
2016-02-24,7.44,7.53,7.4,7.53,1572220
2016-02-25,7.57,7.57,7.44,7.49,1783880
2016-02-26,7.36,7.57,7.36,7.57,1454610
2016-02-29,7.49,7.61,7.49,7.57,1027040
2016-03-01,7.49,7.87,7.49,7.82,1130010
2016-03-02,7.82,8.08,7.82,7.99,1069930
2016-03-03,7.99,8.04,7.87,7.95,900230
2016-03-04,7.95,8.29,7.91,8.12,1363330
2016-03-07,8.16,8.21,8.12,8.16,911600
2016-03-08,8.16,8.16,8.04,8.08,792440
2016-03-09,8.08,8.12,7.95,8.04,793990
2016-03-10,8.04,8.12,8.04,8.08,1068780
2016-03-11,8.08,8.12,7.99,8.08,1054740
2016-03-14,8.04,8.12,8.04,8.08,1066860
2016-03-15,8.04,8.08,7.99,7.99,733920
2016-03-16,7.99,8.04,7.91,7.99,680500
2016-03-17,7.82,8.08,7.82,7.99,1059060
2016-03-18,7.95,8.04,7.87,7.87,575030
2016-03-21,7.82,7.91,7.4,7.4,1327250
2016-03-22,7.4,7.4,7.19,7.23,1105360
2016-03-23,7.11,7.36,7.11,7.36,1175380
2016-03-24,7.4,7.4,7.15,7.27,1312920
2016-03-25,7.19,7.32,7.15,7.27,1081470
2016-03-28,7.27,7.32,7.19,7.23,1036620
2016-03-29,7.11,7.27,7.11,7.19,1170990
2016-03-30,7.06,7.32,7.06,7.32,1083660
2016-03-31,7.32,7.36,7.19,7.19,1042560
2016-04-01,7.19,7.23,7.11,7.23,1087360
2016-04-04,7.23,7.44,7.23,7.32,1241390
