time,open,high,low,close,volume
2014-05-20,5.1,5.2,5.1,5.1,34960
2014-05-21,5.1,5.2,5.0,5.1,66520
2014-05-22,5.1,5.2,5.0,5.1,48690
2014-05-23,5.2,5.2,5.0,5.1,73410
2014-05-26,5.1,5.3,5.0,5.2,181310
2014-05-27,5.2,5.3,5.2,5.3,24430
2014-05-28,5.4,5.4,5.3,5.4,109280
2014-05-29,5.4,5.5,5.4,5.5,65580
2014-05-30,5.5,5.6,5.5,5.5,317420
2014-06-02,5.5,5.6,5.4,5.5,36530
2014-06-03,5.5,5.6,5.5,5.5,28610
2014-06-04,5.5,5.6,5.4,5.5,121170
2014-06-05,5.5,5.7,5.5,5.7,258650
2014-06-06,5.8,5.9,5.7,5.8,272940
2014-06-09,5.9,6.2,5.9,6.2,281920
2014-06-10,6.2,6.2,5.8,5.8,84830
2014-06-11,5.8,6.2,5.8,6.2,347010
2014-06-12,6.2,6.6,6.2,6.6,379620
2014-06-13,7.0,7.0,6.9,7.0,1996230
2014-06-16,7.0,7.3,6.9,7.2,192130
2014-06-17,7.2,7.2,6.7,6.7,1075720
2014-06-18,6.5,6.7,6.3,6.7,649450
2014-06-19,6.4,7.1,6.3,7.1,1610340
2014-06-20,6.8,7.1,6.7,6.7,1411340
2014-06-23,6.7,6.7,6.3,6.3,364200
2014-06-24,6.1,6.2,5.9,6.1,689070
2014-06-25,6.1,6.2,5.9,6.2,667570
2014-06-26,6.2,6.3,5.9,6.0,449580
2014-06-27,6.0,6.0,5.7,5.8,608410
2014-06-30,5.8,5.9,5.6,5.7,294630
2014-07-01,5.7,5.9,5.6,5.8,788890
2014-07-02,5.9,6.0,5.7,6.0,449400
2014-07-03,6.1,6.1,5.8,5.9,327990
2014-07-04,5.9,6.0,5.7,5.9,375380
2014-07-07,5.9,6.0,5.8,5.9,478870
2014-07-08,5.9,6.3,5.9,6.2,1046720
2014-07-09,6.2,6.5,6.2,6.3,864570
2014-07-10,6.3,6.3,6.0,6.0,316010
2014-07-11,6.0,6.0,5.7,5.9,326360
2014-07-14,5.9,5.9,5.7,5.9,539630
2014-07-15,5.9,6.0,5.8,5.9,218050
2014-07-16,5.9,6.0,5.8,5.9,219270
2014-07-17,5.9,5.9,5.7,5.9,203690
2014-07-18,5.8,5.8,5.6,5.6,410660
2014-07-21,5.7,5.7,5.4,5.4,215750
2014-07-22,5.3,5.5,5.2,5.2,228620
2014-07-23,5.2,5.5,5.2,5.5,303350
2014-07-24,5.7,5.7,5.3,5.3,94830
2014-07-25,5.4,5.4,5.2,5.2,109990
2014-07-28,5.2,5.2,4.9,5.1,249880
2014-07-29,5.1,5.2,5.0,5.0,95290
2014-07-30,5.0,5.2,5.0,5.1,148120
2014-07-31,5.2,5.3,5.1,5.3,131170
2014-08-01,5.2,5.3,5.2,5.3,26220
2014-08-04,5.2,5.3,5.2,5.2,66630
2014-08-05,5.3,5.3,5.1,5.3,45970
2014-08-06,5.3,5.3,5.2,5.2,154700
2014-08-07,5.1,5.3,5.1,5.2,103830
2014-08-08,5.2,5.4,5.2,5.4,241990
2014-08-11,5.5,5.5,5.3,5.4,70350
2014-08-12,5.3,5.4,5.2,5.2,88990
2014-08-13,5.2,5.4,5.2,5.3,31090
2014-08-14,5.3,5.4,5.3,5.3,132200
2014-08-15,5.3,5.4,5.2,5.3,62490
2014-08-18,5.3,5.4,5.2,5.3,95320
2014-08-19,5.3,5.3,5.2,5.2,120790
2014-08-20,5.3,5.3,5.2,5.2,89950
2014-08-21,5.1,5.3,5.1,5.2,111480
2014-08-22,5.1,5.3,5.1,5.2,125030
2014-08-25,5.2,5.3,5.1,5.1,206010
2014-08-26,5.1,5.2,5.0,5.0,180290
