time,open,high,low,close,volume
2014-12-17,5.89,5.89,5.89,5.89,0
2014-12-18,5.89,5.89,5.89,5.89,0
2014-12-19,5.89,5.89,5.89,5.89,0
2014-12-22,6.02,6.2,6.02,6.2,300
2014-12-23,6.2,6.2,6.2,6.2,0
2014-12-24,6.2,6.2,6.2,6.2,0
2014-12-25,6.2,6.2,6.2,6.2,0
2014-12-26,6.2,6.2,6.2,6.2,0
2014-12-29,6.2,6.2,6.2,6.2,0
2014-12-30,6.2,6.2,6.2,6.2,0
2014-12-31,6.2,6.2,6.2,6.2,0
2015-01-05,6.2,6.2,6.2,6.2,0
2015-01-06,6.2,6.2,6.2,6.2,0
2015-01-07,6.2,6.2,6.2,6.2,0
2015-01-08,6.2,6.2,6.2,6.2,0
2015-01-09,6.2,6.2,6.2,6.2,0
2015-01-12,6.2,6.2,6.2,6.2,0
2015-01-13,6.64,6.64,6.64,6.64,100
2015-01-14,6.64,6.64,6.64,6.64,0
2015-01-15,6.64,6.64,6.64,6.64,0
2015-01-16,6.64,6.64,6.64,6.64,0
2015-01-19,6.87,6.87,6.87,6.87,100
2015-01-20,6.91,6.91,6.91,6.91,100
2015-01-21,7.53,7.53,7.53,7.53,200
2015-01-22,7.97,7.97,7.97,7.97,100
2015-01-23,8.42,8.55,8.42,8.55,6900
2015-01-26,8.55,8.55,8.55,8.55,0
2015-01-27,8.55,8.55,8.55,8.55,0
2015-01-28,7.75,7.75,7.75,7.75,100
2015-01-29,7.09,7.09,7.09,7.09,100
2015-01-30,7.09,7.09,7.09,7.09,0
2015-02-02,7.09,7.09,7.09,7.09,0
2015-02-03,7.09,7.09,7.09,7.09,0
2015-02-04,7.09,7.09,7.09,7.09,0
2015-02-05,7.09,7.09,7.09,7.09,0
2015-02-06,7.09,7.09,7.09,7.09,500
2015-02-09,7.31,7.31,7.31,7.31,1000
2015-02-10,7.31,7.31,7.31,7.31,0
2015-02-11,7.88,7.88,7.88,7.88,0
2015-02-12,7.31,7.31,7.31,7.31,500
2015-02-13,8.02,8.02,8.02,8.02,500
2015-02-24,8.02,8.02,8.02,8.02,0
2015-02-25,8.02,8.02,8.02,8.02,0
2015-02-26,8.02,8.02,8.02,8.02,0
2015-02-27,8.02,8.02,8.02,8.02,0
2015-03-02,8.02,8.02,8.02,8.02,0
2015-03-03,8.02,8.02,8.02,8.02,0
2015-03-04,8.02,8.02,8.02,8.02,0
2015-03-05,8.6,8.6,8.6,8.6,5200
2015-03-06,8.6,8.6,8.6,8.6,0
2015-03-09,8.6,8.6,8.6,8.6,0
2015-03-10,8.6,8.6,8.6,8.6,0
2015-03-11,8.6,8.6,8.6,8.6,0
2015-03-12,8.93,9.22,8.93,9.22,8100
2015-03-13,9.22,9.22,9.22,9.22,8800
2015-03-16,8.84,8.84,8.84,8.84,7500
