time,open,high,low,close,volume
2015-07-09,6.06,6.37,6.06,6.06,82990
2015-07-10,6.13,6.47,6.13,6.47,66740
2015-07-13,6.91,6.91,6.91,6.91,38350
2015-07-14,7.39,7.39,7.39,7.39,46610
2015-07-15,7.9,7.9,7.69,7.79,859120
2015-07-16,7.83,8.34,7.76,8.34,699300
2015-07-17,8.34,8.88,8.34,8.88,463770
2015-07-20,8.48,9.02,8.44,8.65,340130
2015-07-21,8.48,8.54,8.07,8.07,205540
2015-07-22,7.52,8.17,7.52,8.17,550150
2015-07-23,8.27,8.58,8.17,8.17,232490
2015-07-24,8.17,8.17,7.9,7.9,130950
2015-07-27,7.59,8.1,7.59,7.69,223540
2015-07-28,7.69,7.83,7.62,7.79,231210
2015-07-29,7.76,8.1,7.56,7.66,74680
2015-07-30,7.83,7.83,7.56,7.79,108070
2015-07-31,7.83,7.83,7.52,7.52,82140
2015-08-03,7.08,7.32,7.01,7.01,191320
2015-08-04,7.01,7.11,6.94,6.98,61810
2015-08-05,6.98,7.32,6.98,7.28,32970
2015-08-06,7.28,7.28,6.91,6.94,80800
2015-08-07,6.94,7.25,6.81,7.01,61860
2015-08-10,7.15,7.49,7.15,7.49,106770
2015-08-11,7.96,8.0,7.86,8.0,318180
2015-08-12,8.0,8.0,7.69,7.83,95690
2015-08-13,7.66,7.76,7.28,7.35,107550
2015-08-14,7.15,7.56,7.15,7.49,61910
2015-08-17,7.49,7.9,7.01,7.11,102930
2015-08-18,6.98,7.42,6.98,7.39,60560
2015-08-19,7.39,7.59,7.15,7.56,85210
2015-08-20,7.62,7.93,7.52,7.86,123480
2015-08-21,7.42,7.76,7.32,7.76,111240
2015-08-24,7.49,7.66,7.25,7.25,128780
2015-08-25,6.81,7.49,6.81,7.49,70150
2015-08-26,7.56,7.59,7.32,7.56,59370
2015-08-27,7.56,7.76,7.56,7.62,128070
2015-08-28,7.66,7.79,7.62,7.69,151260
2015-08-31,7.83,8.0,7.79,7.93,252390
2015-09-01,7.93,8.03,7.79,7.79,79500
2015-09-03,7.66,7.66,7.35,7.39,93660
2015-09-04,7.39,7.62,7.39,7.49,136980
2015-09-07,7.49,7.69,7.35,7.39,62250
2015-09-08,7.64,7.86,7.49,7.83,88570
2015-09-09,7.83,8.01,7.75,7.75,52370
2015-09-10,7.56,7.75,7.56,7.6,87760
2015-09-11,7.56,7.79,7.56,7.6,72840
2015-09-14,7.56,7.56,7.19,7.23,175250
2015-09-15,7.23,7.34,7.23,7.3,35700
2015-09-16,7.26,7.34,7.19,7.23,27590
2015-09-17,7.23,7.3,7.23,7.23,7790
2015-09-18,7.38,7.45,7.26,7.38,36800
2015-09-21,7.45,7.68,7.41,7.64,56770
2015-09-22,7.68,7.75,7.56,7.64,93810
2015-09-23,7.56,7.68,7.53,7.68,43020
2015-09-24,7.71,7.9,7.68,7.83,255990
2015-09-25,7.79,7.83,7.68,7.83,37100
2015-09-28,8.01,8.01,7.49,7.49,86100
2015-09-29,7.49,7.49,7.3,7.38,139750
2015-09-30,7.53,7.64,7.49,7.49,21100
2015-10-01,7.41,7.45,7.3,7.41,31590
2015-10-02,7.3,7.49,7.3,7.3,94730
2015-10-05,7.3,7.45,7.3,7.45,70710
2015-10-06,7.64,7.94,7.53,7.94,193990
2015-10-07,8.16,8.42,7.86,7.86,262890
2015-10-08,7.86,8.39,7.86,8.39,415710
2015-10-09,8.42,8.54,8.2,8.24,134210
2015-10-12,8.24,8.54,8.05,8.12,72360
2015-10-13,8.05,8.2,7.86,7.98,261420
2015-10-14,8.5,8.5,8.5,8.5,200880
2015-10-15,8.61,8.91,8.54,8.76,341790
2015-10-16,8.65,8.84,8.5,8.61,224240
2015-10-19,8.69,8.99,8.61,8.84,271060
2015-10-20,8.84,9.44,8.65,9.44,404990
2015-10-21,9.44,9.92,9.44,9.85,305160
2015-10-22,9.66,10.37,9.55,10.22,496140
2015-10-23,10.37,10.52,10.03,10.07,288670
2015-10-26,10.07,10.11,9.81,9.96,199540
2015-10-27,9.73,9.88,9.55,9.55,298480
2015-10-28,9.55,9.88,9.47,9.47,320110
2015-10-29,9.55,9.92,9.47,9.92,283950
2015-10-30,10.03,10.22,9.96,10.03,258690
2015-11-02,9.96,10.22,9.58,9.73,229930
2015-11-03,10.03,10.15,9.62,10.15,243590
2015-11-04,10.22,10.22,9.88,9.88,214640
2015-11-05,9.81,10.56,9.77,10.56,724740
2015-11-06,10.33,10.48,10.11,10.26,387150
2015-11-09,10.26,10.26,10.03,10.11,132870
2015-11-10,10.11,10.11,9.73,9.92,307090
2015-11-11,9.81,10.0,9.58,9.58,245340
2015-11-12,9.7,10.11,9.62,10.11,234410
2015-11-13,10.11,10.37,9.88,10.11,261600
2015-11-16,9.96,10.26,9.96,9.96,227220
2015-11-17,9.92,10.33,9.92,9.96,319170
2015-11-18,9.92,10.03,9.81,9.85,134710
2015-11-19,9.92,10.0,9.81,9.92,159550
2015-11-20,9.85,10.0,9.77,9.77,243790
2015-11-23,9.77,9.81,9.66,9.7,171170
2015-11-24,9.62,9.81,9.51,9.62,180210
2015-11-25,9.7,9.7,9.51,9.58,121370
2015-11-26,9.62,9.62,9.36,9.36,172840
2015-11-27,9.36,9.51,9.21,9.21,92950
2015-11-30,9.06,9.17,8.91,8.99,185960
2015-12-01,8.99,9.17,8.99,9.02,107240
2015-12-02,9.1,9.17,8.99,9.06,94210
2015-12-03,9.02,9.1,8.99,9.02,35540
2015-12-04,9.02,9.06,8.99,9.02,119500
2015-12-07,9.02,9.02,8.95,8.99,62270
2015-12-08,8.99,9.58,8.99,9.58,165310
2015-12-09,9.58,10.07,9.4,9.44,162460
2015-12-10,9.36,9.73,9.36,9.62,84720
2015-12-11,9.36,9.7,9.36,9.44,69170
2015-12-14,9.66,9.66,9.32,9.44,35530
2015-12-15,9.29,9.62,9.17,9.44,26900
2015-12-16,9.44,9.58,9.4,9.4,33560
2015-12-17,9.58,9.73,9.44,9.73,79810
2015-12-18,9.7,9.96,9.66,9.92,214180
2015-12-21,9.92,9.92,9.62,9.77,47020
2015-12-22,9.77,9.92,9.58,9.62,27080
2015-12-23,9.7,9.7,9.36,9.62,33890
2015-12-24,9.47,9.81,9.47,9.73,35190
2015-12-25,9.73,9.81,9.55,9.73,45590
2015-12-28,9.55,9.73,9.06,9.44,94330
2015-12-29,9.36,9.7,9.36,9.7,41160
2015-12-30,9.81,9.81,9.58,9.73,23430
2015-12-31,9.73,9.73,9.44,9.44,35820
2016-01-04,9.44,9.62,9.4,9.58,71850
2016-01-05,9.51,9.66,9.47,9.58,67400
2016-01-06,9.58,9.62,9.44,9.51,38110
2016-01-07,9.58,9.58,9.21,9.21,50820
2016-01-08,9.14,9.21,8.99,8.99,95700
2016-01-11,8.76,8.99,8.76,8.8,56360
2016-01-12,8.8,9.29,8.8,9.14,28250
2016-01-13,9.36,9.36,8.95,9.25,14970
2016-01-14,9.1,9.17,8.91,9.14,66220
2016-01-15,9.14,9.14,8.8,8.87,72770
2016-01-18,8.8,9.44,8.46,8.99,254120
2016-01-19,8.99,8.99,8.87,8.87,63390
2016-01-20,8.8,8.99,8.72,8.84,108170
2016-01-21,8.76,8.84,8.57,8.76,136850
2016-01-22,8.61,8.99,8.61,8.99,32460
2016-01-25,8.99,9.44,8.99,9.4,64880
2016-01-26,9.4,9.4,8.99,9.32,63300
2016-01-27,9.32,9.32,9.1,9.29,12380
2016-01-28,9.06,9.17,8.65,8.99,15790
2016-01-29,8.99,9.17,8.87,9.17,52590
2016-02-01,9.1,9.1,8.99,8.99,20060
2016-02-02,8.99,8.99,8.8,8.99,19210
2016-02-03,8.91,8.95,8.91,8.95,9110
2016-02-04,8.95,9.02,8.8,9.02,25560
2016-02-05,8.99,9.44,8.8,9.02,30010
2016-02-15,8.95,9.14,8.95,9.14,1040
2016-02-16,8.99,9.25,8.99,9.25,26450
2016-02-17,9.29,9.29,9.06,9.29,18590
2016-02-18,9.29,9.55,9.29,9.4,114930
2016-02-19,9.44,9.62,9.44,9.62,102880
2016-02-22,9.73,9.73,9.58,9.62,50780
2016-02-23,9.62,9.66,9.14,9.14,86440
2016-02-24,9.06,9.44,9.06,9.4,69310
2016-02-25,9.4,9.51,9.36,9.36,90430
2016-02-26,9.36,9.44,9.29,9.44,14840
2016-02-29,9.29,9.32,9.14,9.14,31360
2016-03-01,9.21,9.44,9.14,9.32,38870
2016-03-02,9.44,9.85,9.25,9.73,213000
2016-03-03,9.73,9.81,9.36,9.55,146790
2016-03-04,9.55,10.11,9.55,9.81,313800
2016-03-07,9.81,9.85,9.66,9.66,164160
2016-03-08,9.47,9.73,9.47,9.73,123430
2016-03-09,9.73,9.73,9.44,9.44,102160
