time,open,high,low,close,volume
2025-11-05,14.0,14.0,14.0,14.0,1200
2025-11-06,16.1,16.1,16.1,16.1,3300
2025-11-07,18.5,18.5,18.5,18.5,900
2025-11-10,21.2,21.2,21.2,21.2,400
2025-11-11,24.3,24.3,24.3,24.3,8900
2025-11-12,27.6,27.9,27.6,27.9,4700
2025-11-13,31.9,31.9,31.0,31.9,16800
2025-11-14,36.5,36.5,30.9,31.2,37000
2025-11-17,31.0,40.5,30.5,32.7,18900
2025-11-18,34.5,34.5,29.6,31.8,6800
2025-11-19,29.6,33.0,29.6,30.9,5100
2025-11-20,30.7,30.7,29.0,29.0,2100
2025-11-21,25.5,25.6,25.0,25.0,12200
2025-11-24,21.3,28.7,21.3,25.0,13800
2025-11-25,24.0,25.0,21.3,21.4,1900
2025-11-26,23.0,23.5,23.0,23.5,11200
2025-11-27,25.0,26.0,23.6,23.6,1400
2025-11-28,24.9,25.5,23.0,25.4,1000
2025-12-01,25.4,25.4,23.5,23.5,1400
2025-12-02,23.0,23.9,23.0,23.0,2400
2025-12-03,23.5,23.5,20.1,23.5,12300
2025-12-04,24.7,24.7,24.4,24.5,3300
2025-12-05,24.9,24.9,24.0,24.0,700
2025-12-08,25.0,25.0,25.0,25.0,100
2025-12-09,25.0,25.0,21.5,21.5,200
