time,open,high,low,close,volume
2015-04-14,6.12,6.12,6.12,6.12,120
2015-04-15,6.12,6.19,6.12,6.19,1000
2015-04-16,6.19,6.19,6.19,6.19,4000
2015-04-17,6.19,6.34,6.04,6.34,4700
2015-04-20,6.34,6.48,6.12,6.12,5100
2015-04-21,6.34,6.41,6.34,6.41,2700
2015-04-22,6.41,6.41,6.41,6.41,0
2015-04-23,6.26,6.26,6.19,6.19,1800
2015-04-24,6.34,6.34,6.34,6.34,300
2015-04-27,6.19,6.19,6.12,6.12,300
2015-05-04,6.12,6.12,5.89,5.89,6000
2015-05-05,5.89,5.97,5.89,5.97,2700
2015-05-06,5.89,5.89,5.82,5.82,2500
2015-05-07,6.04,6.04,6.04,6.04,100
2015-05-08,6.04,6.04,6.04,6.04,0
2015-05-11,6.04,6.04,6.04,6.04,0
2015-05-12,5.75,5.82,5.75,5.82,1100
2015-05-13,5.89,5.89,5.89,5.89,100
2015-05-14,5.97,5.97,5.97,5.97,100
2015-05-15,5.75,5.75,5.75,5.75,100
2015-05-18,6.04,6.26,5.89,5.89,1200
2015-05-19,6.04,6.04,6.04,6.04,100
2015-05-20,5.75,6.04,5.75,5.89,300
2015-05-21,5.75,5.75,5.75,5.75,100
2015-05-22,5.75,5.75,5.75,5.75,0
2015-05-25,5.75,5.89,5.75,5.89,200
2015-05-26,6.04,6.04,6.04,6.04,100
2015-05-27,6.12,6.12,6.12,6.12,100
2015-05-28,5.89,5.89,5.89,5.89,3500
2015-05-29,5.89,6.12,5.89,6.12,6500
2015-06-01,6.12,6.12,6.12,6.12,0
2015-06-02,6.12,6.12,6.12,6.12,9600
2015-06-03,6.12,6.12,6.12,6.12,400
2015-06-04,6.12,6.26,6.12,6.19,23300
2015-06-05,6.26,6.26,6.19,6.19,300
2015-06-08,6.11,6.27,6.03,6.27,9800
2015-06-09,6.27,6.27,6.27,6.27,0
2015-06-10,6.42,6.42,6.42,6.42,100
2015-06-11,6.42,6.42,6.42,6.42,0
2015-06-12,6.11,6.35,6.11,6.27,1800
2015-06-15,6.27,6.42,6.27,6.27,1300
2015-06-16,6.27,6.27,6.27,6.27,300
2015-06-17,6.27,6.27,6.27,6.27,0
2015-06-18,6.27,6.27,6.27,6.27,0
2015-06-19,6.27,6.27,6.27,6.27,0
2015-06-22,6.42,6.5,6.42,6.5,8000
2015-06-23,6.27,6.27,6.27,6.27,100
2015-06-24,6.35,6.5,6.35,6.5,4000
2015-06-25,6.5,6.5,6.03,6.27,1600
2015-06-26,6.11,6.11,6.11,6.11,100
2015-06-29,6.42,6.42,6.42,6.42,100
2015-06-30,6.42,6.42,6.42,6.42,0
2015-07-01,6.42,6.42,6.42,6.42,0
2015-07-02,6.42,6.5,6.42,6.42,1900
2015-07-03,6.42,6.66,6.42,6.66,2600
2015-07-06,6.27,6.27,6.27,6.27,100
2015-07-07,6.5,6.5,6.5,6.5,100
2015-07-08,6.5,6.5,6.42,6.5,6300
2015-07-09,6.5,6.5,6.5,6.5,0
2015-07-10,6.5,6.5,6.5,6.5,0
2015-07-13,6.5,6.5,6.5,6.5,0
2015-07-14,6.5,6.5,6.5,6.5,0
2015-07-15,6.5,6.5,6.5,6.5,0
2015-07-16,6.5,6.5,6.5,6.5,0
2015-07-17,6.35,6.35,6.35,6.35,3600
2015-07-20,5.72,6.58,5.72,6.58,200
2015-07-21,6.58,6.58,6.58,6.58,0
2015-07-22,6.58,6.58,6.58,6.58,0
2015-07-23,6.58,6.58,6.58,6.58,1500
2015-07-24,6.35,6.97,6.27,6.97,30600
2015-07-27,6.97,6.97,6.97,6.97,0
2015-07-28,6.66,7.05,6.66,6.66,7400
2015-07-29,6.27,6.74,6.27,6.74,3100
2015-07-30,6.66,6.74,6.58,6.74,2700
2015-07-31,6.66,6.66,6.58,6.58,11200
2015-08-03,6.66,6.97,6.66,6.66,8500
2015-08-04,6.97,7.21,6.74,7.21,11800
2015-08-05,6.66,7.68,6.66,7.68,200
2015-08-06,7.83,7.83,6.97,7.36,1100
2015-08-07,7.76,8.07,6.66,6.97,7400
2015-08-10,7.52,7.6,6.66,7.13,4500
