time,open,high,low,close,volume
2017-03-02,12.77,12.77,10.32,10.46,20000
2017-03-03,13.27,13.27,13.27,13.27,100
2017-03-06,15.23,15.23,15.23,15.23,700
2017-03-07,12.97,12.97,12.97,12.97,1000
2017-03-08,11.05,11.05,11.05,11.05,100
2017-03-09,9.43,9.43,9.43,9.43,5100
2017-03-10,10.81,10.81,10.81,10.81,100
2017-03-13,11.05,11.3,11.05,11.3,900
2017-03-14,11.3,11.3,11.3,11.3,0
2017-03-15,9.58,9.58,9.58,9.58,1000
2017-03-16,8.35,8.35,8.2,8.35,5500
2017-03-17,9.43,9.43,8.94,9.43,15047
2017-03-20,9.43,9.43,9.43,9.43,0
2017-03-21,9.38,9.38,9.38,9.38,0
2017-03-22,9.43,9.43,9.38,9.38,738
2017-03-23,9.43,9.43,9.43,9.43,0
2017-03-24,9.43,9.43,9.43,9.43,1500
2017-03-27,9.43,9.43,9.43,9.43,0
2017-03-28,8.84,8.84,8.84,8.84,300
2017-03-29,8.89,8.89,8.89,8.89,200
2017-03-30,9.09,9.09,8.94,9.09,14000
2017-03-31,9.33,9.33,9.33,9.33,2000
2017-04-03,9.33,9.33,9.33,9.33,0
2017-04-04,9.19,9.19,9.19,9.19,3000
2017-04-05,9.14,9.14,9.14,9.14,100
2017-04-07,7.86,9.09,7.86,9.09,200
2017-04-10,8.55,8.84,8.55,8.84,2000
2017-04-11,9.14,9.14,9.14,9.14,1000
2017-04-12,9.14,9.58,9.14,9.43,19734
2017-04-13,9.43,9.58,9.29,9.29,9300
2017-04-14,9.19,9.19,9.19,9.19,1000
2017-04-17,9.29,9.58,9.29,9.53,19100
2017-04-18,9.38,9.38,9.38,9.38,265
2017-04-19,8.99,8.99,8.99,8.99,11100
2017-04-20,8.99,8.99,8.99,8.99,0
2017-04-21,8.89,8.99,8.89,8.99,6201
2017-04-24,8.99,9.09,8.89,8.94,3000
2017-04-25,8.84,8.84,8.84,8.84,1134
2017-04-26,8.79,8.84,8.75,8.79,11116
2017-04-27,8.65,8.7,8.65,8.7,2500
2017-04-28,8.65,8.65,8.6,8.6,1400
2017-05-03,8.65,8.65,8.65,8.65,0
2017-05-04,7.42,8.75,7.42,8.75,5300
2017-05-05,8.75,8.75,8.7,8.7,5100
2017-05-08,8.84,8.84,8.84,8.84,100
2017-05-09,7.62,8.84,7.62,8.84,3300
2017-05-10,9.09,9.09,7.03,8.7,500
2017-05-11,7.07,8.75,7.07,7.37,5400
2017-05-12,7.52,7.52,7.52,7.52,5000
2017-05-15,7.52,7.52,7.37,7.37,7000
2017-05-16,6.93,7.37,6.93,7.37,2700
2017-05-17,7.86,7.86,7.07,7.07,2400
2017-05-18,7.12,7.12,7.12,7.12,4400
2017-05-19,7.37,7.37,7.17,7.17,500
2017-05-22,7.32,7.32,7.32,7.32,5300
2017-05-23,7.17,7.22,7.07,7.17,2100
2017-05-24,7.12,7.12,7.03,7.03,8400
2017-05-25,7.12,7.17,7.12,7.17,8400
2017-05-26,7.12,7.17,7.12,7.17,7000
2017-05-29,7.12,8.16,7.12,8.16,12800
2017-05-30,7.86,7.86,7.86,7.86,2000
2017-05-31,7.86,7.86,7.86,7.86,100
2017-06-01,7.42,7.42,7.37,7.42,5500
2017-06-02,7.52,7.52,7.52,7.52,2430
2017-06-05,7.86,8.11,7.86,7.86,4500
2017-06-06,8.06,8.06,8.06,8.06,1000
2017-06-07,8.11,8.11,7.86,7.86,2700
2017-06-08,7.86,8.01,7.86,7.86,3700
2017-06-09,8.11,8.11,8.11,8.11,200
2017-06-12,8.35,8.35,8.11,8.11,5600
2017-06-13,8.2,8.2,8.2,8.2,1593
2017-06-14,8.2,9.14,9.14,9.14,24
2017-06-15,7.96,7.96,7.96,7.96,1020
2017-06-16,8.3,8.4,8.3,8.4,3100
2017-06-19,7.37,8.35,7.37,7.47,9800
2017-06-20,8.35,8.35,8.35,8.35,100
