time,open,high,low,close,volume
2015-07-09,5.37,5.37,5.3,5.34,2820
2015-07-10,5.37,5.37,5.34,5.34,1700
2015-07-13,5.26,5.41,5.26,5.41,1390
2015-07-14,5.37,5.41,5.37,5.41,11430
2015-07-15,5.41,5.41,5.41,5.41,60
2015-07-16,5.41,5.45,5.41,5.41,5500
2015-07-17,5.41,5.41,5.41,5.41,1810
2015-07-20,5.37,5.41,5.37,5.41,3000
2015-07-21,5.37,5.41,5.37,5.41,2120
2015-07-22,5.34,5.41,5.34,5.41,20
2015-07-23,5.37,5.37,5.37,5.37,500
2015-07-24,5.37,5.37,5.37,5.37,150
2015-07-27,5.37,5.37,5.37,5.37,1610
2015-07-28,5.34,5.37,5.11,5.37,1150
2015-07-29,5.57,5.57,5.41,5.45,18140
2015-07-30,5.45,5.45,5.41,5.45,3150
2015-07-31,5.41,5.41,5.41,5.41,360
2015-08-03,5.33,5.33,5.29,5.29,1070
2015-08-04,5.29,5.29,5.29,5.29,600
2015-08-05,5.37,5.37,5.14,5.37,10110
2015-08-06,5.37,5.37,5.37,5.37,0
2015-08-07,5.37,5.37,5.37,5.37,50
2015-08-10,5.37,5.37,5.37,5.37,1760
2015-08-11,5.37,5.37,5.37,5.37,2200
2015-08-12,5.37,5.37,5.17,5.17,13400
2015-08-13,5.21,5.21,5.17,5.17,3670
2015-08-14,5.17,5.17,5.14,5.14,12580
2015-08-17,5.1,5.14,5.02,5.02,13030
2015-08-18,4.94,4.94,4.94,4.94,23300
2015-08-19,4.9,4.9,4.9,4.9,8070
2015-08-20,4.86,4.86,4.86,4.86,3000
2015-08-21,4.86,4.86,4.78,4.78,4460
2015-08-24,4.74,4.86,4.62,4.86,3010
2015-08-25,4.86,4.86,4.74,4.74,5100
2015-08-26,4.94,4.94,4.94,4.94,410
2015-08-27,4.94,4.94,4.94,4.94,1930
2015-08-28,5.06,5.06,4.9,4.9,2010
2015-08-31,5.02,5.02,5.02,5.02,10
2015-09-01,5.02,5.02,5.02,5.02,5070
2015-09-03,5.02,5.02,5.02,5.02,0
2015-09-04,4.78,5.02,4.78,5.02,410
2015-09-07,4.86,4.86,4.86,4.86,600
2015-09-08,5.02,5.02,4.94,4.98,3460
2015-09-09,4.78,4.98,4.78,4.86,2050
2015-09-10,4.94,4.94,4.94,4.94,200
2015-09-11,4.94,4.94,4.94,4.94,10
2015-09-14,4.94,4.94,4.94,4.94,0
2015-09-15,4.9,4.9,4.9,4.9,100
2015-09-16,5.14,5.14,4.78,4.9,4370
2015-09-17,4.78,4.78,4.62,4.62,17050
2015-09-18,4.74,4.74,4.62,4.62,16000
2015-09-21,4.62,4.62,4.62,4.62,11300
2015-09-22,4.7,4.7,4.42,4.62,28660
2015-09-23,4.5,4.5,4.42,4.46,18110
2015-09-24,4.46,4.46,4.46,4.46,0
2015-09-25,4.7,4.7,4.7,4.7,10
2015-09-28,4.7,4.7,4.46,4.46,23520
2015-09-29,4.46,4.46,4.19,4.27,23420
2015-09-30,4.35,4.35,3.99,4.27,74770
2015-10-01,4.19,4.19,4.15,4.15,2510
2015-10-02,4.23,4.23,4.15,4.15,220
