time,open,high,low,close,volume
2015-04-06,9.84,9.84,9.84,9.84,2000
2015-04-07,9.84,9.84,9.84,9.84,1800
2015-04-08,9.59,9.59,9.59,9.59,100
2015-04-09,9.59,9.59,9.59,9.59,0
2015-04-10,8.67,8.67,8.67,8.67,100
2015-04-13,9.53,9.53,9.53,9.53,100
2015-04-14,9.84,10.02,9.84,10.02,3200
2015-04-15,9.84,9.84,9.84,9.84,100
2015-04-16,9.84,9.84,9.84,9.84,4300
2015-04-17,9.84,9.84,9.84,9.84,0
2015-04-20,9.84,9.84,9.84,9.84,8400
2015-04-21,9.72,9.72,9.72,9.72,200
2015-04-22,10.15,10.15,10.15,10.15,1600
2015-04-23,9.22,10.15,9.22,9.96,10000
2015-04-24,9.84,9.96,9.84,9.96,900
2015-04-27,9.9,9.96,9.9,9.96,1100
2015-05-04,8.92,9.9,8.92,9.9,200
2015-05-05,9.9,10.15,9.9,10.15,400
2015-05-06,10.02,10.15,10.02,10.15,600
2015-05-07,10.09,10.09,10.09,10.09,100
2015-05-08,10.09,10.09,10.09,10.09,0
2015-05-11,10.09,10.09,10.09,10.09,0
2015-05-12,10.09,10.09,10.09,10.09,0
2015-05-13,10.15,10.21,10.15,10.21,3000
2015-05-14,10.21,10.21,10.21,10.21,10
2015-05-15,10.21,10.21,10.21,10.21,0
2015-05-18,10.15,10.15,10.15,10.15,1120
2015-05-19,10.15,10.15,10.15,10.15,0
2015-05-20,10.15,10.15,10.15,10.15,0
2015-05-21,10.15,10.15,10.15,10.15,0
2015-05-22,9.16,9.84,9.16,9.84,200
2015-05-25,8.61,9.59,8.61,9.59,200
2015-05-26,9.72,9.72,9.72,9.72,200
2015-05-27,9.72,9.78,9.72,9.78,300
2015-05-28,9.84,9.84,9.53,9.53,200
2015-05-29,9.53,9.53,9.53,9.53,0
2015-06-01,8.98,9.9,8.98,9.9,1500
2015-06-02,9.9,9.9,9.9,9.9,100
2015-06-03,9.9,9.9,9.9,9.9,0
2015-06-04,10.15,10.15,9.78,9.78,200
2015-06-05,9.47,9.47,9.47,9.47,100
2015-06-08,10.27,10.27,10.15,10.15,800
2015-06-09,10.15,10.15,10.15,10.15,0
2015-06-10,10.15,10.15,10.15,10.15,0
2015-06-11,10.27,10.27,9.9,9.9,300
2015-06-12,9.9,9.9,9.9,9.9,0
2015-06-15,9.22,9.96,9.22,9.96,500
2015-06-16,10.02,10.02,10.02,10.02,1000
2015-06-17,10.76,10.76,10.76,10.76,100
2015-06-18,9.96,9.96,9.96,9.96,8100
2015-06-19,10.95,10.95,9.9,9.9,400
2015-06-22,11.07,11.07,10.15,10.15,500
2015-06-23,11.32,11.32,11.32,11.32,100
2015-06-24,10.21,10.21,10.21,10.21,3500
2015-06-25,10.21,10.21,10.21,10.21,7400
2015-06-26,10.09,10.09,10.09,10.09,12500
2015-06-29,10.02,10.02,10.02,10.02,100
