time,open,high,low,close,volume
2017-04-10,7.8,7.8,7.8,7.8,0
2017-04-11,7.8,7.8,7.8,7.8,0
2017-04-12,7.8,7.8,7.8,7.8,0
2017-04-13,7.8,7.8,7.8,7.8,0
2017-04-14,7.8,7.8,7.8,7.8,0
2017-04-17,7.8,7.8,7.8,7.8,0
2017-04-18,7.8,7.8,7.8,7.8,0
2017-04-19,7.8,7.8,7.8,7.8,0
2017-04-20,7.8,7.8,7.8,7.8,0
2017-04-21,7.8,7.8,7.8,7.8,0
2017-04-24,7.8,7.8,7.8,7.8,0
2017-04-25,7.8,7.8,7.8,7.8,0
2017-04-26,7.8,7.8,7.8,7.8,0
2017-04-27,7.8,7.8,7.8,7.8,0
2017-04-28,7.8,7.8,7.8,7.8,0
2017-05-03,7.8,7.8,7.8,7.8,0
2017-05-04,7.8,7.8,7.8,7.8,0
2017-05-05,7.8,7.8,7.8,7.8,0
2017-05-08,7.8,7.8,7.8,7.8,0
2017-05-09,7.8,7.8,7.8,7.8,0
2017-05-10,7.8,7.8,7.8,7.8,0
2017-05-11,7.8,7.8,7.8,7.8,0
2017-05-12,7.8,7.8,7.8,7.8,0
2017-05-15,7.8,7.8,7.8,7.8,0
2017-05-16,7.8,7.8,7.8,7.8,0
2017-05-17,7.8,7.8,7.8,7.8,0
2017-05-18,7.8,7.8,7.8,7.8,0
2017-05-19,7.8,7.8,7.8,7.8,0
2017-05-22,7.8,7.8,7.8,7.8,0
2017-05-23,7.8,7.8,7.8,7.8,0
2017-05-24,7.8,7.8,7.8,7.8,0
2017-05-25,7.8,7.8,7.8,7.8,0
2017-05-26,7.8,7.8,7.8,7.8,0
2017-05-29,7.8,7.8,7.8,7.8,0
2017-05-30,7.8,7.8,7.8,7.8,0
2017-05-31,7.8,7.8,7.8,7.8,0
2017-06-01,7.8,7.8,7.8,7.8,0
2017-06-02,7.8,7.8,7.8,7.8,0
2017-06-05,7.8,7.8,7.8,7.8,0
2017-06-06,7.8,7.8,7.8,7.8,0
2017-06-07,7.8,7.8,7.8,7.8,0
2017-06-08,7.8,7.8,7.8,7.8,0
2017-06-09,7.8,7.8,7.8,7.8,0
2017-06-12,7.8,7.8,7.8,7.8,0
2017-06-13,7.8,7.8,7.8,7.8,0
2017-06-14,7.8,7.8,7.8,7.8,0
2017-06-15,7.8,7.8,7.8,7.8,0
2017-06-16,7.8,7.8,7.8,7.8,0
2017-06-19,7.8,7.8,7.8,7.8,0
2017-06-20,7.8,7.8,7.8,7.8,0
2017-06-21,7.8,7.8,7.8,7.8,0
2017-06-22,7.8,7.8,7.8,7.8,0
2017-06-23,7.8,7.8,7.8,7.8,0
2017-06-26,7.8,7.8,7.8,7.8,0
2017-06-27,7.8,7.8,7.8,7.8,0
2017-06-28,7.8,7.8,7.8,7.8,0
2017-06-29,7.8,7.8,7.8,7.8,0
2017-06-30,7.8,7.8,7.8,7.8,0
2017-07-03,7.8,7.8,7.8,7.8,0
2017-07-04,7.8,7.8,7.8,7.8,0
2017-07-05,7.8,7.8,7.8,7.8,0
2017-07-06,7.8,7.8,7.8,7.8,0
2017-07-07,7.8,7.8,7.8,7.8,0
2017-07-10,7.8,7.8,7.8,7.8,0
2017-07-11,7.8,7.8,7.8,7.8,0
2017-07-12,7.8,7.8,7.8,7.8,0
2017-07-13,7.8,7.8,7.8,7.8,0
2017-07-14,7.8,7.8,7.8,7.8,0
2017-07-17,7.8,7.8,7.8,7.8,0
2017-07-18,7.8,7.8,7.8,7.8,0
2017-07-19,7.8,7.8,7.8,7.8,0
2017-07-20,7.8,7.8,7.8,7.8,0
2017-07-21,7.8,7.8,7.8,7.8,0
2017-07-24,7.8,7.8,7.8,7.8,0
2017-07-25,7.8,7.8,7.8,7.8,0
2017-07-26,7.8,7.8,7.8,7.8,0
2017-07-27,7.8,7.8,7.8,7.8,0
2017-07-28,7.8,7.8,7.8,7.8,0
2017-07-31,7.8,7.8,7.8,7.8,0
2017-08-01,7.8,7.8,7.8,7.8,0
2017-08-02,7.8,7.8,7.8,7.8,0
2017-08-03,7.77,7.77,7.77,7.77,0
2017-08-04,7.77,7.77,7.77,7.77,0
2017-08-07,7.77,7.77,7.77,7.77,0
2017-08-08,7.77,7.77,7.77,7.77,0
2017-08-09,7.77,7.77,7.77,7.77,0
2017-08-10,7.77,7.77,7.77,7.77,0
2017-08-11,7.77,7.77,7.77,7.77,0
2017-08-14,7.77,7.77,7.77,7.77,0
2017-08-15,7.77,7.77,7.77,7.77,0
2017-08-16,7.77,7.77,7.77,7.77,0
2017-08-17,7.77,7.77,7.77,7.77,0
2017-08-18,7.77,7.77,7.77,7.77,0
2017-08-21,7.77,7.77,7.77,7.77,0
2017-08-22,7.77,7.77,7.77,7.77,0
2017-08-23,7.77,7.77,7.77,7.77,0
2017-08-24,7.77,7.77,7.77,7.77,0
2017-08-25,7.77,7.77,7.77,7.77,0
2017-08-28,7.77,7.77,7.77,7.77,0
2017-08-29,7.77,7.77,7.77,7.77,0
2017-08-30,7.77,7.77,7.77,7.77,0
2017-08-31,7.77,7.77,7.77,7.77,0
2017-09-01,7.77,7.77,7.77,7.77,0
2017-09-05,7.77,7.77,7.77,7.77,0
2017-09-06,7.77,7.77,7.77,7.77,0
2017-09-07,7.77,7.77,7.77,7.77,0
2017-09-08,7.77,7.77,7.77,7.77,0
2017-09-11,7.77,7.77,7.77,7.77,0
2017-09-12,7.77,7.77,7.77,7.77,0
2017-09-13,7.77,7.77,7.77,7.77,0
2017-09-14,7.77,7.77,7.77,7.77,0
2017-09-15,7.77,7.77,7.77,7.77,0
2017-09-18,7.77,7.77,7.77,7.77,0
2017-09-19,7.77,7.77,7.77,7.77,0
2017-09-20,7.77,7.77,7.77,7.77,0
2017-09-21,7.77,7.77,7.77,7.77,0
2017-09-22,7.77,7.77,7.77,7.77,0
2017-09-25,7.77,7.77,7.77,7.77,0
2017-09-26,7.77,7.77,7.77,7.77,0
2017-09-27,7.77,7.77,7.77,7.77,0
2017-09-28,7.77,7.77,7.77,7.77,0
2017-09-29,7.77,7.77,7.77,7.77,0
2017-10-02,7.77,7.77,7.77,7.77,0
2017-10-03,7.77,7.77,7.77,7.77,0
2017-10-04,7.77,7.77,7.77,7.77,0
2017-10-05,7.77,7.77,7.77,7.77,0
2017-10-06,7.77,7.77,7.77,7.77,0
