time,open,high,low,close,volume
2015-07-09,11.49,11.64,11.49,11.64,640
2015-07-10,11.6,11.6,11.6,11.6,310
2015-07-13,11.64,11.72,11.6,11.68,51560
2015-07-14,11.72,11.72,11.45,11.64,25180
2015-07-15,11.49,11.64,11.49,11.64,12590
2015-07-16,11.64,11.64,11.49,11.64,10860
2015-07-17,11.64,11.64,11.52,11.6,15180
2015-07-20,11.56,11.56,11.45,11.56,22620
2015-07-21,11.56,11.76,11.56,11.64,31420
2015-07-22,11.56,11.56,11.41,11.56,28630
2015-07-23,11.56,11.64,11.45,11.64,26220
2015-07-24,11.64,11.64,11.49,11.64,9940
2015-07-27,11.64,11.68,11.64,11.64,20360
2015-07-28,11.64,11.64,11.64,11.64,4290
2015-07-29,11.64,11.64,11.52,11.56,8710
2015-07-30,11.56,11.64,11.52,11.64,15880
2015-07-31,11.68,11.83,11.56,11.56,18680
2015-08-03,11.56,11.64,11.52,11.64,33500
2015-08-04,11.56,11.64,11.56,11.64,20
2015-08-05,11.52,11.68,11.52,11.64,1410
2015-08-06,11.64,11.64,11.6,11.64,5810
2015-08-07,11.76,11.76,11.6,11.64,3070
2015-08-10,11.6,11.6,11.56,11.56,15500
2015-08-11,11.6,11.6,11.52,11.52,10050
2015-08-12,11.68,11.68,11.56,11.56,2970
2015-08-13,11.56,11.56,11.49,11.56,7120
2015-08-14,11.45,11.56,11.45,11.49,9020
2015-08-17,11.49,11.56,11.49,11.49,33070
2015-08-18,11.49,11.49,11.49,11.49,10030
2015-08-19,11.49,11.52,11.49,11.49,15710
2015-08-20,11.49,11.49,11.45,11.49,15100
2015-08-21,11.45,11.45,11.25,11.33,27160
2015-08-24,11.25,11.29,10.86,10.86,55090
2015-08-25,10.63,11.1,10.52,11.1,35750
2015-08-26,10.86,11.33,10.86,11.25,2760
2015-08-27,11.25,11.41,11.25,11.25,7680
2015-08-28,11.45,11.45,11.25,11.25,18840
2015-08-31,11.37,11.41,11.29,11.37,28300
2015-09-01,11.25,11.37,11.25,11.37,1400
2015-09-03,11.25,11.25,11.21,11.21,11620
2015-09-04,11.21,11.45,11.21,11.37,2030
2015-09-07,11.41,11.41,11.37,11.37,1400
2015-09-08,11.33,11.41,11.25,11.41,3020
2015-09-09,11.29,11.41,11.29,11.37,1110
2015-09-10,11.37,11.37,11.33,11.37,5300
2015-09-11,11.37,11.45,11.37,11.37,12260
2015-09-14,11.45,11.45,11.37,11.37,12810
2015-09-15,11.25,11.41,10.67,11.25,380
2015-09-16,11.45,11.45,11.33,11.41,3530
2015-09-17,11.37,11.37,11.33,11.33,1500
2015-09-18,11.41,11.41,11.37,11.37,60
2015-09-21,11.25,11.37,11.21,11.37,14240
2015-09-22,11.37,11.37,11.37,11.37,2000
2015-09-23,11.33,11.41,11.29,11.41,230
2015-09-24,11.29,11.37,11.25,11.37,9220
2015-09-25,11.29,11.37,11.25,11.37,5700
2015-09-28,11.41,11.45,11.41,11.41,9460
2015-09-29,11.37,11.37,11.37,11.37,2050
