time,open,high,low,close,volume
2015-07-09,9.44,10.02,9.44,10.02,3500
2015-07-10,10.15,10.15,9.83,9.89,17930
2015-07-13,10.02,10.02,9.64,9.89,29250
2015-07-14,9.83,9.83,9.57,9.83,24640
2015-07-15,10.09,10.09,9.64,9.7,7360
2015-07-16,9.83,9.83,9.64,9.83,15200
2015-07-17,9.76,9.96,9.76,9.89,6290
2015-07-20,9.89,10.21,9.89,10.21,23040
2015-07-21,10.54,10.86,10.28,10.6,17160
2015-07-22,10.6,10.79,10.54,10.54,76240
2015-07-23,10.73,10.73,10.28,10.41,15830
2015-07-24,10.54,10.54,10.21,10.47,95870
2015-07-27,10.6,10.6,10.02,10.47,21470
2015-07-28,10.54,10.54,10.28,10.47,63610
2015-07-29,10.15,10.47,10.15,10.47,65030
2015-07-30,10.02,10.47,9.89,10.47,21390
2015-07-31,10.47,10.47,10.02,10.41,16880
2015-08-03,9.89,10.34,9.89,10.34,25890
2015-08-04,10.34,10.34,9.96,10.21,28300
2015-08-05,10.34,10.47,9.96,10.47,8050
2015-08-06,10.28,10.47,10.21,10.21,30500
2015-08-07,9.96,10.21,9.96,10.21,2880
2015-08-10,10.21,10.34,10.21,10.28,35260
2015-08-11,10.6,10.6,10.21,10.54,11550
2015-08-12,10.21,10.54,10.21,10.28,800
2015-08-13,10.28,10.34,9.96,10.28,9240
2015-08-14,10.47,10.47,10.47,10.47,110
2015-08-17,10.02,10.47,10.02,10.28,18970
2015-08-18,10.28,10.28,9.76,10.21,44240
2015-08-19,10.34,10.34,9.96,10.21,82500
2015-08-20,10.34,10.34,9.96,10.28,6200
2015-08-21,9.96,10.28,9.64,10.15,57800
2015-08-24,9.7,9.7,9.44,9.44,54830
2015-08-25,9.32,9.64,8.93,9.25,40880
2015-08-26,9.25,9.57,9.25,9.57,17850
2015-08-27,9.83,10.15,9.32,10.15,52340
2015-08-28,10.28,10.54,10.21,10.28,1360
2015-08-31,10.09,10.28,9.76,10.28,8100
2015-09-01,9.96,10.28,9.89,10.28,1480
2015-09-03,9.83,10.28,9.76,10.28,22850
2015-09-04,10.28,10.28,9.96,10.28,26210
2015-09-07,10.47,10.47,10.02,10.15,14100
2015-09-08,10.34,10.34,9.96,10.28,6100
2015-09-09,10.41,10.41,10.09,10.41,6540
2015-09-10,10.47,10.47,10.21,10.47,34730
2015-09-11,10.6,11.11,10.54,10.86,33090
2015-09-14,10.86,10.92,10.86,10.92,1000
2015-09-15,10.92,11.11,10.6,11.05,1220
2015-09-16,10.92,11.11,10.6,10.92,1280
2015-09-17,11.18,11.18,10.34,10.99,4150
2015-09-18,10.34,10.99,10.28,10.28,6570
2015-09-21,10.73,10.79,10.28,10.79,3400
2015-09-22,11.05,11.05,10.79,10.79,4070
2015-09-23,10.41,10.79,10.41,10.73,154660
2015-09-24,10.93,11.41,10.52,11.41,178130
2015-09-25,11.41,11.48,11.0,11.48,140650
2015-09-28,11.75,11.75,11.62,11.62,4000
2015-09-29,11.48,11.62,10.93,11.48,116300
2015-09-30,11.62,11.62,11.07,11.41,117250
2015-10-01,11.34,11.41,10.93,10.93,164440
2015-10-02,11.28,11.28,10.87,11.28,142130
2015-10-05,11.48,11.82,10.93,11.69,163600
2015-10-06,11.21,11.55,11.21,11.41,191340
2015-10-07,11.28,11.62,11.28,11.62,15110
2015-10-08,11.62,11.62,11.41,11.48,44450
2015-10-09,11.69,11.75,11.62,11.62,7030
2015-10-12,11.62,11.62,11.48,11.62,8480
2015-10-13,11.62,11.62,11.14,11.55,133900
2015-10-14,11.62,11.62,11.34,11.55,124160
2015-10-15,11.62,11.62,11.28,11.55,126710
2015-10-16,11.55,11.55,11.34,11.55,141390
2015-10-19,11.55,11.55,11.41,11.55,110310
2015-10-20,11.55,11.55,11.07,11.48,104820
2015-10-21,11.48,11.48,11.0,11.48,29400
2015-10-22,11.41,11.41,11.14,11.41,13760
2015-10-23,11.07,11.41,11.0,11.41,21350
2015-10-26,11.41,12.16,11.41,12.16,115090
2015-10-27,12.92,12.92,12.23,12.78,43340
2015-10-28,13.6,13.6,11.96,12.78,85140
2015-10-29,13.19,13.33,12.44,12.98,88240
2015-10-30,13.6,13.6,12.98,13.33,93840
2015-11-02,12.64,13.67,12.64,13.33,14030
2015-11-03,13.26,13.33,12.98,13.33,14740
2015-11-04,13.33,13.39,13.19,13.39,58910
2015-11-05,13.39,13.67,13.26,13.67,80820
2015-11-06,13.94,13.94,13.53,13.87,40970
2015-11-09,13.94,14.01,13.74,13.74,26780
2015-11-10,13.8,13.94,13.46,13.94,16150
2015-11-11,13.94,13.94,13.53,13.87,9200
2015-11-12,14.28,14.28,13.53,13.94,29160
2015-11-13,14.21,14.21,13.6,13.94,20340
2015-11-16,14.01,14.01,13.74,13.94,53520
2015-11-17,13.8,14.28,13.8,14.15,70920
2015-11-18,14.28,14.28,14.01,14.15,41460
2015-11-19,14.28,14.28,14.01,14.01,41640
2015-11-20,13.94,14.15,13.94,14.15,25520
2015-11-23,14.15,14.15,13.87,14.01,29460
2015-11-24,13.74,14.01,13.67,14.01,73010
2015-11-25,13.87,14.08,13.6,14.08,15310
2015-11-26,13.33,14.35,13.33,14.08,3110
2015-11-27,13.33,14.08,13.33,13.74,990
2015-11-30,13.33,13.8,13.33,13.74,8860
2015-12-01,13.33,13.94,13.33,13.94,3620
2015-12-02,13.94,13.94,13.33,13.87,5440
2015-12-03,13.87,13.87,13.87,13.87,110
2015-12-04,13.87,13.87,13.46,13.87,3410
2015-12-07,13.67,13.67,13.39,13.67,23990
2015-12-08,14.08,14.08,13.33,13.67,10240
2015-12-09,13.39,13.67,13.33,13.67,6750
2015-12-10,13.8,13.8,13.53,13.53,2650
2015-12-11,13.67,13.67,13.67,13.67,100
2015-12-14,13.33,13.94,13.33,13.39,14820
2015-12-15,13.39,13.67,13.19,13.19,41000
2015-12-16,13.6,13.94,13.6,13.6,1900
2015-12-17,13.6,13.67,13.53,13.6,11660
2015-12-18,13.74,13.74,12.98,13.6,3150
2015-12-21,13.8,13.8,13.33,13.67,8280
2015-12-22,13.67,13.67,12.98,13.67,5150
2015-12-23,13.33,13.67,12.98,13.67,3960
2015-12-24,13.33,13.6,13.33,13.6,8100
2015-12-25,13.33,13.33,13.05,13.05,10710
2015-12-28,13.26,13.26,13.05,13.05,1100
2015-12-29,13.05,13.33,12.71,12.98,420
2015-12-30,12.98,12.98,12.16,12.64,38520
2015-12-31,13.33,13.33,13.33,13.33,5720
2016-01-04,13.26,13.94,12.85,13.67,21960
2016-01-05,12.98,13.6,12.92,13.6,19410
2016-01-06,13.67,13.67,12.98,13.26,10860
2016-01-07,12.98,13.46,12.92,13.33,1580
2016-01-08,13.53,13.53,13.19,13.19,610
2016-01-11,12.64,13.26,12.64,13.19,2020
2016-01-12,13.05,13.19,12.98,13.19,9220
2016-01-13,12.64,13.19,12.64,12.98,70540
2016-01-14,12.98,12.98,12.37,12.98,23660
2016-01-15,13.12,13.12,12.64,12.98,1510
2016-01-18,12.37,12.98,12.23,12.71,21870
2016-01-19,11.96,12.71,11.96,12.57,100270
2016-01-20,12.51,12.51,11.89,12.23,50520
2016-01-21,12.1,12.23,11.75,11.89,125780
2016-01-22,11.75,11.89,11.55,11.69,47180
2016-01-25,11.75,11.75,11.55,11.62,114510
2016-01-26,11.55,11.55,11.28,11.48,79040
2016-01-27,11.55,11.62,11.55,11.62,64670
2016-01-28,11.62,12.37,11.55,12.16,235680
2016-01-29,12.23,12.37,12.23,12.37,173730
2016-02-01,12.03,12.37,12.03,12.3,187070
2016-02-02,12.3,12.3,11.96,12.3,177870
2016-02-03,12.3,12.71,12.16,12.71,178600
2016-02-04,12.71,12.78,12.64,12.78,87800
2016-02-05,12.78,12.78,12.57,12.71,93570
2016-02-15,12.71,12.71,12.64,12.71,145640
2016-02-16,12.71,12.71,12.37,12.51,231710
2016-02-17,12.51,12.57,12.23,12.23,142880
2016-02-18,12.16,12.23,12.03,12.16,203290
2016-02-19,12.16,12.78,12.16,12.71,241560
2016-02-22,12.71,13.26,12.71,13.26,200900
2016-02-23,13.26,13.33,12.85,12.98,198750
2016-02-24,12.98,13.26,12.85,13.26,268910
2016-02-25,13.33,13.33,12.98,12.98,261380
2016-02-26,13.05,13.12,12.78,13.05,242470
2016-02-29,12.98,13.12,12.92,13.05,259290
2016-03-01,13.05,13.94,12.98,13.87,468880
2016-03-02,13.87,13.94,13.6,13.74,331280
2016-03-03,13.74,13.8,13.6,13.74,292360
2016-03-04,13.74,14.28,13.67,13.94,318910
2016-03-07,13.94,14.08,13.6,13.6,328470
2016-03-08,13.67,13.8,13.33,13.46,318050
2016-03-09,13.46,13.46,13.05,13.12,286710
2016-03-10,13.05,13.33,13.05,13.26,325070
2016-03-11,13.26,13.74,13.12,13.6,471270
2016-03-14,13.6,13.94,13.6,13.87,569830
2016-03-15,13.87,14.56,13.8,14.42,953170
2016-03-16,14.28,15.03,14.28,14.69,1299090
2016-03-17,14.76,14.9,14.08,14.08,1225640
2016-03-18,14.01,14.49,13.87,14.21,496670
2016-03-21,14.15,14.35,13.87,14.01,577470
2016-03-22,14.01,14.21,13.87,14.21,354630
2016-03-23,14.21,15.17,14.08,15.17,901530
2016-03-24,15.17,15.58,15.03,15.24,548640
2016-03-25,15.1,15.1,14.62,14.62,628620
2016-03-28,14.69,15.17,14.69,15.17,337270
2016-03-29,15.38,15.79,15.17,15.17,279890
2016-03-30,15.24,15.51,15.24,15.44,224740
2016-03-31,15.58,15.58,14.9,14.9,333660
2016-04-01,14.9,15.1,14.83,15.03,344050
2016-04-04,14.97,15.1,14.83,14.83,216300
2016-04-05,14.76,15.1,14.76,15.1,294780
2016-04-06,15.1,15.24,14.83,15.1,504410
2016-04-07,15.1,16.13,15.1,15.72,522720
2016-04-08,15.92,16.2,15.58,15.85,321480
2016-04-11,15.85,16.88,15.85,16.33,609910
2016-04-12,16.47,16.67,16.26,16.26,385500
2016-04-13,16.26,16.33,15.99,15.99,428080
2016-04-14,15.85,16.4,15.85,15.92,360720
2016-04-15,16.2,16.2,15.38,15.85,626860
2016-04-19,15.72,15.72,15.44,15.51,140200
2016-04-20,15.51,15.58,15.03,15.38,262560
2016-04-21,15.44,15.65,15.44,15.51,164850
2016-04-22,15.44,16.2,15.31,16.2,228020
2016-04-25,16.33,16.54,16.2,16.4,475570
2016-04-26,16.4,16.4,15.99,16.4,141960
2016-04-27,16.13,16.33,15.99,16.06,184120
2016-04-28,16.06,16.26,15.92,16.13,134400
2016-04-29,16.13,16.4,16.13,16.4,224210
2016-05-04,16.77,17.06,16.4,16.77,119460
2016-05-05,16.98,16.98,16.55,16.62,216730
2016-05-06,16.62,16.69,16.33,16.55,417100
2016-05-09,16.55,16.55,16.33,16.33,233400
2016-05-10,16.25,16.25,15.23,15.82,314240
2016-05-11,15.74,16.18,15.45,16.18,257580
2016-05-12,16.25,16.4,16.18,16.25,133530
2016-05-13,16.25,16.25,15.89,15.96,226200
2016-05-16,15.89,16.18,15.67,16.18,261040
2016-05-17,16.11,16.4,16.11,16.33,327980
2016-05-18,16.4,16.4,16.18,16.33,420370
2016-05-19,16.25,16.33,16.11,16.25,353360
2016-05-20,16.18,16.47,16.18,16.47,309370
2016-05-23,16.47,16.47,16.25,16.25,280090
2016-05-24,16.33,16.33,16.04,16.25,342370
2016-05-25,16.25,17.35,16.18,17.35,955780
2016-05-26,17.35,17.86,17.2,17.57,747730
2016-05-27,17.57,18.15,17.57,17.71,663710
2016-05-30,17.35,17.64,17.2,17.28,564250
2016-05-31,17.13,17.49,17.13,17.42,327910
2016-06-01,17.42,17.64,17.35,17.57,245400
2016-06-02,17.93,18.08,17.64,17.79,503260
2016-06-03,17.71,17.86,17.57,17.57,307200
2016-06-06,17.42,17.64,17.35,17.49,290630
2016-06-07,17.49,17.86,17.49,17.71,444570
2016-06-08,17.79,18.95,17.79,18.95,954860
2016-06-09,19.17,20.19,19.17,20.12,772540
2016-06-10,20.19,20.19,19.68,19.97,476820
2016-06-13,19.83,19.83,19.1,19.46,691410
2016-06-14,19.46,20.77,19.46,20.77,1019900
2016-06-15,20.77,21.36,19.9,21.14,1038200
2016-06-16,21.07,21.14,20.34,20.34,902940
2016-06-17,20.12,20.19,19.68,19.83,673000
2016-06-20,19.97,20.19,19.83,20.19,356540
2016-06-21,20.19,20.99,20.05,20.99,1567610
2016-06-22,20.85,21.65,20.48,21.58,1672340
2016-06-23,21.58,21.65,21.21,21.28,787990
2016-06-24,21.28,21.28,19.83,20.41,1657860
2016-06-27,20.41,20.7,20.05,20.63,570070
2016-06-28,20.48,20.56,20.26,20.41,579210
2016-06-29,20.41,20.77,20.26,20.48,1181830
2016-06-30,20.56,21.14,20.41,20.85,2549240
2016-07-01,20.92,20.99,20.19,20.7,2550720
2016-07-04,20.77,20.77,20.19,20.19,1478000
2016-07-05,20.05,20.12,19.32,19.61,1645560
2016-07-06,19.46,20.34,19.17,20.12,715760
2016-07-07,20.12,20.19,19.83,19.9,763850
2016-07-08,19.83,20.26,19.68,19.97,513350
2016-07-11,19.97,19.97,19.39,19.46,626140
2016-07-12,19.32,19.68,19.1,19.53,429060
2016-07-13,19.53,20.05,19.53,19.9,435480
2016-07-14,19.9,20.05,19.46,19.46,313430
2016-07-15,19.53,19.68,19.24,19.61,285830
2016-07-18,19.68,19.68,19.32,19.46,485410
2016-07-19,19.46,19.83,19.24,19.46,408910
2016-07-20,19.46,20.41,19.46,20.05,705260
2016-07-21,20.34,20.34,19.75,19.83,158480
2016-07-22,19.83,19.83,19.39,19.61,212460
2016-07-25,19.75,19.75,19.53,19.68,182230
2016-07-26,19.68,19.68,19.46,19.61,229740
2016-07-27,19.61,19.75,19.61,19.68,193550
2016-07-28,19.68,20.56,19.68,20.56,746170
2016-07-29,20.56,21.43,20.56,20.7,572310
2016-08-01,20.7,20.7,20.34,20.34,229690
2016-08-02,20.34,20.34,19.53,19.61,528920
2016-08-03,19.17,19.53,18.88,19.24,599870
2016-08-04,19.32,19.68,19.02,19.02,411640
2016-08-05,18.73,19.1,18.66,18.95,365080
2016-08-08,18.95,19.39,18.95,19.02,205800
2016-08-09,19.1,19.61,19.02,19.53,447930
2016-08-10,19.53,19.9,19.53,19.83,309300
2016-08-11,19.9,20.26,19.83,20.19,419700
2016-08-12,20.34,20.34,19.68,19.9,331980
2016-08-15,19.9,20.05,19.61,20.05,357130
2016-08-16,20.05,20.63,20.05,20.26,954660
2016-08-17,20.26,20.26,19.97,19.97,291340
2016-08-18,19.9,20.26,19.9,20.05,252080
2016-08-19,20.05,20.26,19.75,19.75,330630
2016-08-22,19.9,19.9,19.46,19.75,318670
2016-08-23,19.75,20.26,19.68,20.26,471840
2016-08-24,20.26,20.63,20.26,20.41,451900
2016-08-25,20.48,20.48,20.12,20.12,200300
2016-08-26,20.12,20.26,19.83,19.97,578170
2016-08-29,19.97,20.26,19.53,19.53,420610
2016-08-30,19.53,19.68,19.46,19.61,328580
2016-08-31,19.68,19.97,19.61,19.83,269140
2016-09-01,19.83,20.34,19.75,20.34,512810
2016-09-05,20.41,20.48,19.97,19.97,260440
2016-09-06,20.05,20.26,20.05,20.12,222050
2016-09-07,20.12,20.26,19.97,20.19,328590
2016-09-08,20.26,21.36,20.19,21.07,1524390
2016-09-09,21.07,22.23,21.07,21.94,1026940
2016-09-12,21.72,21.94,21.07,21.21,449750
2016-09-13,21.28,21.72,21.28,21.72,495290
2016-09-14,21.65,21.94,21.28,21.39,295130
2016-09-15,21.28,21.43,21.25,21.32,297650
2016-09-16,21.36,21.58,21.25,21.36,247720
2016-09-19,21.47,22.85,21.47,22.74,896610
2016-09-20,22.27,23.25,22.27,22.74,378670
2016-09-21,22.92,23.18,22.52,22.52,330540
2016-09-22,22.52,22.81,22.16,22.34,437790
2016-09-23,22.3,22.85,22.3,22.81,381890
2016-09-26,22.81,23.11,22.38,22.63,213260
2016-09-27,22.63,23.25,22.6,22.89,234920
2016-09-28,23.03,23.4,22.85,22.85,275940
2016-09-29,22.81,22.92,21.9,22.01,593380
2016-09-30,21.94,21.98,21.43,21.43,757640
2016-10-03,21.43,21.72,21.21,21.21,283270
2016-10-04,21.21,21.58,21.07,21.07,414940
2016-10-05,20.92,21.39,20.92,21.07,233590
2016-10-06,21.07,21.28,21.03,21.14,227670
2016-10-07,21.28,21.28,20.63,20.77,297020
2016-10-10,20.77,21.14,20.56,20.56,137150
2016-10-11,20.56,21.54,20.26,21.54,675300
2016-10-12,21.5,21.5,20.96,21.14,88390
2016-10-13,21.03,21.5,20.77,21.36,157860
2016-10-14,20.99,21.76,20.77,21.36,451840
2016-10-17,21.36,21.36,21.1,21.28,71710
2016-10-18,21.36,21.43,20.81,21.36,281980
2016-10-19,21.47,21.69,21.25,21.25,420180
2016-10-20,21.25,21.43,20.99,21.14,166540
2016-10-21,21.32,21.32,20.92,20.99,154670
2016-10-24,21.07,21.21,20.92,20.92,249440
2016-10-25,20.99,20.99,20.52,20.52,209440
2016-10-26,20.52,20.7,20.23,20.56,343210
2016-10-27,20.56,20.63,20.41,20.56,147980
2016-10-28,20.77,20.77,20.48,20.48,175100
2016-10-31,20.63,20.7,20.41,20.41,165160
2016-11-01,20.41,20.63,20.41,20.52,179050
2016-11-02,20.59,20.63,20.45,20.59,160850
2016-11-03,20.59,20.63,20.26,20.63,203480
2016-11-04,20.63,20.7,20.56,20.63,209470
2016-11-07,20.56,20.7,20.52,20.63,144820
2016-11-08,20.63,20.99,20.63,20.99,530290
2016-11-09,20.92,20.92,19.68,20.66,276240
2016-11-10,20.66,21.47,20.66,21.43,533690
2016-11-11,21.36,21.36,21.07,21.28,180300
2016-11-14,21.21,21.21,20.92,21.14,228220
2016-11-15,21.07,21.21,20.92,21.07,186060
2016-11-16,21.07,21.43,21.07,21.28,397820
2016-11-17,21.28,21.28,20.99,21.07,196540
2016-11-18,21.14,21.28,20.85,21.07,183720
2016-11-21,21.07,21.28,20.7,21.28,235310
2016-11-22,20.99,21.28,20.99,21.14,178680
2016-11-23,21.07,21.21,20.23,20.26,747520
2016-11-24,20.34,21.21,19.68,20.7,1933330
2016-11-25,20.74,20.85,20.26,20.48,304280
