time,open,high,low,close,volume
2014-02-11,7.6,7.88,7.6,7.69,5617
2014-02-12,7.69,7.69,7.69,7.69,16800
2014-02-13,7.69,7.69,7.69,7.69,4400
2014-02-14,7.69,7.69,7.69,7.69,0
2014-02-17,7.5,7.69,7.5,7.69,9100
2014-02-18,7.6,7.6,7.6,7.6,3500
2014-02-19,7.6,7.69,7.6,7.69,7500
2014-02-20,7.69,7.69,7.6,7.6,17000
2014-02-21,7.6,7.6,7.6,7.6,21600
2014-02-24,7.6,7.69,7.6,7.69,2400
2014-02-25,7.31,7.69,7.31,7.69,5300
2014-02-26,7.69,7.69,7.69,7.69,9200
2014-02-27,7.69,7.69,7.69,7.69,11800
2014-02-28,7.69,7.98,7.69,7.98,6800
2014-03-03,7.69,7.69,7.6,7.69,9100
2014-03-04,7.5,7.69,7.5,7.69,13600
2014-03-05,7.5,7.69,7.5,7.5,16040
2014-03-06,7.69,7.69,7.5,7.69,11300
2014-03-07,7.5,7.5,7.5,7.5,2600
2014-03-10,7.5,7.79,7.5,7.79,2200
2014-03-11,7.69,7.69,7.6,7.6,7000
2014-03-12,7.5,7.88,7.5,7.88,14100
2014-03-13,7.69,7.69,7.6,7.6,5700
2014-03-14,7.69,7.69,7.69,7.69,6100
2014-03-17,7.79,7.79,7.79,7.79,18729
2014-03-18,7.69,7.88,7.69,7.88,17157
2014-03-19,7.69,7.88,7.69,7.88,335
2014-03-20,7.79,7.79,7.69,7.69,2200
2014-03-21,7.69,8.46,7.69,8.46,21486
2014-03-24,8.46,9.23,8.46,9.23,8514
2014-03-25,9.04,9.62,8.94,9.04,13076
2014-03-26,9.23,9.23,8.85,8.85,10700
2014-03-27,8.85,8.85,8.46,8.46,8200
2014-03-28,8.65,8.94,8.56,8.85,8724
2014-03-31,8.85,8.85,8.65,8.65,5200
2014-04-01,8.65,8.75,8.65,8.65,14300
2014-04-02,8.65,8.65,8.56,8.65,13000
2014-04-03,8.65,8.65,8.56,8.56,4100
2014-04-04,8.56,8.75,8.56,8.75,2400
2014-04-07,8.75,8.75,8.75,8.75,0
2014-04-08,8.75,8.75,8.75,8.75,0
2014-04-10,8.75,8.75,8.75,8.75,0
2014-04-11,8.75,8.75,8.75,8.75,300
2014-04-14,8.75,8.75,8.75,8.75,0
2014-04-15,8.75,8.75,8.75,8.75,0
2014-04-16,8.75,8.75,8.75,8.75,0
2014-04-17,8.75,8.75,8.75,8.75,0
2014-04-18,8.75,8.75,8.75,8.75,0
2014-04-21,8.46,8.46,8.46,8.46,100
2014-04-22,8.46,8.46,8.46,8.46,0
2014-04-23,8.46,8.46,8.46,8.46,0
2014-04-24,8.46,8.46,8.46,8.46,0
2014-04-25,8.46,8.46,8.46,8.46,100
2014-04-28,8.46,8.46,8.46,8.46,0
2014-04-29,8.46,8.46,8.46,8.46,0
2014-05-05,8.46,8.46,8.46,8.46,0
2014-05-06,8.46,8.46,8.46,8.46,0
2014-05-07,8.46,8.46,8.46,8.46,0
2014-05-08,8.46,8.46,8.46,8.46,0
2014-05-09,8.46,8.46,8.46,8.46,40
2014-05-12,8.46,8.46,8.46,8.46,0
2014-05-13,8.46,8.46,8.46,8.46,0
2014-05-14,8.46,8.46,8.46,8.46,0
2014-05-15,8.46,8.46,8.46,8.46,0
2014-05-16,8.46,8.46,8.46,8.46,0
2014-05-19,8.46,8.46,8.46,8.46,0
2014-05-20,8.46,8.46,8.46,8.46,0
2014-05-21,8.46,8.46,8.46,8.46,0
2014-05-22,7.69,7.69,7.69,7.69,500
2014-05-23,7.21,7.21,6.92,6.92,1600
2014-05-26,6.73,6.73,6.54,6.54,1400
2014-05-27,6.54,6.54,6.54,6.54,0
2014-05-28,6.54,6.54,6.54,6.54,0
2014-05-29,6.54,6.54,6.54,6.54,0
2014-05-30,6.54,6.54,6.54,6.54,0
2014-06-02,6.54,6.54,6.54,6.54,0
2014-06-03,6.54,6.54,6.54,6.54,0
2014-06-04,5.96,6.06,5.96,5.96,11400
2014-06-05,5.96,5.96,5.96,5.96,0
2014-06-06,5.96,5.96,5.96,5.96,0
2014-06-09,5.96,5.96,5.96,5.96,0
2014-06-10,5.96,5.96,5.96,5.96,0
2014-06-11,5.38,5.38,5.38,5.38,900
2014-06-12,5.38,5.38,5.38,5.38,4900
2014-06-13,5.58,5.58,5.58,5.58,1500
2014-06-16,5.48,5.48,5.38,5.38,5400
2014-06-17,5.38,5.38,5.38,5.38,0
2014-06-18,5.38,5.38,5.38,5.38,600
