time,open,high,low,close,volume
2014-05-26,5.5,5.7,5.2,5.7,971400
2014-05-27,5.7,6.0,5.5,5.9,2267973
2014-05-28,5.9,6.0,5.7,5.7,1305472
2014-05-29,5.7,5.9,5.5,5.8,1104807
2014-05-30,5.6,5.8,5.5,5.5,1023254
2014-06-02,5.4,5.6,5.2,5.2,1180000
2014-06-03,5.2,5.5,5.2,5.4,618800
2014-06-04,5.3,5.3,5.1,5.2,850080
2014-06-05,5.2,5.4,5.1,5.3,358590
2014-06-06,5.4,5.7,5.3,5.7,1263062
2014-06-09,5.6,5.8,5.5,5.5,1253825
2014-06-10,5.5,5.6,5.3,5.3,756600
2014-06-11,5.3,5.5,5.3,5.4,851631
2014-06-12,5.4,5.7,5.4,5.5,1345700
2014-06-13,5.5,5.6,5.4,5.5,617500
2014-06-16,5.5,5.6,5.5,5.6,510500
2014-06-17,5.6,5.8,5.5,5.7,1392150
2014-06-18,5.8,5.9,5.7,5.8,1844706
2014-06-19,5.7,5.7,5.4,5.6,1787500
2014-06-20,5.6,5.7,5.4,5.4,865100
2014-06-23,5.7,5.7,5.4,5.5,772200
2014-06-24,5.5,5.6,5.4,5.6,488000
2014-06-25,5.6,5.7,5.5,5.5,823270
2014-06-26,5.6,6.0,5.6,5.8,4050671
2014-06-27,5.8,5.9,5.7,5.7,794619
2014-06-30,5.7,5.8,5.7,5.8,651500
2014-07-01,5.7,6.0,5.6,5.9,1512810
2014-07-02,5.9,6.3,5.8,6.3,3038441
2014-07-03,6.3,6.5,6.1,6.2,1691865
2014-07-04,6.2,6.4,6.1,6.3,1788450
2014-07-07,6.2,6.5,6.2,6.4,1319803
2014-07-08,6.3,6.4,6.2,6.3,1109214
2014-07-09,6.3,6.6,6.3,6.4,2063927
2014-07-10,5.8,6.4,5.8,6.2,1544920
2014-07-11,6.1,6.2,6.0,6.1,1676232
2014-07-14,6.2,6.2,6.1,6.2,690700
2014-07-15,5.7,6.3,5.7,6.2,661534
2014-07-16,6.3,6.4,6.1,6.1,1796413
2014-07-17,5.5,6.2,5.5,6.2,1167465
2014-07-18,6.2,6.2,6.0,6.1,1157355
2014-07-21,6.2,6.2,5.9,6.0,1094496
2014-07-22,6.0,6.0,5.8,5.9,697520
2014-07-23,5.9,5.9,5.7,5.8,705330
2014-07-24,5.8,5.9,5.8,5.8,585129
2014-07-25,5.7,5.9,5.5,5.5,930860
2014-07-28,5.5,5.5,5.2,5.2,1490900
2014-07-29,5.2,5.3,5.2,5.3,572937
2014-07-30,5.4,5.5,5.3,5.4,530820
2014-07-31,5.4,5.6,5.4,5.6,662600
2014-08-01,5.5,5.6,5.4,5.5,512437
2014-08-04,5.4,5.5,5.4,5.5,401001
2014-08-05,5.5,5.7,5.4,5.6,860000
2014-08-06,5.6,5.9,5.6,5.9,1732000
2014-08-07,5.9,6.3,5.9,6.3,2721095
2014-08-08,6.3,6.4,6.1,6.1,1115984
2014-08-11,6.2,6.2,6.0,6.1,714635
2014-08-12,6.0,6.1,5.9,6.0,1405120
2014-08-13,6.0,6.2,5.9,6.2,868160
2014-08-14,6.2,6.3,6.0,6.0,1278719
2014-08-15,5.9,6.1,5.9,6.0,1170366
2014-08-18,6.0,6.2,6.0,6.1,842250
2014-08-19,6.1,6.3,6.0,6.1,1234000
2014-08-20,6.2,6.2,6.1,6.1,627610
2014-08-21,6.1,6.2,6.0,6.0,957426
2014-08-22,5.5,6.1,5.5,6.0,739868
2014-08-25,6.1,6.3,6.0,6.1,1207500
2014-08-26,6.2,6.2,6.1,6.2,1294960
2014-08-27,6.2,6.3,6.0,6.1,1326030
2014-08-28,6.1,6.3,6.1,6.2,1454485
2014-08-29,6.3,6.8,6.2,6.7,3719540
2014-09-03,6.8,6.9,6.6,6.7,1330239
2014-09-04,6.6,6.7,6.4,6.6,2152088
2014-09-05,6.6,6.7,6.4,6.7,1254137
2014-09-08,6.8,6.8,6.5,6.5,812970
2014-09-09,6.6,6.6,5.9,6.0,2488890
2014-09-10,6.0,6.1,5.8,6.1,1070654
2014-09-11,6.1,6.3,5.9,6.1,1017068
2014-09-12,6.2,6.4,6.1,6.4,1398400
2014-09-15,6.4,6.5,6.3,6.3,1529857
2014-09-16,6.2,6.3,6.0,6.3,778731
2014-09-17,6.3,6.4,6.1,6.2,959777
2014-09-18,6.2,6.2,5.9,5.9,1382427
2014-09-19,5.9,6.0,5.8,6.0,663010
2014-09-22,5.9,6.0,5.7,5.7,644400
2014-09-23,5.7,5.9,5.6,5.9,580200
2014-09-24,5.8,6.0,5.8,5.8,562800
2014-09-25,5.8,5.9,5.7,5.8,633407
2014-09-26,5.9,6.0,5.9,5.9,911520
2014-09-29,5.9,6.0,5.8,5.9,280197
2014-09-30,5.9,5.9,5.8,5.8,482371
2014-10-01,5.9,6.1,5.9,6.1,946532
2014-10-02,6.1,6.1,5.9,6.0,699365
2014-10-03,6.1,6.1,6.0,6.0,1183699
2014-10-06,6.1,6.2,6.0,6.1,856707
2014-10-07,6.1,6.4,6.1,6.3,2331425
2014-10-08,6.3,6.3,6.1,6.1,926958
2014-10-09,6.1,6.3,6.1,6.1,602459
2014-10-10,6.1,6.1,5.9,6.1,827405
2014-10-13,6.1,6.2,6.0,6.2,611378
2014-10-14,6.1,6.1,5.9,5.9,666150
2014-10-15,5.9,6.0,5.8,6.0,528570
2014-10-16,5.9,5.9,5.6,5.8,498600
2014-10-17,5.8,5.9,5.6,5.8,589500
2014-10-20,5.7,5.8,5.6,5.6,605800
2014-10-21,5.6,5.7,5.5,5.6,371412
2014-10-22,5.6,5.8,5.6,5.7,410390
2014-10-23,5.7,5.7,5.5,5.5,438900
2014-10-24,5.5,5.6,5.4,5.5,521800
2014-10-27,5.5,5.5,5.2,5.2,435164
2014-10-28,5.2,5.4,5.2,5.2,430526
2014-10-29,5.2,5.5,5.2,5.4,446020
2014-10-30,5.4,5.6,5.4,5.5,343739
2014-10-31,5.5,5.6,5.4,5.6,369000
2014-11-03,5.6,6.0,5.6,5.8,942100
2014-11-04,5.7,5.8,5.6,5.6,694775
2014-11-05,5.6,5.7,5.5,5.7,410825
2014-11-06,5.7,5.7,5.6,5.6,327005
2014-11-07,5.5,5.8,5.5,5.7,538500
2014-11-10,5.7,5.8,5.6,5.7,507821
2014-11-11,5.7,5.8,5.6,5.8,884642
2014-11-12,5.8,6.0,5.8,6.0,936931
2014-11-13,6.0,6.1,5.9,5.9,1056624
2014-11-14,5.9,6.0,5.7,5.9,690930
2014-11-17,5.9,5.9,5.7,5.8,782700
2014-11-18,5.7,5.9,5.7,5.7,564340
2014-11-19,5.7,5.8,5.6,5.6,444030
2014-11-20,5.7,5.8,5.6,5.8,513888
2014-11-21,5.7,5.8,5.6,5.6,833310
2014-11-24,5.6,5.6,5.4,5.6,890069
2014-11-25,5.5,5.6,5.5,5.6,172205
2014-11-26,5.6,5.7,5.5,5.5,665700
2014-11-27,5.5,5.6,5.4,5.6,335645
2014-11-28,5.6,5.6,5.5,5.6,560214
2014-12-01,5.6,5.8,5.5,5.6,819306
2014-12-02,5.6,5.9,5.6,5.8,1933429
2014-12-03,5.8,5.9,5.8,5.8,483000
2014-12-04,5.8,5.9,5.7,5.8,409457
2014-12-05,5.7,5.8,5.6,5.7,611715
2014-12-08,5.7,5.8,5.6,5.6,410488
2014-12-09,5.7,5.7,5.5,5.5,897513
2014-12-10,5.4,5.6,5.4,5.5,628970
2014-12-11,5.5,5.6,5.4,5.4,401302
2014-12-12,5.4,5.8,5.4,5.8,1237205
2014-12-15,6.3,6.3,5.8,5.9,1921891
2014-12-16,5.8,5.9,5.7,5.7,793808
2014-12-17,5.7,5.8,5.3,5.5,830832
2014-12-18,5.6,5.7,5.5,5.6,519609
2014-12-19,5.6,5.6,5.2,5.2,701740
2014-12-22,5.3,5.4,5.2,5.4,457100
2014-12-23,5.4,5.5,5.3,5.3,400900
2014-12-24,5.3,5.4,5.3,5.3,289023
2014-12-25,5.3,5.4,5.1,5.4,671100
