time,open,high,low,close,volume
2012-09-07,2.1,2.2,2.1,2.1,6690
2012-09-10,2.1,2.1,2.1,2.1,130
2012-09-11,2.0,2.0,2.0,2.0,50
2012-09-12,2.0,2.0,2.0,2.0,120
2012-09-13,1.9,1.9,1.9,1.9,2360
2012-09-14,1.8,1.8,1.8,1.8,2120
2012-09-17,1.8,1.8,1.7,1.7,2500
2012-09-18,1.6,1.6,1.6,1.6,200
2012-09-19,1.7,1.7,1.5,1.5,300
2012-09-20,1.4,1.4,1.4,1.4,4540
2012-09-21,1.4,1.4,1.3,1.3,7960
2012-09-24,1.2,1.3,1.2,1.2,4140
2012-09-25,1.2,1.3,1.1,1.3,4010
2012-09-26,1.3,1.3,1.2,1.3,4030
2012-09-27,1.3,1.4,1.2,1.4,3970
2012-09-28,1.4,1.4,1.3,1.4,8290
2012-10-01,1.4,1.4,1.3,1.3,280
2012-10-02,1.3,1.3,1.2,1.2,1080
2012-10-03,1.2,1.2,1.2,1.2,1440
2012-10-04,1.1,1.1,1.1,1.1,10020
2012-10-05,1.2,1.2,1.2,1.2,60
2012-10-08,1.2,1.3,1.1,1.3,5240
2012-10-09,1.4,1.4,1.2,1.4,15530
2012-10-10,1.4,1.5,1.3,1.5,30130
2012-10-11,1.5,1.6,1.4,1.6,15750
2012-10-12,1.6,1.7,1.5,1.7,47090
2012-10-15,1.7,1.7,1.6,1.7,2280
2012-10-16,1.6,1.6,1.6,1.6,5640
2012-10-17,1.5,1.5,1.5,1.5,4650
2012-10-18,1.4,1.5,1.4,1.5,72850
2012-10-19,1.5,1.6,1.5,1.5,2030
2012-10-22,1.5,1.5,1.5,1.5,0
2012-10-23,1.5,1.5,1.5,1.5,130
2012-10-24,1.4,1.5,1.4,1.4,930
2012-10-25,1.4,1.4,1.3,1.3,260
2012-10-26,1.4,1.4,1.4,1.4,530
2012-10-29,1.3,1.4,1.3,1.4,4380
2012-10-30,1.4,1.5,1.3,1.3,2400
2012-10-31,1.2,1.4,1.2,1.4,1190
2012-11-01,1.4,1.4,1.4,1.4,30
2012-11-02,1.3,1.5,1.3,1.4,4520
2012-11-05,1.3,1.5,1.3,1.4,1700
2012-11-06,1.3,1.4,1.3,1.4,2080
2012-11-07,1.4,1.4,1.3,1.3,2210
2012-11-08,1.4,1.4,1.2,1.2,2500
2012-11-09,1.3,1.3,1.2,1.3,130
2012-11-12,1.3,1.3,1.3,1.3,160
2012-11-13,1.2,1.3,1.2,1.2,340
2012-11-14,1.1,1.1,1.1,1.1,9530
2012-11-15,1.0,1.0,1.0,1.0,570
2012-11-16,1.0,1.1,0.9,1.0,11800
2012-11-19,0.9,1.0,0.9,1.0,1460
2012-11-20,0.9,0.9,0.9,0.9,4610
2012-11-21,1.0,1.0,0.9,0.9,5730
2012-11-22,0.8,0.9,0.8,0.9,1100
2012-11-23,0.9,0.9,0.8,0.9,4090
2012-11-26,0.8,0.9,0.8,0.9,1680
2012-11-27,0.9,0.9,0.8,0.8,2540
2012-11-28,0.9,0.9,0.7,0.8,2730
2012-11-29,0.9,0.9,0.8,0.8,40
2012-11-30,0.8,0.9,0.7,0.9,3040
2012-12-03,0.8,0.8,0.8,0.8,550
2012-12-04,0.8,0.8,0.8,0.8,70
2012-12-05,0.7,0.9,0.7,0.8,240
2012-12-06,0.9,0.9,0.7,0.8,6240
2012-12-07,0.8,0.8,0.7,0.8,1970
2012-12-10,0.8,0.8,0.7,0.8,2140
2012-12-11,0.8,0.9,0.7,0.7,51590
2012-12-12,0.8,0.8,0.6,0.6,59330
2012-12-13,0.7,0.7,0.7,0.7,23140
2012-12-14,0.8,0.8,0.8,0.8,2120
2012-12-17,0.9,0.9,0.9,0.9,96960
2012-12-18,1.0,1.0,0.8,0.9,20580
2012-12-19,0.9,1.0,0.9,1.0,13680
2012-12-20,1.0,1.0,0.9,0.9,12830
2012-12-21,0.8,0.9,0.8,0.8,4930
2012-12-24,0.8,0.8,0.8,0.8,3620
2012-12-25,0.7,0.8,0.7,0.7,32910
2012-12-26,0.7,0.8,0.7,0.8,20280
2012-12-27,0.9,0.9,0.8,0.9,31510
2012-12-28,0.9,1.0,0.8,0.9,14200
2013-01-02,0.9,1.0,0.8,0.9,48260
2013-01-03,0.9,0.9,0.8,0.8,50630
2013-01-04,0.9,0.9,0.9,0.9,13150
2013-01-07,1.0,1.0,1.0,1.0,57980
2013-01-08,1.0,1.1,1.0,1.1,45370
2013-01-09,1.2,1.2,1.2,1.2,18630
2013-01-10,1.3,1.3,1.3,1.3,77000
2013-01-11,1.4,1.4,1.4,1.4,49250
2013-01-14,1.5,1.5,1.5,1.5,5170
2013-01-15,1.6,1.6,1.6,1.6,43430
2013-01-16,1.7,1.7,1.7,1.7,13030
2013-01-17,1.8,1.8,1.8,1.8,42720
2013-01-18,1.9,1.9,1.7,1.8,119270
2013-01-21,1.8,1.8,1.7,1.7,32990
2013-01-22,1.6,1.6,1.6,1.6,3550
2013-01-23,1.5,1.5,1.5,1.5,6190
2013-01-24,1.4,1.4,1.4,1.4,630
2013-01-25,1.3,1.5,1.3,1.4,51320
2013-01-28,1.5,1.5,1.3,1.5,28160
2013-01-29,1.4,1.6,1.4,1.6,31850
2013-01-30,1.6,1.6,1.5,1.6,29800
2013-01-31,1.5,1.6,1.5,1.6,22980
2013-02-01,1.6,1.6,1.5,1.5,6700
2013-02-04,1.5,1.5,1.5,1.5,3810
2013-02-05,1.5,1.5,1.4,1.4,2910
2013-02-06,1.3,1.4,1.3,1.3,23310
2013-02-07,1.4,1.4,1.3,1.4,5680
2013-02-08,1.3,1.3,1.3,1.3,26200
2013-02-18,1.2,1.3,1.2,1.2,48660
2013-02-19,1.2,1.3,1.1,1.3,38460
2013-02-20,1.4,1.4,1.3,1.4,40230
2013-02-21,1.5,1.5,1.4,1.4,81940
2013-02-22,1.3,1.5,1.3,1.5,49370
2013-02-25,1.5,1.5,1.4,1.5,9920
2013-02-26,1.4,1.5,1.4,1.4,59820
2013-02-27,1.3,1.4,1.3,1.3,11450
2013-02-28,1.3,1.4,1.3,1.4,12420
2013-03-01,1.3,1.4,1.3,1.3,69280
2013-03-04,1.2,1.2,1.2,1.2,7780
2013-03-05,1.2,1.2,1.1,1.2,10870
2013-03-06,1.2,1.3,1.2,1.3,3590
2013-03-07,1.2,1.2,1.2,1.2,7030
2013-03-08,1.2,1.3,1.1,1.3,3650
2013-03-11,1.2,1.3,1.2,1.3,40630
2013-03-12,1.3,1.3,1.2,1.2,16470
2013-03-13,1.1,1.2,1.1,1.1,53660
2013-03-14,1.0,1.0,1.0,1.0,12180
2013-03-15,0.9,0.9,0.9,0.9,53280
2013-03-18,0.8,0.9,0.8,0.8,82680
2013-03-19,0.7,0.7,0.7,0.7,79170
2013-03-20,0.6,0.8,0.6,0.7,86710
2013-03-21,0.6,0.8,0.6,0.7,40710
2013-03-22,0.7,0.8,0.7,0.7,45050
2013-03-25,0.7,0.8,0.7,0.8,21840
2013-03-26,0.8,0.8,0.7,0.8,30180
2013-03-27,0.7,0.8,0.7,0.7,51560
2013-03-28,0.7,0.8,0.6,0.7,16690
2013-03-29,0.7,0.8,0.7,0.7,23700
2013-04-01,0.7,0.8,0.6,0.8,19200
2013-04-02,0.8,0.8,0.7,0.7,39550
2013-04-03,0.6,0.7,0.6,0.6,36200
2013-04-04,0.5,0.7,0.5,0.5,10100
2013-04-05,0.6,0.6,0.5,0.6,13370
2013-04-08,0.6,0.7,0.5,0.7,42250
2013-04-09,0.7,0.7,0.6,0.6,35030
2014-12-15,0.9,0.9,0.9,0.9,8400
2014-12-16,1.0,1.0,1.0,1.0,100
2014-12-17,1.1,1.1,1.1,1.1,140
2014-12-18,1.2,1.2,1.2,1.2,1100
2014-12-19,1.3,1.3,1.3,1.3,980
2014-12-22,1.4,1.4,1.4,1.4,920
2014-12-23,1.5,1.5,1.5,1.5,1200
