time,open,high,low,close,volume
2015-07-09,4.47,4.47,4.45,4.47,146920
2015-07-10,4.45,4.47,4.45,4.45,114510
2015-07-13,4.45,4.48,4.45,4.48,48250
2015-07-14,4.48,4.48,4.45,4.48,11000
2015-07-15,4.5,4.63,4.5,4.5,243830
2015-07-16,4.5,4.54,4.5,4.54,49400
2015-07-17,4.52,4.54,4.52,4.54,32900
2015-07-20,4.5,4.5,4.47,4.5,123190
2015-07-21,4.5,4.67,4.5,4.52,122480
2015-07-22,4.54,4.74,4.54,4.72,189610
2015-07-23,4.78,4.82,4.69,4.78,84550
2015-07-24,4.76,4.8,4.72,4.76,57310
2015-07-27,4.74,4.78,4.71,4.78,58010
2015-07-28,4.76,4.85,4.76,4.85,190040
2015-07-29,4.96,4.96,4.78,4.78,52500
2015-07-30,4.8,4.82,4.76,4.76,36600
2015-07-31,4.76,4.82,4.76,4.78,53000
2015-08-03,4.76,4.76,4.63,4.72,121870
2015-08-04,4.72,4.72,4.67,4.69,69110
2015-08-05,4.69,4.72,4.69,4.72,46080
2015-08-06,4.72,4.78,4.71,4.71,49760
2015-08-07,4.78,4.82,4.72,4.76,111650
2015-08-10,5.07,5.07,4.77,4.81,73350
2015-08-11,4.79,4.95,4.79,4.95,77260
2015-08-12,4.95,5.01,4.85,4.97,58320
2015-08-13,4.99,5.03,4.93,4.99,90120
2015-08-14,4.95,4.95,4.89,4.95,59360
2015-08-17,5.28,5.28,4.91,4.91,54820
2015-08-18,4.95,5.05,4.93,5.01,20560
2015-08-19,4.95,5.16,4.87,5.05,97870
2015-08-20,4.95,4.97,4.85,4.85,27020
2015-08-21,4.83,4.87,4.77,4.87,86810
2015-08-24,4.83,4.83,4.55,4.55,229300
2015-08-25,4.39,4.65,4.39,4.63,72470
2015-08-26,4.63,4.73,4.63,4.71,32750
2015-08-27,4.77,4.77,4.67,4.75,7020
2015-08-28,4.69,4.81,4.69,4.75,36850
2015-08-31,4.73,4.75,4.71,4.75,21020
2015-09-01,4.75,4.95,4.67,4.73,31690
