time,open,high,low,close,volume
2015-07-09,31.22,32.3,31.22,31.87,109080
2015-07-10,32.08,32.08,31.65,31.87,31340
2015-07-13,32.08,32.08,31.65,31.65,19600
2015-07-14,31.87,32.3,31.65,31.87,71350
2015-07-15,32.08,32.08,31.65,32.08,34980
2015-07-16,32.08,32.08,31.22,31.87,26710
2015-07-17,31.87,32.08,31.65,31.87,34690
2015-07-20,31.87,32.08,31.65,32.08,35040
2015-07-21,32.08,32.3,32.08,32.08,70460
2015-07-22,32.08,32.08,31.65,31.65,64400
2015-07-23,31.87,33.82,31.87,33.82,388000
2015-07-24,34.25,35.77,34.25,34.9,115140
2015-07-27,35.34,35.55,34.69,34.69,56380
2015-07-28,34.25,34.47,33.38,33.38,93930
2015-07-29,33.38,33.6,32.52,32.52,119550
2015-07-30,33.17,33.17,32.52,32.95,22130
2015-07-31,32.52,32.95,32.08,32.08,22790
2015-08-03,32.08,32.08,31.43,31.43,55980
2015-08-04,31.43,32.08,31.43,32.08,31960
2015-08-05,32.08,32.3,32.08,32.08,24740
2015-08-06,32.08,32.52,31.87,31.87,36720
2015-08-07,32.52,32.52,31.87,32.08,35740
2015-08-10,32.08,32.3,32.08,32.3,35640
2015-08-11,32.52,32.73,32.3,32.3,28950
2015-08-12,32.3,32.52,31.65,32.3,20090
2015-08-13,31.87,32.3,31.65,32.08,23680
2015-08-14,32.08,32.08,31.65,31.65,36630
2015-08-17,31.65,31.87,31.43,31.87,18620
2015-08-18,31.87,31.87,31.22,31.65,24010
2015-08-19,31.43,31.65,31.22,31.65,10090
2015-08-20,31.43,31.43,31.0,31.43,40070
2015-08-21,31.22,31.43,29.48,30.35,66170
2015-08-24,30.35,30.35,28.4,28.4,91030
2015-08-25,27.31,29.05,27.31,27.96,32720
2015-08-26,27.75,29.05,27.53,29.05,13660
2015-08-27,29.48,31.0,29.48,30.78,23680
2015-08-28,30.78,30.78,30.35,30.57,12860
2015-08-31,31.22,31.22,30.35,30.57,10280
2015-09-01,30.35,30.35,29.92,29.92,15570
2015-09-03,29.48,29.48,28.62,28.62,50760
2015-09-04,28.62,29.05,28.62,28.83,34460
2015-09-07,29.05,29.92,28.62,28.83,14450
2015-09-08,28.62,28.83,28.4,28.62,45220
2015-09-09,28.62,28.83,28.4,28.62,58800
2015-09-10,28.83,28.83,27.96,27.96,56690
2015-09-11,28.4,28.62,27.96,28.18,38510
2015-09-14,28.4,28.4,27.96,28.18,34990
2015-09-15,28.18,28.18,27.96,27.96,10060
2015-09-16,27.96,28.18,27.75,27.96,15520
2015-09-17,27.96,27.96,27.75,27.75,9090
2015-09-18,27.96,28.4,27.96,28.4,22530
2015-09-21,28.18,28.18,27.96,27.96,35110
2015-09-22,27.96,28.18,27.75,28.18,36010
2015-09-23,28.18,28.4,27.96,28.18,21010
2015-09-24,28.62,28.62,28.18,28.18,42120
2015-09-25,28.4,28.4,28.18,28.4,19930
2015-09-28,28.4,28.62,28.18,28.62,29620
2015-09-29,28.62,28.62,27.96,28.18,46140
2015-09-30,28.4,28.83,28.4,28.83,34210
2015-10-01,28.83,28.83,28.62,28.83,27220
2015-10-02,29.27,29.27,28.83,29.05,8470
2015-10-05,29.05,30.35,29.05,30.13,71320
2015-10-06,30.78,31.65,30.78,31.22,97910
2015-10-07,31.43,31.43,29.92,30.35,40010
2015-10-08,29.7,30.57,29.48,30.13,35300
2015-10-09,30.35,30.35,29.92,30.13,35450
2015-10-12,30.13,30.35,29.27,29.27,15130
2015-10-13,29.48,29.48,29.05,29.48,68260
2015-10-14,29.48,29.48,29.05,29.05,57860
2015-10-15,29.05,29.27,29.05,29.05,31070
2015-10-16,29.27,29.48,29.05,29.27,42160
2015-10-19,29.48,29.48,29.27,29.48,33640
2015-10-20,29.48,29.92,29.48,29.48,13180
2015-10-21,29.48,29.92,29.48,29.92,33580
2015-10-22,29.92,29.92,29.7,29.92,8660
2015-10-23,29.92,30.35,29.92,30.13,11060
2015-10-26,30.13,30.13,29.48,29.7,20190
2015-10-27,29.7,29.7,29.48,29.7,12440
2015-10-28,29.7,29.7,29.48,29.7,5800
2015-10-29,29.7,31.22,29.7,31.0,102320
2015-10-30,30.78,31.0,30.57,30.78,26140
2015-11-02,30.78,30.78,29.92,30.13,15720
2015-11-03,30.13,30.13,29.7,30.13,39020
2015-11-04,29.7,30.13,29.48,29.7,88490
2015-11-05,29.7,29.7,29.27,29.48,13110
2015-11-06,29.48,30.57,29.48,29.92,24760
2015-11-09,29.92,30.57,29.92,30.57,45570
2015-11-10,29.92,30.35,29.92,30.35,23500
2015-11-11,30.13,30.57,30.13,30.57,20660
2015-11-12,30.35,30.35,29.92,30.13,5730
2015-11-13,30.13,30.13,29.48,30.13,19520
2015-11-16,30.13,30.13,29.7,29.7,21460
2015-11-17,30.13,30.35,29.48,29.48,25350
2015-11-18,29.48,29.92,29.48,29.92,7390
2015-11-19,29.92,29.92,29.7,29.92,4220
2015-11-20,29.92,30.13,29.48,29.92,4300
2015-11-23,30.13,30.13,29.7,29.7,10510
2015-11-24,29.92,29.92,29.48,29.7,15090
2015-11-25,29.48,29.7,29.05,29.05,6720
2015-11-26,29.05,29.48,29.05,29.05,25210
2015-11-27,29.05,29.27,28.83,28.83,15050
2015-11-30,28.83,29.05,28.62,28.62,12940
2015-12-01,28.62,29.05,28.4,29.05,14430
2015-12-02,29.05,29.05,28.83,29.05,4250
2015-12-03,28.4,29.05,28.4,29.05,8930
2015-12-04,29.05,29.05,28.62,28.83,5110
2015-12-07,28.83,28.83,28.18,28.18,5530
2015-12-08,28.4,28.62,28.18,28.62,15020
2015-12-09,28.83,28.83,28.4,28.4,6630
2015-12-10,28.18,28.18,27.53,27.53,39000
2015-12-11,27.53,27.96,27.53,27.75,7460
2015-12-14,28.4,28.4,27.53,27.53,14300
2015-12-15,27.96,27.96,27.53,27.75,6970
2015-12-16,27.53,27.75,27.53,27.75,35120
2015-12-17,27.75,28.4,27.75,28.4,10420
2015-12-18,28.83,28.83,28.18,28.83,14120
2015-12-21,28.83,28.83,28.18,28.18,9870
2015-12-22,28.62,28.83,28.4,28.62,9450
2015-12-23,28.62,28.62,28.62,28.62,4520
2015-12-24,28.62,28.62,28.4,28.4,3900
2015-12-25,27.31,28.4,27.31,28.18,1820
2015-12-28,28.62,28.62,27.96,27.96,4240
2015-12-29,28.18,28.4,28.18,28.4,10010
2015-12-30,28.83,28.83,28.4,28.83,11610
2015-12-31,28.62,28.83,28.62,28.83,15170
2016-01-04,28.62,28.62,28.4,28.4,20800
2016-01-05,28.62,28.83,28.18,28.18,2140
2016-01-06,28.18,28.4,28.18,28.18,8990
2016-01-07,28.62,28.62,27.53,28.18,2970
2016-01-08,28.18,28.18,27.75,28.18,7010
2016-01-11,28.18,28.18,27.75,27.75,2170
2016-01-12,27.53,27.75,27.53,27.75,7940
2016-01-13,27.96,27.96,27.75,27.75,9400
2016-01-14,27.96,27.96,27.31,27.31,32020
2016-01-15,27.75,27.75,27.31,27.31,20380
2016-01-18,27.53,27.53,26.66,26.66,10670
2016-01-19,26.45,27.75,26.45,27.31,20650
2016-01-20,27.1,27.31,26.66,27.1,4100
2016-01-21,27.31,27.31,26.01,27.1,20060
2016-01-22,27.31,27.31,27.1,27.1,11510
2016-01-25,27.53,27.75,27.31,27.53,2620
2016-01-26,27.53,27.53,26.45,27.31,13420
2016-01-27,27.31,27.53,26.88,27.31,4990
2016-01-28,27.53,27.75,26.88,27.31,16190
2016-01-29,27.75,28.62,27.75,28.62,17550
2016-02-01,28.62,29.27,28.62,28.83,5000
2016-02-02,28.83,30.78,28.18,30.57,59620
2016-02-03,30.78,32.3,30.78,31.65,85390
2016-02-04,31.87,32.3,31.65,31.65,38170
2016-02-05,31.65,32.3,31.65,31.65,66540
2016-02-15,32.3,32.52,31.65,32.52,73480
2016-02-16,32.52,34.69,32.52,34.25,156840
2016-02-17,34.25,35.99,34.25,34.69,219480
2016-02-18,35.34,35.34,34.03,34.25,107290
2016-02-19,34.25,34.25,33.82,34.25,75100
2016-02-22,34.25,35.99,34.03,35.99,118570
2016-02-23,35.99,36.64,35.77,35.99,120270
2016-02-24,35.99,36.2,35.77,35.99,56500
2016-02-25,35.99,36.64,35.99,36.2,106930
2016-02-26,36.2,37.72,35.99,37.72,116260
2016-02-29,37.94,39.24,37.72,38.8,91090
2016-03-01,39.02,39.02,38.37,38.59,80390
2016-03-02,38.59,39.02,38.37,38.59,56970
2016-03-03,38.8,38.8,37.72,37.72,49190
2016-03-04,37.29,38.59,37.07,37.72,83980
2016-03-07,37.72,38.15,36.42,36.85,91680
2016-03-08,35.55,37.29,35.55,36.42,105740
2016-03-09,37.07,37.29,36.2,37.29,50610
2016-03-10,37.29,37.72,36.85,37.72,55540
2016-03-11,37.72,37.94,37.07,37.5,49070
2016-03-14,37.5,37.5,36.85,37.07,59810
2016-03-15,36.85,36.85,36.2,36.85,88120
2016-03-16,37.29,37.29,36.2,36.2,42700
2016-03-17,36.2,36.85,35.99,36.85,76710
2016-03-18,37.29,37.29,36.42,36.85,60980
2016-03-21,36.85,36.85,35.99,36.2,59910
2016-03-22,35.99,36.64,35.77,35.99,48420
2016-03-23,36.42,37.72,35.99,37.72,133060
2016-03-24,38.37,38.37,37.29,37.5,44430
2016-03-25,36.85,37.07,36.64,37.07,37370
2016-03-28,36.64,37.29,36.42,37.07,35410
2016-03-29,37.29,38.37,36.85,37.72,116900
2016-03-30,37.72,37.94,37.29,37.94,30750
2016-03-31,37.5,37.72,35.55,36.42,135720
2016-04-01,35.99,36.64,35.99,36.42,29250
2016-04-04,36.42,37.07,36.42,36.85,18720
2016-04-05,36.64,37.29,36.64,37.29,21580
2016-04-06,37.07,37.72,37.07,37.72,24610
2016-04-07,37.72,38.37,37.07,37.29,66120
2016-04-08,37.07,39.45,36.64,38.8,189310
2016-04-11,39.02,40.54,39.02,39.89,152590
2016-04-12,40.32,40.32,39.45,39.45,67670
2016-04-13,39.89,40.76,39.45,39.89,113810
2016-04-14,39.89,39.89,39.02,39.02,37600
2016-04-15,39.45,39.45,38.59,38.8,98060
2016-04-19,37.72,37.94,36.2,36.2,156620
2016-04-20,36.64,37.07,35.99,36.64,114210
2016-04-21,36.85,37.07,36.42,36.85,65360
2016-04-22,37.29,37.29,36.64,37.07,26560
2016-04-25,37.07,37.07,36.64,36.64,34630
2016-04-26,36.64,37.29,36.2,37.29,64580
2016-04-27,37.29,37.5,36.85,37.07,60400
2016-04-28,37.07,37.07,36.64,37.07,20760
2016-04-29,37.07,37.07,36.42,36.64,30890
2016-05-04,36.42,36.64,36.2,36.64,11100
2016-05-05,37.07,37.94,37.07,37.72,75660
