time,open,high,low,close,volume
2015-07-09,16.68,16.85,16.52,16.85,16540
2015-07-10,16.85,16.85,16.52,16.85,51330
2015-07-13,16.68,17.01,16.68,17.01,8020
2015-07-14,17.01,17.01,16.85,17.01,8660
2015-07-15,17.01,17.01,16.52,16.52,38060
2015-07-16,16.85,16.85,16.13,16.2,111290
2015-07-17,16.2,16.52,16.07,16.2,82020
2015-07-20,16.2,16.85,16.04,16.1,69090
2015-07-21,16.1,16.2,15.94,16.04,73650
2015-07-22,16.04,16.36,16.04,16.2,154850
2015-07-23,16.2,16.2,15.39,16.1,117380
2015-07-24,16.1,16.1,15.42,15.97,214990
2015-07-27,16.0,16.85,16.0,16.85,120170
2015-07-28,16.68,16.68,16.04,16.52,93000
2015-07-29,16.52,16.52,15.87,16.13,43080
2015-07-30,16.13,16.2,15.91,15.91,87340
2015-07-31,15.91,16.17,15.84,16.17,56810
2015-08-03,15.91,16.13,15.75,16.1,13810
2015-08-04,16.1,16.1,15.75,16.04,12770
2015-08-05,16.07,16.68,16.04,16.2,136760
2015-08-06,16.2,16.52,16.07,16.2,12180
2015-08-07,16.2,16.2,16.17,16.2,1530
2015-08-10,16.2,16.2,15.87,16.17,13000
2015-08-11,15.94,16.2,15.94,16.13,26180
2015-08-12,16.1,16.1,15.87,16.0,18820
2015-08-13,15.87,15.97,15.75,15.94,50580
2015-08-14,15.94,15.94,15.75,15.94,24830
2015-08-17,15.94,15.94,15.71,15.94,54560
2015-08-18,15.71,15.97,15.71,15.97,16370
2015-08-19,15.97,15.97,15.75,15.94,7970
2015-08-20,15.87,15.91,15.75,15.84,71980
2015-08-21,15.78,15.78,15.39,15.71,36950
2015-08-24,15.23,15.55,14.64,14.64,132250
2015-08-25,13.7,15.39,13.67,15.39,195500
2015-08-26,15.39,15.39,14.58,15.16,155050
2015-08-27,15.36,15.36,14.71,15.19,46030
2015-08-28,14.94,15.16,14.77,15.13,41950
2015-08-31,15.13,15.13,14.64,14.9,206010
2015-09-01,15.0,15.55,14.84,15.49,34670
