time,open,high,low,close,volume
2015-07-09,6.43,6.43,6.43,6.43,0
2015-07-10,6.43,6.43,6.43,6.43,0
2015-07-13,6.43,6.43,6.43,6.43,0
2015-07-14,6.43,6.43,6.43,6.43,0
2015-07-15,6.43,6.43,6.43,6.43,0
2015-07-16,6.43,6.43,6.43,6.43,0
2015-07-17,6.43,6.43,6.43,6.43,0
2015-07-20,6.43,6.43,6.43,6.43,0
2015-07-21,6.5,7.08,6.5,7.08,2700
2015-07-22,7.01,7.08,7.01,7.08,5100
2015-07-23,7.08,7.08,7.08,7.08,0
2015-07-24,7.08,7.08,7.08,7.08,0
2015-07-27,7.08,7.08,7.08,7.08,0
2015-07-28,7.08,7.08,7.08,7.08,0
2015-07-29,7.08,7.08,7.08,7.08,0
2015-07-30,7.08,7.08,7.08,7.08,0
2015-07-31,7.08,7.08,7.08,7.08,0
2015-08-03,7.08,7.08,7.08,7.08,0
2015-08-04,7.08,7.08,7.08,7.08,0
2015-08-05,7.08,7.08,7.08,7.08,0
2015-08-06,7.08,7.08,7.08,7.08,0
2015-08-07,7.08,7.08,7.08,7.08,0
2015-08-10,7.08,7.08,7.08,7.08,0
2015-08-11,7.08,7.08,7.08,7.08,0
2015-08-12,7.08,7.08,7.08,7.08,0
2015-08-13,7.08,7.08,7.08,7.08,0
2015-08-14,7.01,7.01,7.01,7.01,100
2015-08-17,7.01,7.01,7.01,7.01,0
2015-08-18,7.01,7.01,7.01,7.01,0
2015-08-19,7.01,7.01,7.01,7.01,0
2015-08-20,7.01,7.01,7.01,7.01,0
2015-08-21,7.01,7.01,7.01,7.01,0
2015-08-24,7.01,7.01,7.01,7.01,0
2015-08-25,7.01,7.01,7.01,7.01,0
2015-08-26,7.01,7.01,7.01,7.01,0
2015-08-27,7.01,7.01,7.01,7.01,0
2015-08-28,7.01,7.01,7.01,7.01,0
2015-08-31,7.4,7.4,7.4,7.4,100
2015-09-01,7.4,7.4,7.4,7.4,0
2015-09-03,7.4,7.4,7.4,7.4,0
2015-09-04,7.4,7.4,7.4,7.4,0
2015-09-07,7.4,7.65,7.4,7.65,25700
2015-09-08,7.65,7.65,7.65,7.65,0
2015-09-09,7.65,7.65,7.65,7.65,0
2015-09-10,7.65,7.65,7.65,7.65,0
2015-09-11,7.65,7.65,7.65,7.65,0
2015-09-14,7.65,7.65,7.65,7.65,0
2015-09-15,7.65,7.65,7.65,7.65,0
2015-09-16,7.65,7.65,7.65,7.65,0
2015-09-17,7.65,7.65,7.65,7.65,0
2015-09-18,7.65,7.65,7.65,7.65,0
2015-09-21,7.65,7.65,7.65,7.65,0
2015-09-22,7.65,7.65,7.65,7.65,0
2015-09-23,6.43,6.43,6.43,6.43,9000
2015-09-24,6.43,6.43,6.43,6.43,0
2015-09-25,6.43,6.43,6.43,6.43,0
2015-09-28,6.43,6.43,6.43,6.43,0
2015-09-29,6.43,6.43,6.43,6.43,0
2015-09-30,6.43,6.43,6.43,6.43,0
2015-10-01,6.43,6.43,6.43,6.43,0
2015-10-02,6.43,6.43,6.43,6.43,0
2015-10-05,6.43,6.43,6.43,6.43,0
2015-10-06,6.43,6.43,6.43,6.43,0
2015-10-07,6.43,6.43,6.43,6.43,0
2015-10-08,6.43,6.43,6.43,6.43,0
2015-10-09,6.43,6.43,6.43,6.43,0
2015-10-12,6.43,6.43,6.43,6.43,0
2015-10-13,6.43,6.43,6.43,6.43,0
2015-10-14,6.43,6.43,6.43,6.43,0
2015-10-15,6.43,6.43,6.43,6.43,0
2015-10-16,6.43,6.43,6.43,6.43,0
2015-10-19,6.43,6.43,6.43,6.43,0
2015-10-20,6.43,6.43,6.43,6.43,0
2015-10-21,6.43,6.43,6.43,6.43,0
2015-10-22,6.43,6.43,6.43,6.43,0
2015-10-23,6.43,6.43,6.43,6.43,0
2015-10-26,6.43,6.43,6.43,6.43,0
2015-10-27,6.43,6.43,6.43,6.43,0
2015-10-28,6.43,6.43,6.43,6.43,0
2015-10-29,6.43,6.43,6.43,6.43,0
2015-10-30,6.43,6.43,6.43,6.43,0
2015-11-02,6.43,6.43,6.43,6.43,0
2015-11-03,6.43,6.43,6.43,6.43,100
2015-11-04,7.08,7.08,7.08,7.08,100
2015-11-05,7.08,7.08,7.08,7.08,0
2015-11-06,7.08,7.08,7.08,7.08,0
2015-11-09,7.08,7.08,7.08,7.08,0
2015-11-10,7.08,7.08,7.08,7.08,0
2015-11-11,7.08,7.08,7.08,7.08,0
2015-11-12,7.08,7.08,7.08,7.08,0
2015-11-13,6.43,6.43,6.43,6.43,3100
2015-11-16,6.43,6.43,6.43,6.43,0
2015-11-17,6.43,6.43,6.43,6.43,0
2015-11-18,6.43,6.43,6.43,6.43,0
2015-11-19,6.43,6.43,6.43,6.43,0
2015-11-20,6.43,6.43,6.43,6.43,0
2015-11-23,6.43,6.43,6.43,6.43,0
2015-11-24,6.43,6.43,6.43,6.43,0
2015-11-25,6.37,6.37,6.37,6.37,500
2015-11-26,6.37,6.37,6.37,6.37,0
2015-11-27,6.37,6.37,6.37,6.37,0
2015-11-30,6.37,6.37,6.37,6.37,0
2015-12-01,6.37,6.37,6.37,6.37,0
2015-12-02,6.37,6.37,6.37,6.37,0
2015-12-03,6.95,6.95,6.75,6.95,11700
2015-12-04,7.33,7.59,7.14,7.59,233900
2015-12-07,8.04,8.3,7.65,8.3,97600
2015-12-08,9.07,9.07,9.0,9.07,142200
2015-12-09,9.33,9.97,8.68,9.84,136700
2015-12-10,10.29,10.81,9.91,10.81,127200
2015-12-11,11.26,11.83,10.93,11.83,121400
2015-12-14,12.86,12.99,12.54,12.99,190100
2015-12-15,13.51,14.28,13.51,14.28,214300
2015-12-16,15.24,15.69,15.12,15.12,638200
2015-12-17,15.12,15.24,14.79,14.79,545800
2015-12-18,14.79,15.05,13.96,14.15,520400
2015-12-21,14.15,14.54,13.89,14.47,509800
2015-12-22,14.41,15.89,14.41,15.89,714600
2015-12-23,17.43,17.43,15.82,16.27,478300
2015-12-24,16.27,16.85,16.02,16.66,449900
2015-12-25,16.66,18.27,16.21,16.4,528500
2015-12-28,16.4,16.53,15.89,15.89,481700
2015-12-29,15.89,15.95,15.44,15.95,402300
2015-12-30,15.95,16.4,15.69,16.21,493200
2015-12-31,16.21,16.4,16.02,16.21,508900
2016-01-04,16.21,16.59,15.89,16.08,508500
2016-01-05,16.08,16.27,15.95,16.21,374500
2016-01-06,16.47,16.59,16.02,16.21,393400
2016-01-07,16.27,16.27,16.02,16.27,412700
2016-01-08,16.27,16.4,16.08,16.4,453900
2016-01-11,16.34,16.66,16.02,16.59,390400
2016-01-12,16.47,16.66,16.14,16.66,389500
2016-01-13,16.72,16.72,16.4,16.59,316300
2016-01-14,16.59,16.85,16.59,16.79,268000
2016-01-15,16.79,17.04,16.47,16.72,370500
2016-01-18,16.66,16.79,16.59,16.72,258000
2016-01-19,16.72,16.79,16.4,16.72,212500
2016-01-20,16.59,16.85,16.47,16.85,242500
2016-01-21,17.04,17.17,16.53,16.79,218800
2016-01-22,16.92,17.11,16.4,16.66,228200
2016-01-25,16.66,16.98,16.4,16.98,364700
2016-01-26,16.85,17.17,16.53,16.92,248300
2016-01-27,16.92,17.04,16.72,16.72,221600
2016-01-28,16.59,16.92,16.34,16.85,207300
2016-01-29,16.85,17.11,16.53,16.85,195900
2016-02-01,17.11,17.24,16.59,16.79,252000
2016-02-02,16.66,17.04,16.66,16.72,215700
2016-02-03,16.59,16.85,16.59,16.85,226400
2016-02-04,16.72,17.11,16.4,16.85,156600
2016-02-05,16.98,17.11,16.66,16.79,174100
2016-02-15,16.59,16.98,16.47,16.92,179100
2016-02-16,16.92,17.04,16.53,16.92,207800
2016-02-17,16.92,16.92,16.72,16.72,223200
2016-02-18,16.72,16.92,16.53,16.72,644500
2016-02-19,16.53,16.98,16.4,16.85,643500
2016-02-22,16.72,16.98,16.53,16.92,494500
2016-02-23,16.79,16.98,16.59,16.92,344900
2016-02-24,17.11,17.24,16.66,16.72,448400
2016-02-25,15.05,16.85,15.05,16.4,578700
2016-02-26,16.66,17.11,16.34,17.04,891600
2016-02-29,16.92,18.46,16.72,18.46,1399700
2016-03-01,18.46,20.26,18.46,20.0,1564600
2016-03-02,19.87,20.39,19.68,19.75,913300
2016-03-03,19.75,19.75,18.97,19.3,688700
2016-03-04,19.1,19.62,18.91,18.97,644800
2016-03-07,18.97,19.36,18.46,18.46,567200
2016-03-08,18.46,18.78,18.01,18.14,629000
