time,open,high,low,close,volume
2015-07-09,6.43,6.47,6.35,6.39,59260
2015-07-10,6.39,6.43,6.31,6.39,56600
2015-07-13,6.39,6.43,6.31,6.43,85200
2015-07-14,6.43,6.63,6.39,6.63,136620
2015-07-15,6.63,6.7,6.51,6.59,111210
2015-07-16,6.55,6.7,6.47,6.7,131230
2015-07-17,6.78,6.86,6.7,6.74,148190
2015-07-20,6.63,6.67,6.51,6.55,83840
2015-07-21,6.47,6.51,6.39,6.47,81080
2015-07-22,6.47,6.59,6.35,6.59,109790
2015-07-23,6.55,6.7,6.51,6.63,127100
2015-07-24,6.63,6.74,6.59,6.7,107740
2015-07-27,6.7,6.78,6.63,6.74,121210
2015-07-28,6.7,6.78,6.59,6.63,116330
2015-07-29,6.59,6.67,6.51,6.59,109530
2015-07-30,6.7,6.82,6.59,6.67,135570
2015-07-31,6.67,6.74,6.55,6.63,104260
2015-08-03,6.63,6.63,6.51,6.63,93590
2015-08-04,6.55,6.74,6.51,6.67,193870
2015-08-05,6.63,6.74,6.59,6.67,154260
2015-08-06,6.67,6.7,6.55,6.63,109040
2015-08-07,6.63,6.7,6.59,6.67,132400
2015-08-10,6.7,6.7,6.51,6.59,104970
2015-08-11,6.63,6.67,6.43,6.43,126330
2015-08-12,6.43,6.43,6.04,6.04,106790
2015-08-13,6.04,6.24,6.04,6.16,122210
2015-08-14,6.16,6.31,6.12,6.28,124490
2015-08-17,6.28,6.31,6.16,6.2,65490
2015-08-18,6.2,6.31,6.16,6.28,89060
2015-08-19,6.28,6.43,6.16,6.39,350400
2015-08-20,6.35,6.35,6.16,6.24,109120
2015-08-21,6.24,6.24,5.89,6.12,106450
2015-08-24,6.04,6.2,5.93,6.2,259780
2015-08-25,6.12,6.31,6.12,6.31,174070
2015-08-26,6.31,6.39,6.28,6.39,154520
2015-08-27,6.39,6.47,6.39,6.43,153890
2015-08-28,6.43,6.47,6.39,6.43,196740
2015-08-31,6.31,6.39,6.24,6.28,111040
2015-09-01,6.28,6.35,6.24,6.31,154500
2015-09-03,6.28,6.35,6.24,6.28,55600
2015-09-04,6.24,6.35,6.24,6.35,149280
2015-09-07,6.35,6.43,6.28,6.35,138720
2015-09-08,6.35,6.43,6.31,6.39,155800
2015-09-09,6.39,6.43,6.35,6.43,130010
2015-09-10,6.39,6.39,6.31,6.31,110500
2015-09-11,6.31,6.35,6.31,6.31,94700
2015-09-14,6.31,6.39,6.31,6.31,108030
2015-09-15,6.31,6.39,6.31,6.35,77240
2015-09-16,6.35,6.43,6.35,6.39,51640
2015-09-17,6.39,6.43,6.39,6.39,54750
2015-09-18,6.39,6.47,6.39,6.43,62060
2015-09-21,6.43,6.63,6.43,6.63,213070
2015-09-22,6.63,6.9,6.63,6.9,202620
2015-09-23,6.86,7.37,6.82,7.37,552750
2015-09-24,7.41,7.64,7.09,7.56,120100
2015-09-25,7.52,8.07,7.41,7.8,288710
2015-09-28,7.8,7.91,7.25,7.76,571850
2015-09-29,7.68,8.15,7.64,8.11,154390
2015-09-30,8.11,8.11,7.6,8.11,186160
2015-10-01,8.07,8.65,7.91,8.54,505570
2015-10-02,8.42,8.42,7.95,8.03,260150
2015-10-05,7.91,7.91,7.41,7.41,226330
2015-10-06,7.41,7.6,7.25,7.45,134270
2015-10-07,7.41,7.64,7.13,7.21,297570
2015-10-08,7.29,7.64,7.13,7.64,812250
2015-10-09,7.64,7.87,7.64,7.72,213950
2015-10-12,7.68,7.95,7.37,7.84,467530
2015-10-13,7.76,7.8,7.41,7.72,352380
2015-10-14,7.68,7.95,7.6,7.6,526540
2015-10-15,7.6,7.84,7.41,7.6,469720
2015-10-16,7.6,7.72,7.48,7.6,288230
2015-10-19,7.56,7.72,7.56,7.6,261810
2015-10-20,7.56,7.64,7.56,7.64,299290
2015-10-21,7.6,7.68,7.6,7.6,172020
2015-10-22,7.6,7.76,7.56,7.72,274820
2015-10-23,7.72,7.91,7.72,7.87,279280
2015-10-26,7.87,8.42,7.87,8.42,356880
2015-10-27,8.34,8.61,8.34,8.46,279220
2015-10-28,8.38,9.04,8.38,8.97,379310
2015-10-29,8.69,9.59,8.69,9.55,377250
2015-10-30,9.36,9.71,9.28,9.71,175330
2015-11-02,9.71,9.71,9.32,9.32,239570
2015-11-03,9.32,9.94,9.24,9.94,452120
2015-11-04,9.94,10.49,9.75,10.13,229410
2015-11-05,10.1,10.17,10.02,10.13,165990
2015-11-06,10.13,10.6,10.06,10.13,349750
2015-11-09,10.13,10.13,9.43,9.43,414550
2015-11-10,9.32,9.43,8.81,8.81,538630
2015-11-11,8.5,8.61,8.22,8.26,431800
2015-11-12,8.26,8.81,8.26,8.69,631290
2015-11-13,8.58,8.69,8.54,8.58,313610
