time,open,high,low,close,volume
2014-04-15,6.35,6.53,6.21,6.21,6500
2014-04-16,5.83,5.83,5.83,5.83,100
2014-04-17,5.6,6.07,5.6,6.07,500
2014-04-18,6.11,6.3,6.07,6.16,1500
2014-04-21,6.16,6.16,6.16,6.16,400
2014-04-22,6.11,6.11,6.11,6.11,1000
2014-04-23,6.11,6.11,6.11,6.11,400
2014-04-24,6.11,6.11,6.11,6.11,300
2014-04-25,6.11,6.11,6.07,6.11,12800
2014-04-28,5.55,5.97,5.55,5.88,400
2014-04-29,5.88,5.88,5.83,5.83,5400
2014-05-05,5.79,5.79,5.79,5.79,100
2014-05-06,5.6,5.83,5.6,5.83,6200
2014-05-07,5.79,5.79,5.79,5.79,200
2014-05-08,5.6,5.6,5.41,5.41,700
2014-05-09,5.6,5.6,5.6,5.6,100
2014-05-12,6.16,6.16,5.55,5.55,200
2014-05-13,5.6,5.74,5.6,5.74,1600
2014-05-14,5.37,5.37,5.37,5.37,100
2014-05-15,5.55,5.69,5.55,5.69,9400
2014-05-16,5.69,5.69,5.69,5.69,200
2014-05-19,5.69,5.69,5.69,5.69,0
2014-05-20,5.79,5.83,5.79,5.83,300
2014-05-21,5.93,6.39,5.93,6.07,600
2014-05-22,6.07,6.07,6.07,6.07,0
2014-05-23,5.88,6.02,5.88,5.93,600
2014-05-26,5.93,5.93,5.93,5.93,0
2014-05-27,5.93,5.93,5.93,5.93,0
2014-05-28,5.93,6.02,5.93,6.02,300
2014-05-29,6.02,6.02,5.97,6.02,900
2014-05-30,5.97,5.97,5.97,5.97,500
2014-06-02,5.97,5.97,5.97,5.97,0
2014-06-03,5.97,5.97,5.97,5.97,0
2014-06-04,5.97,5.97,5.97,5.97,0
2014-06-05,5.97,6.53,5.97,6.53,5400
2014-06-06,6.53,6.53,6.53,6.53,0
2014-06-09,6.53,6.53,6.53,6.53,0
2014-06-10,6.53,6.53,6.53,6.53,0
2014-06-11,6.53,6.53,6.53,6.53,0
2014-06-12,6.53,6.53,6.53,6.53,0
2014-06-13,6.11,6.11,6.11,6.11,200
2014-06-16,6.11,6.11,6.11,6.11,0
2014-06-17,6.11,6.11,6.11,6.11,0
2014-06-18,6.02,6.02,6.02,6.02,1300
2014-06-19,6.02,6.02,6.02,6.02,700
2014-06-20,6.02,6.02,6.02,6.02,0
2014-06-23,6.02,6.02,6.02,6.02,0
2014-06-24,5.97,5.97,5.97,5.97,1500
2014-06-25,5.97,5.97,5.97,5.97,0
2014-06-26,6.07,6.11,6.07,6.11,1500
2014-06-27,6.11,6.11,6.11,6.11,0
2014-06-30,6.11,6.11,6.11,6.11,0
2014-07-01,6.11,6.11,6.11,6.11,0
2014-07-02,6.11,6.11,6.11,6.11,200
2014-07-03,6.21,6.21,6.21,6.21,100
2014-07-04,6.21,6.21,6.21,6.21,100
2014-07-07,6.21,6.21,6.21,6.21,0
2014-07-08,6.21,6.21,6.21,6.21,0
2014-07-09,6.3,6.3,6.3,6.3,100
2014-07-10,6.3,6.53,6.3,6.53,2200
2014-07-11,6.53,6.53,6.53,6.53,800
2014-07-14,6.53,6.53,6.53,6.53,300
2014-07-15,6.53,6.53,6.53,6.53,0
2014-07-16,6.67,6.67,6.67,6.67,200
2014-07-17,6.67,6.67,6.67,6.67,0
2014-07-18,6.67,6.72,6.67,6.72,300
2014-07-21,6.72,6.72,6.72,6.72,10
2014-07-22,6.72,6.72,6.72,6.72,0
2014-07-23,6.72,6.72,6.72,6.72,0
2014-07-24,6.72,6.72,6.72,6.72,0
2014-07-25,6.07,6.58,6.07,6.53,400
2014-07-28,6.53,6.53,6.53,6.53,0
2014-07-29,6.44,6.44,6.44,6.44,200
2014-07-30,6.44,6.44,6.44,6.44,0
2014-07-31,6.44,6.44,6.44,6.44,0
2014-08-01,6.44,6.44,6.44,6.44,0
2014-08-04,6.44,6.44,6.44,6.44,0
2014-08-05,6.21,6.21,6.21,6.21,200
2014-08-06,6.21,6.21,6.21,6.21,0
2014-08-07,6.21,6.21,6.21,6.21,0
2014-08-08,6.21,6.21,6.21,6.21,0
2014-08-11,6.35,6.35,6.35,6.35,100
2014-08-12,6.35,6.35,6.35,6.35,0
2014-08-13,6.35,6.35,6.35,6.35,700
2014-08-14,6.35,6.35,6.35,6.35,100
2014-08-15,6.16,6.16,6.07,6.07,4200
2014-08-18,6.07,6.07,6.07,6.07,0
2014-08-19,6.07,6.07,6.07,6.07,0
2014-08-20,6.25,6.25,6.21,6.21,300
2014-08-21,6.25,6.25,6.25,6.25,100
2014-08-22,6.21,6.21,6.21,6.21,500
2014-08-25,6.25,6.25,6.25,6.25,1600
2014-08-26,6.25,6.25,6.25,6.25,300
2014-08-27,6.25,6.25,6.25,6.25,0
2014-08-28,6.3,6.3,6.25,6.3,1100
2014-08-29,6.35,6.35,6.35,6.35,500
2014-09-03,6.02,6.35,6.02,6.35,400
2014-09-04,6.35,6.35,6.35,6.35,0
2014-09-05,6.3,6.35,6.3,6.35,1100
2014-09-08,6.39,6.39,6.39,6.39,100
