time,open,high,low,close,volume
2015-07-09,19.75,19.75,19.75,19.75,10
2015-07-10,19.08,19.75,19.08,19.08,2110
2015-07-13,18.86,19.08,18.64,19.08,2530
2015-07-14,19.08,19.08,18.64,19.08,2420
2015-07-15,19.08,19.52,18.53,19.52,3130
2015-07-16,19.08,19.3,18.86,19.3,3690
2015-07-17,19.3,19.75,19.3,19.75,1440
2015-07-20,19.75,19.75,19.75,19.75,500
2015-07-21,21.08,21.08,19.97,21.08,13460
2015-07-22,21.74,21.74,21.63,21.74,1550
2015-07-23,21.74,23.07,21.74,22.85,3460
2015-07-24,22.85,22.85,21.52,22.85,1650
2015-07-27,22.85,22.85,21.52,21.96,6390
2015-07-28,21.52,21.96,20.63,21.3,4510
2015-07-29,20.85,21.08,20.19,20.85,14830
2015-07-30,20.85,20.85,20.63,20.63,610
2015-07-31,20.63,20.63,20.63,20.63,570
2015-08-03,20.52,20.63,20.41,20.63,6790
2015-08-04,21.08,21.19,21.08,21.19,1910
2015-08-05,21.3,21.63,21.08,21.63,1010
2015-08-06,21.74,21.74,21.08,21.19,3230
2015-08-07,21.08,21.19,20.97,20.97,1040
2015-08-10,20.85,20.85,20.63,20.63,7060
2015-08-11,20.63,21.08,20.63,21.08,2520
2015-08-12,20.52,20.97,20.52,20.52,420
2015-08-13,20.52,20.85,20.52,20.52,2830
2015-08-14,20.08,20.63,20.08,20.52,930
2015-08-17,20.85,20.85,20.3,20.3,2030
2015-08-18,20.3,20.52,20.3,20.52,3020
2015-08-19,19.19,20.63,19.19,20.41,2010
2015-08-20,19.41,20.52,19.41,20.3,2770
2015-08-21,20.52,20.52,20.19,20.41,780
2015-08-24,20.19,20.19,19.97,20.19,3400
2015-08-25,19.86,20.41,19.86,20.19,2440
2015-08-26,20.3,20.3,19.97,19.97,2200
2015-08-27,20.3,20.63,20.3,20.41,3130
2015-08-28,20.63,20.85,20.52,20.85,4800
2015-08-31,21.19,21.41,21.08,21.41,580
2015-09-01,21.41,21.63,21.41,21.63,5890
2015-09-03,21.74,22.19,21.74,22.19,630
2015-09-04,22.41,22.41,22.41,22.41,110
2015-09-07,22.41,22.41,22.41,22.41,10
2015-09-08,22.41,22.41,21.74,22.19,2230
2015-09-09,22.19,22.19,21.74,21.74,340
2015-09-10,20.85,21.74,20.63,20.63,400
2015-09-11,21.85,21.96,20.63,21.96,420
2015-09-14,21.96,21.96,21.74,21.74,210
2015-09-15,21.74,21.74,21.74,21.74,50
2015-09-16,21.3,21.74,20.41,21.74,4810
2015-09-17,21.74,21.74,21.74,21.74,0
2015-09-18,21.74,21.74,21.74,21.74,0
2015-09-21,21.74,22.63,21.74,22.63,790
2015-09-22,22.63,22.63,22.63,22.63,0
2015-09-23,22.63,22.63,22.63,22.63,0
2015-09-24,22.41,22.41,22.19,22.41,900
2015-09-25,22.41,23.07,22.41,23.07,390
2015-09-28,23.07,23.74,23.07,23.74,1080
2015-09-29,24.18,25.29,23.96,23.96,2080
2015-09-30,23.52,25.51,23.52,25.29,80
2015-10-01,25.29,25.51,24.18,25.51,1960
2015-10-02,25.75,25.75,25.75,25.75,350
2015-10-05,26.44,27.14,26.44,27.14,340
2015-10-06,27.14,27.37,27.14,27.14,680
2015-10-07,27.6,27.6,26.21,26.21,630
2015-10-08,27.37,27.83,27.37,27.83,1290
2015-10-09,27.83,27.83,27.83,27.83,100
2015-10-12,27.14,27.83,26.67,26.67,780
2015-10-13,28.53,28.53,27.6,27.83,1270
2015-10-14,28.99,28.99,28.3,28.3,490
2015-10-15,28.07,28.76,28.07,28.53,1460
2015-10-16,28.99,29.23,28.99,29.23,1550
2015-10-19,29.23,29.23,29.23,29.23,0
2015-10-20,28.76,29.23,28.76,29.23,500
2015-10-21,29.46,31.08,29.46,31.08,2100
