time,open,high,low,close,volume
2014-07-15,5.16,5.16,5.16,5.16,0
2014-07-16,5.16,5.16,5.16,5.16,0
2014-07-17,5.16,5.16,5.16,5.16,0
2014-07-18,4.69,4.69,4.69,4.69,500
2014-07-21,4.93,4.93,4.93,4.93,100
2014-07-22,4.45,4.45,4.45,4.45,58100
2014-07-23,4.83,4.83,4.83,4.83,100
2014-07-24,4.83,4.83,4.83,4.83,0
2014-07-25,4.83,4.83,4.83,4.83,0
2014-07-28,4.83,4.83,4.83,4.83,0
2014-07-29,4.83,4.83,4.83,4.83,0
2014-07-30,4.83,4.83,4.83,4.83,0
2014-07-31,4.83,4.83,4.83,4.83,0
2014-08-01,4.83,4.83,4.83,4.83,0
2014-08-04,4.83,4.83,4.83,4.83,0
2014-08-05,4.83,4.83,4.83,4.83,0
2014-08-06,4.83,4.83,4.83,4.83,0
2014-08-07,4.83,4.83,4.83,4.83,0
2014-08-08,4.83,4.83,4.83,4.83,0
2014-08-11,4.83,4.83,4.83,4.83,0
2014-08-12,4.83,4.83,4.83,4.83,0
2014-08-13,5.26,5.26,5.26,5.26,100
2014-08-14,5.26,5.26,5.26,5.26,0
2014-08-15,5.26,5.26,5.26,5.26,0
2014-08-18,5.26,5.26,5.26,5.26,0
2014-08-19,4.74,4.74,4.74,4.74,1000
2014-08-20,4.97,4.97,4.97,4.97,100
2014-08-21,5.4,5.4,5.4,5.4,160
2014-08-22,4.97,4.97,4.97,4.97,1900
2014-08-25,5.4,5.4,4.97,4.97,1100
2014-08-26,5.49,5.49,5.49,5.01,100
2014-08-27,5.92,5.92,5.92,5.92,100
2014-08-28,5.92,5.92,5.92,5.92,0
2014-08-29,5.92,5.92,5.92,5.92,0
2014-09-03,5.92,5.92,5.92,5.92,0
2014-09-04,5.92,5.92,5.92,5.92,0
2014-09-05,5.92,5.92,5.92,5.92,0
2014-09-08,5.92,5.92,5.92,5.92,0
2014-09-09,4.88,4.88,4.88,4.88,700
2014-09-10,5.16,5.16,5.16,5.16,100
2014-09-11,5.54,5.54,5.54,5.54,100
2014-09-12,5.02,5.02,5.02,5.02,100
2014-09-15,5.02,5.02,5.02,5.02,0
2014-09-16,5.02,5.02,5.02,5.02,0
2014-09-17,5.02,5.02,5.02,5.02,0
2014-09-18,5.02,5.02,5.02,5.02,0
2014-09-19,5.02,5.02,5.02,5.02,0
2014-09-22,5.02,5.02,5.02,5.02,0
2014-09-23,5.02,5.02,5.02,5.02,0
2014-09-24,5.02,5.02,5.02,5.02,0
2014-09-25,4.59,4.59,4.59,4.59,2700
2014-09-26,4.59,4.59,4.59,4.59,0
2014-09-29,4.5,4.5,4.5,4.59,100
2014-09-30,4.74,4.93,4.74,4.93,2000
2014-10-01,4.36,4.36,4.36,4.36,200
2014-10-02,4.36,4.36,4.36,4.36,0
2014-10-03,4.55,4.55,4.55,4.55,12600
2014-10-06,4.55,4.55,4.55,4.55,0
2014-10-07,4.59,4.59,4.59,4.59,100
2014-10-08,4.45,4.45,4.45,4.45,100
2014-10-09,4.45,4.45,4.45,4.45,0
2014-10-10,4.45,4.45,4.45,4.45,0
2014-10-13,4.45,4.45,4.45,4.45,0
2014-10-14,4.45,4.45,4.45,4.45,0
2014-10-15,4.45,4.45,4.45,4.45,0
2014-10-16,4.45,4.45,4.45,4.45,0
2014-10-17,4.45,4.45,4.45,4.45,0
2014-10-20,4.45,4.45,4.45,4.45,0
2014-10-21,4.45,4.45,4.45,4.45,0
2014-10-22,4.45,4.45,4.45,4.45,0
2014-10-23,4.45,4.45,4.45,4.45,0
2014-10-24,4.45,4.45,4.45,4.45,0
2014-10-27,4.45,4.45,4.45,4.45,0
2014-10-28,4.45,4.45,4.45,4.45,0
2014-10-29,4.45,4.45,4.45,4.45,0
2014-10-30,4.45,4.45,4.45,4.45,0
2014-10-31,4.45,4.45,4.45,4.45,0
2014-11-03,4.45,4.45,4.45,4.45,0
2014-11-04,4.45,4.45,4.45,4.45,0
