time,open,high,low,close,volume
2015-06-03,11.14,11.14,9.2,9.2,3700
2015-06-04,9.2,9.2,9.2,9.2,0
2015-06-05,9.2,9.2,9.2,9.2,0
2015-06-08,9.2,9.2,9.2,9.2,0
2015-06-09,9.2,9.2,9.2,9.2,0
2015-06-10,9.2,9.2,9.2,9.2,0
2015-06-11,9.2,9.2,9.2,9.2,0
2015-06-12,9.2,9.2,9.2,9.2,0
2015-06-15,9.2,9.2,9.2,9.2,0
2015-06-16,9.2,9.2,9.2,9.2,0
2015-06-17,9.2,9.2,9.2,9.2,0
2015-06-18,9.2,9.2,9.2,9.2,0
2015-06-19,9.2,9.2,9.2,9.2,0
2015-06-22,10.22,10.22,10.22,10.22,0
2015-06-23,10.22,10.22,10.22,10.22,0
2015-06-24,10.22,10.22,10.22,10.22,0
2015-06-25,10.22,10.22,10.22,10.22,0
2015-06-26,10.22,10.22,10.22,10.22,0
2015-06-29,10.22,10.22,10.22,10.22,0
2015-06-30,10.22,10.22,10.22,10.22,0
2015-07-01,10.22,10.22,10.22,10.22,0
2015-07-02,10.22,10.22,10.22,10.22,0
2015-07-03,10.22,10.22,10.22,10.22,0
2015-07-06,10.22,10.22,10.22,10.22,0
2015-07-07,10.22,10.22,10.22,10.22,0
2015-07-08,10.22,10.22,10.22,10.22,0
2015-07-09,10.22,10.22,10.22,10.22,0
2015-07-10,11.95,12.55,11.95,12.55,1300
2015-07-13,12.55,12.55,12.55,12.55,0
2015-07-14,13.81,13.81,13.81,13.81,100
2015-07-15,13.81,13.81,13.81,13.81,0
2015-07-16,13.81,13.81,13.81,13.81,0
2015-07-17,13.81,13.81,13.81,13.81,0
2015-07-20,15.84,15.84,15.84,15.84,1000
2015-07-21,18.17,18.17,16.2,16.2,6000
2015-07-22,19.01,19.01,19.01,19.01,1000
2015-07-23,19.01,19.01,19.01,19.01,0
2015-07-24,19.01,19.01,19.01,19.01,0
2015-07-27,19.01,19.01,19.01,19.01,0
2015-07-28,19.01,19.01,19.01,19.01,0
2015-07-29,19.01,19.01,19.01,19.01,0
2015-07-30,17.99,17.99,17.93,17.93,2000
2015-07-31,17.99,17.99,17.93,17.93,3000
2015-08-03,17.93,17.93,17.93,17.93,2100
2015-08-04,15.24,15.24,15.24,15.24,100
2015-08-05,15.24,15.24,15.24,15.24,0
2015-08-06,17.51,17.51,17.51,17.51,1000
2015-08-07,17.51,17.51,17.51,17.51,0
2015-08-10,17.51,17.51,17.51,17.51,0
2015-08-11,17.51,17.51,17.51,17.51,0
2015-08-12,14.94,14.94,14.94,14.94,100
2015-08-13,14.94,14.94,14.94,14.94,0
2015-08-14,14.94,14.94,14.94,14.94,0
2015-08-17,14.94,14.94,14.94,14.94,0
2015-08-18,17.15,17.15,17.15,17.15,5700
2015-08-19,17.15,17.15,17.15,17.15,0
2015-08-20,17.39,17.39,17.39,17.39,1000
2015-08-21,17.39,17.39,17.39,17.39,0
2015-08-24,17.39,17.39,17.39,17.39,1000
2015-08-25,17.39,17.39,17.39,17.39,0
2015-08-26,17.39,17.39,17.39,17.39,0
2015-08-27,17.39,17.39,17.39,17.39,0
2015-08-28,17.39,17.39,17.39,17.39,0
2015-08-31,17.39,17.39,17.39,17.39,0
2015-09-01,17.39,17.39,17.39,17.39,0
