time,open,high,low,close,volume
2014-05-15,8.2,8.2,7.5,8.0,7100
2014-05-16,7.5,8.0,7.5,8.0,10600
2014-05-19,8.0,8.3,8.0,8.3,11700
2014-05-20,8.0,8.3,8.0,8.3,37700
2014-05-21,8.3,8.8,8.3,8.4,20900
2014-05-22,8.5,9.0,8.5,8.6,305400
2014-05-23,8.6,8.6,8.6,8.6,100
2014-05-26,8.6,8.6,8.6,8.6,0
2014-05-27,8.4,8.6,8.2,8.5,23300
2014-05-28,8.5,8.5,8.4,8.4,23200
2014-05-29,8.7,9.2,8.6,9.2,25600
2014-05-30,9.0,9.0,8.5,8.7,10200
2014-06-02,8.7,8.7,8.7,8.7,0
2014-06-03,8.7,8.7,8.7,8.7,500
2014-06-04,8.2,8.2,8.2,8.2,3000
2014-06-05,8.5,8.5,8.5,8.5,100
2014-06-06,8.4,8.8,8.4,8.8,5200
2014-06-09,8.5,8.5,8.5,8.5,1200
2014-06-10,8.7,8.7,8.7,8.7,100
2014-06-11,8.7,8.7,8.2,8.2,800
2014-06-12,8.0,8.3,8.0,8.3,6500
2014-06-13,8.8,8.8,8.8,8.8,100
2014-06-16,8.1,8.7,8.1,8.7,2500
2014-06-17,8.4,8.7,8.4,8.7,1500
2014-06-18,8.2,8.5,8.2,8.5,2800
2014-06-19,8.5,8.5,8.5,8.5,0
2014-06-20,8.4,8.4,8.4,8.4,2100
2014-06-23,8.3,8.3,8.3,8.3,3300
2014-06-24,8.2,8.4,8.1,8.4,9900
2014-06-25,8.4,8.4,8.4,8.4,0
2014-06-26,8.5,8.5,8.5,8.5,200
2014-06-27,8.5,8.5,8.5,8.5,0
2014-06-30,8.0,8.4,8.0,8.4,600
2014-07-01,8.4,8.4,8.4,8.4,0
2014-07-02,8.3,8.3,8.2,8.3,5100
2014-07-03,8.2,8.5,8.1,8.5,4300
2014-07-04,8.5,8.5,8.5,8.5,0
2014-07-07,8.5,8.5,8.5,8.5,0
2014-07-08,8.2,8.3,8.2,8.3,1900
2014-07-09,8.2,8.6,8.2,8.6,1800
2014-07-10,8.8,8.8,8.8,8.8,110
2014-07-11,8.8,8.8,8.8,8.8,0
2014-07-14,8.8,8.8,8.8,8.8,10
2014-07-15,8.2,8.8,8.1,8.7,3200
2014-07-16,8.7,8.7,8.7,8.7,46
2014-07-17,8.3,8.5,8.3,8.3,500
2014-07-18,8.3,8.6,8.3,8.6,9166
2014-07-21,8.6,8.8,8.4,8.8,14100
2014-07-22,8.8,9.5,8.8,9.5,2000
2014-07-23,8.8,8.9,8.6,8.9,19100
2014-07-24,8.9,9.5,8.5,8.5,2200
2014-07-25,8.4,8.8,8.3,8.8,2600
2014-07-28,8.5,8.5,8.2,8.2,7000
2014-07-29,8.0,8.9,8.0,8.9,7200
