time,open,high,low,close,volume
2016-06-29,6.91,6.91,6.91,6.91,2000
2016-06-30,6.91,6.91,6.91,6.91,500
2016-07-01,6.91,6.91,6.91,6.91,0
2016-07-04,6.91,6.91,6.91,6.91,0
2016-07-05,6.91,6.91,6.91,6.91,0
2016-07-06,6.91,6.91,6.91,6.91,0
2016-07-07,6.91,6.91,6.91,6.91,0
2016-07-08,6.91,6.91,6.91,6.91,0
2016-07-11,6.91,6.91,6.91,6.91,0
2016-07-12,6.91,6.91,6.91,6.91,0
2016-07-13,6.91,6.91,6.91,6.91,0
2016-07-14,6.91,6.91,6.91,6.91,0
2016-07-15,6.91,6.91,6.91,6.91,0
2016-07-18,6.91,6.91,6.91,6.91,0
2016-07-19,6.91,6.91,6.91,6.91,0
2016-07-20,6.91,6.91,6.91,6.91,0
2016-07-21,6.91,6.91,6.91,6.91,0
2016-07-22,6.91,6.91,6.91,6.91,0
2016-07-25,6.91,6.91,6.91,6.91,0
2016-07-26,6.91,6.91,6.91,6.91,0
2016-07-27,6.91,6.91,6.91,6.91,0
2016-07-28,6.91,6.91,6.91,6.91,0
2016-07-29,6.91,6.91,6.91,6.91,0
2016-08-01,6.91,6.91,6.91,6.91,0
2016-08-02,6.91,6.91,6.91,6.91,0
2016-08-03,6.91,6.91,6.91,6.91,0
2016-08-04,6.91,6.91,6.91,6.91,0
2016-08-05,6.91,6.91,6.91,6.91,0
2016-08-08,6.91,6.91,6.91,6.91,0
2016-08-09,6.91,6.91,6.91,6.91,0
2016-08-10,6.91,6.91,6.91,6.91,0
2016-08-11,6.91,6.91,6.91,6.91,0
2016-08-12,6.91,6.91,6.91,6.91,0
2016-08-15,6.91,6.91,6.91,6.91,0
2016-08-16,6.91,6.91,6.91,6.91,0
2016-08-17,6.91,6.91,6.91,6.91,0
2016-08-18,6.91,6.91,6.91,6.91,0
2016-08-19,6.91,6.91,6.91,6.91,0
2016-08-22,6.91,6.91,6.91,6.91,0
2016-08-23,6.91,6.91,6.91,6.91,0
2016-08-24,6.91,6.91,6.91,6.91,0
2016-08-25,6.91,6.91,6.91,6.91,0
2016-08-26,6.91,6.91,6.91,6.91,0
2016-08-29,6.91,6.91,6.91,6.91,0
2016-08-30,6.91,6.91,6.91,6.91,0
2016-08-31,6.91,6.91,6.91,6.91,0
2016-09-01,6.91,6.91,6.91,6.91,0
2016-09-05,6.91,6.91,6.91,6.91,0
2016-09-06,6.91,6.91,6.91,6.91,0
2016-09-07,6.91,6.91,6.91,6.91,0
2016-09-08,6.91,6.91,6.91,6.91,0
2016-09-09,6.91,6.91,6.91,6.91,0
2016-09-12,6.91,6.91,6.91,6.91,0
2016-09-13,6.91,6.91,6.91,6.91,0
2016-09-14,6.91,6.91,6.91,6.91,0
2016-09-15,6.91,6.91,6.91,6.91,0
2016-09-16,6.91,6.91,6.91,6.91,0
2016-09-19,6.91,6.91,6.91,6.91,0
2016-09-20,6.91,6.91,6.91,6.91,0
2016-09-21,6.91,6.91,6.91,6.91,0
2016-09-22,6.91,6.91,6.91,6.91,0
2016-09-23,6.91,6.91,6.91,6.91,0
2016-09-26,6.91,6.91,6.91,6.91,0
2016-09-27,6.91,6.91,6.91,6.91,0
2016-09-28,6.91,6.91,6.91,6.91,0
2016-09-29,6.91,6.91,6.91,6.91,0
2016-09-30,6.91,6.91,6.91,6.91,0
2016-10-03,6.91,6.91,6.91,6.91,0
2016-10-04,6.91,6.91,6.91,6.91,0
2016-10-05,6.91,6.91,6.91,6.91,0
2016-10-06,6.91,6.91,6.91,6.91,0
2016-10-07,6.91,6.91,6.91,6.91,0
2016-10-10,6.91,6.91,6.91,6.91,0
2016-10-11,6.91,6.91,6.91,6.91,0
2016-10-12,6.91,6.91,6.91,6.91,0
2016-10-13,6.91,6.91,6.91,6.91,0
2016-10-14,6.91,6.91,6.91,6.91,0
2016-10-17,6.91,6.91,6.91,6.91,0
2016-10-18,6.91,6.91,6.91,6.91,0
2016-10-19,6.91,6.91,6.91,6.91,0
2016-10-20,6.91,6.91,6.91,6.91,0
2016-10-21,6.91,6.91,6.91,6.91,0
2016-10-24,6.91,6.91,6.91,6.91,0
2016-10-25,6.91,6.91,6.91,6.91,0
2016-10-26,6.91,6.91,6.91,6.91,0
2016-10-27,6.91,6.91,6.91,6.91,0
2016-10-28,6.91,6.91,6.91,6.91,0
2016-10-31,6.91,6.91,6.91,6.91,0
2016-11-01,6.91,6.91,6.91,6.91,0
2016-11-02,6.91,6.91,6.91,6.91,0
