time,open,high,low,close,volume
2015-06-02,10.12,10.12,10.12,10.12,0
2015-06-03,10.12,10.12,10.12,10.12,0
2015-06-04,10.12,10.12,10.12,10.12,0
2015-06-05,10.67,10.67,10.67,10.67,10
2015-06-08,10.67,10.75,9.96,10.75,1030
2015-06-09,10.75,10.75,10.75,10.75,10
2015-06-10,11.46,11.46,10.27,10.75,3530
2015-06-11,10.04,10.04,10.04,10.04,2370
2015-06-12,10.67,10.67,10.67,10.67,10
2015-06-15,10.27,10.67,10.27,10.27,3750
2015-06-16,9.56,10.98,9.56,9.88,4880
2015-06-17,9.48,10.51,9.4,10.51,1970
2015-06-18,11.06,11.22,10.43,10.43,9700
2015-06-19,11.14,11.14,10.27,10.27,13680
2015-06-22,10.67,10.98,10.59,10.98,3010
2015-06-23,10.35,11.7,10.35,10.59,11930
2015-06-24,10.75,10.75,10.59,10.67,5900
2015-06-25,10.91,11.38,10.91,11.06,7440
2015-06-26,10.59,11.06,10.59,10.75,11290
2015-06-29,11.46,11.46,10.67,10.67,4400
2015-06-30,11.06,11.06,11.06,11.06,10000
2015-07-01,11.06,11.77,10.75,10.75,11280
2015-07-02,10.51,10.51,10.51,10.51,20
2015-07-03,10.59,10.59,10.51,10.51,600
2015-07-06,9.88,9.88,9.88,9.88,30
2015-07-07,10.27,10.51,9.32,9.32,6750
2015-07-08,9.32,9.32,9.32,9.32,900
2015-07-09,9.32,9.32,9.32,9.32,10
2015-07-10,9.96,9.96,9.17,9.17,510
2015-07-13,8.69,9.8,8.69,9.8,2040
2015-07-14,9.8,10.43,9.8,10.43,2300
2015-07-15,11.14,11.14,11.14,11.14,5720
2015-07-16,11.14,11.85,11.14,11.14,7800
2015-07-17,11.85,11.85,11.06,11.06,1100
2015-07-20,11.77,11.77,11.14,11.14,1990
2015-07-21,11.85,11.85,11.22,11.85,15490
2015-07-22,11.85,12.64,11.3,12.64,11090
2015-07-23,13.51,13.51,12.33,13.51,29180
2015-07-24,13.51,14.38,13.51,14.38,9350
2015-07-27,15.33,15.33,15.01,15.33,6260
2015-07-28,16.36,16.36,14.3,14.3,1260
2015-07-29,13.83,13.83,13.36,13.36,1370
2015-07-30,12.64,12.8,12.49,12.49,3630
2015-07-31,11.62,12.56,11.62,11.93,11620
2015-08-03,11.62,12.72,11.22,11.38,11680
2015-08-04,11.77,12.17,10.67,12.17,5210
2015-08-05,12.96,12.96,11.77,11.77,20
2015-08-06,12.41,12.41,11.77,11.77,710
2015-08-07,12.56,12.56,12.56,12.56,60
2015-08-10,11.93,11.93,11.85,11.85,8910
2015-08-11,12.64,12.64,11.38,11.38,35470
2015-08-12,12.17,12.17,11.06,11.06,1240
2015-08-13,11.77,11.77,11.77,11.77,150
2015-08-14,12.56,12.56,12.56,12.56,1600
2015-08-17,13.36,13.43,11.93,11.93,15080
2015-08-18,12.72,12.72,11.14,11.14,1530
2015-08-19,11.85,11.85,11.85,11.85,30
2015-08-20,12.64,12.64,12.64,12.64,500
2015-08-21,13.51,13.51,13.51,13.51,54500
2015-08-24,14.38,14.38,13.51,14.38,8170
2015-08-25,15.33,15.33,15.33,15.33,2040
2015-08-26,16.28,16.36,14.3,16.28,33110
2015-08-27,15.8,15.8,15.17,15.17,110
2015-08-28,14.15,15.8,14.15,15.8,1230
2015-08-31,14.7,14.7,14.7,14.7,370
2015-09-01,13.67,13.67,13.67,13.67,560
2015-09-03,13.83,13.83,12.72,12.72,1600
2015-09-04,12.8,12.8,12.09,12.09,400
2015-09-07,11.38,11.38,11.38,11.38,10
2015-09-08,11.38,11.38,11.38,11.38,30
2015-09-09,12.09,12.17,11.46,11.46,30
2015-09-10,12.25,12.25,12.25,12.25,150
2015-09-11,13.04,13.04,13.04,13.04,10
