time,open,high,low,close,volume
2020-12-24,16.72,16.72,12.8,12.8,307200
2020-12-25,12.86,12.86,12.67,12.8,41900
2020-12-28,12.86,12.86,12.73,12.86,6430
2020-12-29,12.86,13.12,12.8,12.86,196500
2020-12-30,12.86,13.44,12.86,13.25,53400
2020-12-31,13.31,13.89,12.86,12.86,81630
2021-01-04,12.86,12.86,12.22,12.48,125200
2021-01-05,12.54,12.54,12.35,12.48,53400
2021-01-06,12.54,12.8,12.28,12.35,35100
2021-01-07,12.28,12.28,11.83,12.09,48500
2021-01-08,12.16,12.22,12.09,12.16,33200
2021-01-11,12.22,12.28,12.03,12.16,21200
2021-01-12,12.09,12.09,11.71,11.83,39900
2021-01-13,11.77,11.9,11.77,11.83,21900
2021-01-14,11.77,12.22,11.77,12.09,46500
2021-01-15,12.03,12.03,11.9,12.03,16000
2021-01-18,12.03,12.09,11.96,12.03,15900
2021-01-19,12.03,12.16,11.51,11.71,41300
2021-01-20,11.71,11.71,11.25,11.58,21400
2021-01-21,11.77,11.77,11.45,11.64,10700
2021-01-22,11.77,12.16,11.58,11.64,6200
2021-01-25,11.58,11.58,11.51,11.58,16900
2021-01-26,11.51,11.51,11.25,11.25,11700
2021-01-27,11.19,11.25,10.93,11.06,11100
2021-01-28,10.87,10.87,9.97,9.97,30000
2021-01-29,9.97,10.93,9.97,10.87,11000
2021-02-01,10.93,10.93,10.8,10.8,1900
2021-02-02,10.61,10.74,10.03,10.1,5800
2021-02-03,10.03,10.74,10.03,10.61,10000
2021-02-04,10.42,10.61,10.42,10.61,3600
2021-02-05,10.61,10.61,10.61,10.61,3800
2021-02-08,10.55,10.61,10.16,10.55,17100
2021-02-09,10.61,10.87,10.61,10.87,2500
2021-02-17,10.87,10.87,10.29,10.8,7000
2021-02-18,10.8,10.93,10.8,10.87,4200
2021-02-19,10.87,10.87,10.74,10.87,7200
2021-02-22,10.87,10.93,10.8,10.8,14600
2021-02-23,10.87,10.87,10.74,10.87,4000
2021-02-24,10.87,10.87,10.68,10.68,7800
2021-02-25,10.8,10.8,10.61,10.61,5900
2021-02-26,10.35,10.61,10.35,10.61,2700
2021-03-01,10.61,10.8,10.61,10.8,4700
