time,open,high,low,close,volume
2015-07-09,9.0,9.05,9.0,9.05,2893
2015-07-10,9.15,9.95,9.05,9.95,205489
2015-07-13,10.0,10.9,10.0,10.9,704116
2015-07-14,11.6,11.95,10.9,10.9,1387600
2015-07-15,10.9,11.55,10.55,11.5,304710
2015-07-16,11.0,12.25,10.7,11.0,358700
2015-07-17,11.0,11.25,10.85,10.85,206253
2015-07-20,10.8,10.8,9.85,9.85,724267
2015-07-21,9.8,10.3,9.5,9.8,601614
2015-07-22,9.6,10.25,9.6,10.2,911843
2015-07-23,10.3,11.2,10.3,10.65,704172
2015-07-24,10.65,10.75,10.35,10.35,540068
2015-07-27,10.35,10.8,10.35,10.55,542900
2015-07-28,10.55,10.75,10.35,10.35,544660
2015-07-29,10.25,10.4,10.0,10.0,577920
2015-07-30,10.05,10.45,9.85,10.35,464791
2015-07-31,10.35,10.5,9.9,9.9,293900
2015-08-03,9.9,9.9,9.25,9.35,598300
2015-08-04,9.7,9.85,9.4,9.55,98506
2015-08-05,9.55,10.1,9.55,9.9,163498
2015-08-06,9.9,9.9,9.55,9.55,143600
2015-08-07,9.4,9.75,9.4,9.6,55000
2015-08-10,9.65,10.4,9.6,10.25,358493
2015-08-11,10.25,10.55,10.15,10.25,342055
2015-08-12,10.1,10.3,9.9,10.1,226781
2015-08-13,10.0,10.0,9.65,9.7,195651
2015-08-14,9.7,10.0,9.45,9.9,131700
2015-08-17,9.85,9.85,9.4,9.5,142220
2015-08-18,9.55,9.75,9.55,9.75,149600
2015-08-19,9.8,10.0,9.6,9.95,125217
2015-08-20,9.8,10.15,9.75,9.9,161700
2015-08-21,9.75,9.75,8.95,9.7,255580
2015-08-24,9.45,9.45,8.75,8.75,385800
2015-08-25,8.7,9.05,8.5,8.75,176460
2015-08-26,8.8,9.25,8.8,9.1,216380
2015-08-27,9.3,9.5,9.1,9.4,267816
2015-08-28,9.45,9.75,9.35,9.7,172305
2015-08-31,9.55,9.6,9.4,9.5,70474
2015-09-01,9.55,9.55,9.25,9.45,128400
2015-09-03,9.3,9.35,9.2,9.2,68000
2015-09-04,9.25,9.3,9.2,9.25,114900
2015-09-07,9.2,9.3,9.2,9.25,90970
2015-09-08,9.25,9.45,9.25,9.45,52400
2015-09-09,9.65,9.75,9.55,9.65,113713
2015-09-10,9.45,9.55,9.45,9.55,59620
2015-09-11,9.55,9.8,9.55,9.55,104966
2015-09-14,9.55,9.55,9.4,9.4,72600
2015-09-15,9.4,9.6,9.4,9.6,44400
2015-09-16,9.45,9.55,9.45,9.55,31510
2015-09-17,9.55,9.55,9.5,9.5,31200
2015-09-18,9.55,9.6,9.5,9.5,129900
2015-09-21,9.55,9.65,9.5,9.65,101576
2015-09-22,9.7,9.75,9.6,9.65,110007
