time,open,high,low,close,volume
2015-07-09,15.96,16.13,15.79,16.07,1457426
2015-07-10,16.07,16.47,16.07,16.24,1426311
2015-07-13,16.24,16.3,16.07,16.13,708530
2015-07-14,16.13,16.13,15.73,15.73,1392121
2015-07-15,15.85,15.96,15.56,15.56,1342360
2015-07-16,15.56,15.68,15.39,15.56,1090369
2015-07-17,15.51,15.73,15.51,15.56,643876
2015-07-20,15.56,15.56,14.77,15.28,2057259
2015-07-21,15.22,15.34,14.77,14.82,1387961
2015-07-22,14.77,15.17,14.37,15.17,1249770
2015-07-23,15.05,15.22,15.0,15.17,718268
2015-07-24,15.05,15.34,15.05,15.17,758782
2015-07-27,15.11,15.28,15.0,15.17,941945
2015-07-28,15.11,15.11,14.77,14.77,1633535
2015-07-29,15.42,15.48,14.89,15.01,725994
2015-07-30,15.07,15.36,15.07,15.36,580369
2015-07-31,15.36,15.54,15.36,15.36,890217
2015-08-03,15.19,15.25,14.77,14.95,967500
2015-08-04,14.89,14.95,14.77,14.95,909818
2015-08-05,15.01,15.19,15.01,15.19,304650
2015-08-06,15.25,15.25,15.01,15.07,423000
2015-08-07,15.01,15.07,14.89,14.89,357832
2015-08-10,14.89,15.01,14.89,14.89,520175
2015-08-11,13.4,15.07,13.4,14.89,431900
2015-08-12,14.89,14.89,14.41,14.53,812055
2015-08-13,14.53,14.53,13.94,13.94,1091330
2015-08-14,13.99,13.99,13.52,13.7,1114965
2015-08-17,12.51,13.7,12.33,12.92,1583310
2015-08-18,11.67,13.22,11.67,12.98,1094609
2015-08-19,13.1,13.1,12.8,12.86,942460
2015-08-20,12.74,12.8,11.85,11.97,1877260
2015-08-21,13.16,13.16,11.08,11.85,2307220
2015-08-24,11.85,11.85,10.84,10.84,3647980
2015-08-25,9.77,11.55,9.77,11.31,2296580
2015-08-26,10.18,12.45,10.18,12.33,2347105
2015-08-27,12.45,12.74,12.09,12.21,2451915
2015-08-28,12.33,13.04,12.33,12.98,3032902
2015-08-31,13.1,13.16,12.51,12.51,2109610
2015-09-01,12.86,12.98,12.51,12.51,1431681
2015-09-03,12.51,12.51,12.09,12.21,2032000
2015-09-04,12.09,12.45,11.91,12.39,1013330
2015-09-07,11.91,12.39,11.91,12.21,1070252
2015-09-08,12.09,12.33,12.03,12.33,461453
2015-09-09,12.27,12.74,12.27,12.62,1022800
2015-09-10,12.51,12.51,12.33,12.39,665745
2015-09-11,12.51,12.68,12.33,12.33,409236
2015-09-14,12.33,12.33,11.91,11.97,452680
2015-09-15,11.97,12.15,11.79,11.97,722580
2015-09-16,12.15,12.27,11.97,12.21,591450
2015-09-17,12.39,12.57,12.27,12.45,1184406
2015-09-18,12.51,12.57,12.27,12.27,1935010
2015-09-21,12.27,12.45,12.15,12.45,656266
2015-09-22,12.51,12.8,12.51,12.57,2980548
2015-09-23,12.57,13.1,12.51,13.04,1981471
2015-09-24,13.22,13.22,12.74,12.74,1399406
2015-09-25,12.98,12.98,12.57,12.62,1609730
2015-09-28,13.4,13.4,12.57,12.62,1739900
2015-09-29,12.57,12.57,12.39,12.51,1197945
2015-09-30,12.51,12.62,12.39,12.39,997896
2015-10-01,12.51,12.51,12.39,12.51,797272
2015-10-02,12.51,12.51,12.39,12.45,297319
2015-10-05,12.51,12.74,12.45,12.62,475500
2015-10-06,12.8,13.1,12.74,12.86,2256856
2015-10-07,13.1,13.46,13.04,13.04,4591001
2015-10-08,13.04,13.34,12.86,13.22,1487230
2015-10-09,13.4,13.88,13.4,13.64,3202004
2015-10-12,13.7,13.82,13.58,13.64,2561612
2015-10-13,13.4,13.58,13.34,13.34,1785035
2015-10-14,13.28,13.4,13.16,13.22,1537853
2015-10-15,13.28,13.4,13.16,13.4,1215030
2015-10-16,13.46,13.58,13.28,13.28,1897237
2015-10-19,13.46,13.46,13.28,13.28,904150
2015-10-20,13.28,13.52,13.1,13.4,3034740
2015-10-21,13.4,13.52,13.28,13.28,1150153
2015-10-22,13.28,13.52,13.22,13.46,1554810
2015-10-23,13.46,13.64,13.46,13.46,1563060
2015-10-26,13.46,13.58,13.34,13.4,936774
2015-10-27,13.58,13.58,12.92,13.04,2133935
2015-10-28,12.98,13.04,12.74,12.8,1867934
2015-10-29,12.98,13.16,12.92,13.04,2349126
2015-10-30,13.1,13.16,12.86,12.86,1528558
2015-11-02,14.11,14.11,12.92,12.92,956372
2015-11-03,12.98,13.22,12.92,13.16,2171563
2015-11-04,13.28,13.4,13.1,13.1,1449954
2015-11-05,12.98,13.16,12.86,13.1,1125251
2015-11-06,13.1,13.1,12.86,12.86,1146170
2015-11-09,13.04,13.04,12.8,12.8,669864
2015-11-10,12.8,12.8,12.57,12.62,523470
2015-11-11,12.62,12.62,12.45,12.45,601044
2015-11-12,12.45,12.51,12.27,12.45,528469
2015-11-13,12.39,12.39,12.09,12.21,1227606
2015-11-16,12.09,12.15,12.03,12.09,663500
2015-11-17,12.15,12.27,12.03,12.09,962486
2015-11-18,12.09,12.15,12.03,12.03,463900
2015-11-19,12.03,12.21,11.97,12.03,448981
2015-11-20,12.15,12.21,12.03,12.03,405294
2015-11-23,12.03,12.15,12.03,12.03,300169
2015-11-24,12.03,12.21,12.03,12.15,670796
2015-11-25,12.27,12.33,12.15,12.21,1071862
2015-11-26,12.33,12.33,12.09,12.15,902508
2015-11-27,12.09,12.09,11.91,11.91,398966
2015-11-30,11.91,11.91,11.67,11.67,596477
2015-12-01,11.67,11.79,11.61,11.67,520200
2015-12-02,11.73,11.73,11.55,11.61,357303
2015-12-03,11.55,11.61,11.37,11.37,730126
2015-12-04,11.43,11.55,11.37,11.49,266200
2015-12-07,11.49,11.49,11.08,11.14,1650390
2015-12-08,11.08,11.14,10.66,11.14,3070986
2015-12-09,11.02,11.08,10.72,10.78,1481612
2015-12-10,10.0,10.78,9.83,10.54,706960
2015-12-11,10.66,10.66,10.42,10.48,968724
2015-12-14,10.36,10.42,10.06,10.12,1453985
2015-12-15,10.12,10.36,10.12,10.3,569626
2015-12-16,10.36,10.54,10.3,10.36,565719
2015-12-17,10.3,10.42,10.18,10.24,615302
2015-12-18,9.23,10.24,9.23,9.83,2973716
2015-12-21,10.12,10.12,9.83,10.0,770310
2015-12-22,10.12,10.24,10.06,10.12,912516
2015-12-23,10.36,10.36,10.06,10.12,918000
2015-12-24,10.24,10.48,10.12,10.12,1055244
2015-12-25,10.24,10.3,10.06,10.12,599090
2015-12-28,10.12,10.12,9.95,9.95,432400
2015-12-29,9.95,10.12,9.89,10.12,976386
2015-12-30,10.12,10.12,10.0,10.06,513294
2015-12-31,10.0,10.06,9.89,9.95,347707
2016-01-04,9.95,10.12,9.95,9.95,442820
2016-01-05,9.89,9.95,9.71,9.71,566940
2016-01-06,9.71,9.77,9.53,9.53,1027675
2016-01-07,9.47,9.47,8.58,8.75,3450358
2016-01-08,8.63,8.93,8.63,8.75,2878302
2016-01-11,8.75,8.87,8.69,8.81,1240750
2016-01-12,7.98,8.87,7.98,8.87,1514145
2016-01-13,8.81,9.29,8.75,8.93,1846886
2016-01-14,9.23,9.23,8.58,8.63,1220430
2016-01-15,8.69,8.81,8.46,8.52,1296090
2016-01-18,8.34,8.34,7.74,8.16,4005255
2016-01-19,8.16,8.28,8.04,8.1,1270500
2016-01-20,8.1,8.1,7.8,7.92,1663753
2016-01-21,7.86,7.92,7.44,7.44,2640200
2016-01-22,7.74,8.1,7.56,7.92,2937521
2016-01-25,8.28,8.69,8.28,8.69,1650510
2016-01-26,8.04,8.99,8.04,8.52,1952036
2016-01-27,8.69,8.87,8.58,8.75,2143742
2016-01-28,7.92,8.81,7.92,8.52,2691850
2016-01-29,8.52,9.23,8.52,9.17,3438322
2016-02-01,9.29,9.29,8.75,8.75,1004118
2016-02-02,8.63,8.63,8.4,8.46,970710
2016-02-03,8.28,8.34,8.04,8.28,1436400
2016-02-04,8.63,8.75,8.4,8.46,810800
2016-02-05,8.63,8.63,8.4,8.63,681900
2016-02-15,8.52,8.69,8.28,8.58,1456730
2016-02-16,8.69,8.93,8.69,8.93,1874530
2016-02-17,8.69,8.93,8.63,8.69,1091041
2016-02-18,8.81,9.17,8.81,8.99,3333578
2016-02-19,8.93,9.35,8.87,8.93,1825559
2016-02-22,8.81,9.17,8.81,9.05,1625521
2016-02-23,9.23,9.53,9.11,9.11,3912333
2016-02-24,8.22,9.17,8.22,9.17,2606686
2016-02-25,9.17,9.29,8.99,8.99,1337856
2016-02-26,9.17,9.17,8.99,9.05,1252276
2016-02-29,9.05,9.11,8.93,9.05,790800
2016-03-01,9.05,9.17,8.99,9.11,1538937
2016-03-02,9.17,9.29,9.11,9.17,1229740
2016-03-03,9.23,9.41,9.17,9.23,1420196
2016-03-04,9.23,9.59,9.23,9.41,1722316
2016-03-07,9.59,10.18,9.59,10.0,5730717
2016-03-08,10.18,10.48,9.95,10.0,4622160
2016-03-09,9.95,10.0,9.71,9.83,2087228
2016-03-10,10.0,10.18,9.89,9.89,2681049
2016-03-11,9.95,10.12,9.83,10.0,1093630
2016-03-14,10.0,10.18,9.95,10.12,1525260
2016-03-15,10.06,10.12,9.71,9.83,2391069
2016-03-16,9.71,9.89,9.71,9.83,1021029
2016-03-17,10.0,10.36,10.0,10.06,2444271
2016-03-18,10.24,10.3,10.0,10.12,3549430
2016-03-21,10.12,10.12,9.83,9.95,1930566
2016-03-22,10.0,10.06,9.89,10.0,1199181
2016-03-23,9.95,10.24,9.89,10.24,2240188
2016-03-24,10.12,10.18,9.95,9.95,1122420
2016-03-25,9.95,9.95,9.71,9.77,1656531
2016-03-28,9.83,9.89,9.77,9.89,527101
2016-03-29,9.89,9.89,9.53,9.53,483699
2016-03-30,9.53,9.65,9.41,9.59,1259960
2016-03-31,9.59,9.59,9.11,9.11,606450
2016-04-01,9.11,9.29,9.11,9.17,840700
2016-04-04,8.99,9.23,8.87,9.17,1053845
2016-04-05,9.05,9.05,8.93,9.05,1302424
2016-04-06,9.17,9.41,9.17,9.29,1680690
2016-04-07,9.47,9.59,9.41,9.47,1075080
2016-04-08,9.47,9.53,9.41,9.53,1120610
2016-04-11,9.71,9.77,9.59,9.59,2542099
2016-04-12,9.71,9.77,9.59,9.71,1761846
2016-04-13,9.83,10.0,9.65,9.71,2999914
2016-04-14,9.71,9.77,9.53,9.65,1008779
2016-04-15,9.65,9.83,9.59,9.65,2417560
2016-04-19,9.53,9.59,9.35,9.41,1372361
2016-04-20,9.35,9.53,9.29,9.41,694230
2016-04-21,9.53,9.89,9.47,9.83,2077759
2016-04-22,9.83,10.3,9.77,10.24,3791039
2016-04-25,10.24,10.24,10.0,10.06,1157920
2016-04-26,10.0,10.06,9.89,10.06,1112430
2016-04-27,10.18,10.54,10.18,10.24,1862425
2016-04-28,10.24,10.36,10.12,10.24,517559
2016-04-29,10.24,10.24,10.12,10.24,463535
2016-05-04,10.24,10.24,9.83,9.95,1254571
2016-05-05,10.0,10.06,9.89,10.06,1168825
2016-05-06,10.06,10.12,9.95,10.0,541945
2016-05-09,10.12,10.12,10.0,10.06,566850
2016-05-10,10.06,10.06,9.83,10.0,713552
2016-05-11,10.06,10.12,9.95,10.06,579127
2016-05-12,10.12,10.18,10.06,10.12,937619
2016-05-13,10.18,10.42,10.12,10.36,2062858
2016-05-16,10.36,10.96,10.3,10.96,3921424
2016-05-17,11.49,11.61,10.96,11.31,7915940
2016-05-18,11.37,11.55,10.96,11.02,3735458
2016-05-19,11.02,11.02,10.66,10.66,3276536
2016-05-20,10.78,10.96,10.66,10.72,1988801
2016-05-23,10.54,10.66,10.42,10.54,1919538
2016-05-24,10.42,10.72,10.3,10.66,1076866
2016-05-25,10.84,11.14,10.78,10.78,1534722
2016-05-26,9.71,11.02,9.71,10.9,2211798
2016-05-27,10.72,10.9,10.72,10.78,1167412
2016-05-30,10.78,10.84,10.66,10.84,1156060
2016-05-31,10.84,11.31,10.72,11.14,3009015
2016-06-01,11.2,11.2,10.96,10.96,1508786
2016-06-02,10.96,11.08,10.9,11.08,1281449
2016-06-03,11.08,11.43,10.96,11.2,2349664
2016-06-06,11.2,11.31,11.02,11.14,999323
2016-06-07,11.2,11.49,11.2,11.43,2702969
2016-06-08,11.49,11.91,11.49,11.55,2866938
2016-06-09,11.67,12.09,11.67,12.03,2989779
2016-06-10,11.91,12.03,11.73,11.79,2541967
2016-06-13,11.61,11.67,11.26,11.37,3750895
2016-06-14,11.26,11.55,11.14,11.31,1682412
2016-06-15,11.26,11.26,10.96,11.26,1849534
2016-06-16,11.08,11.2,11.02,11.02,1104971
2016-06-17,10.9,10.96,10.72,10.72,4156665
2016-06-20,10.72,11.26,10.72,11.26,1467588
2016-06-21,11.31,11.49,11.14,11.14,1656917
2016-06-22,11.26,11.37,11.14,11.26,1778022
2016-06-23,11.2,11.31,11.2,11.2,715789
2016-06-24,11.26,11.31,10.12,10.72,6558098
2016-06-27,10.72,10.84,10.42,10.72,1448355
2016-06-28,10.54,10.84,10.54,10.72,846031
2016-06-29,10.84,10.96,10.78,10.9,882981
2016-06-30,11.14,11.14,10.78,10.84,1148438
2016-07-01,10.78,11.08,10.78,11.02,830966
2016-07-04,11.02,11.14,10.9,11.02,752900
2016-07-05,10.9,11.02,10.78,10.84,1906699
2016-07-06,10.72,10.78,10.6,10.78,1491916
2016-07-07,10.72,10.96,10.72,10.84,1323326
2016-07-08,10.72,10.9,10.66,10.78,1409190
2016-07-11,10.78,10.96,10.66,10.66,1307349
2016-07-12,10.66,10.84,10.66,10.84,1214580
2016-07-13,10.9,11.02,10.84,10.9,1710167
2016-07-14,10.9,10.9,10.78,10.78,1777981
2016-07-15,10.78,10.9,10.72,10.78,2139005
2016-07-18,10.84,11.14,10.72,11.14,2380642
2016-07-19,11.14,11.31,11.02,11.14,2445001
2016-07-20,11.14,11.14,10.96,11.02,1488769
2016-07-21,11.72,11.78,11.02,11.08,1531024
2016-07-22,11.02,11.02,10.7,10.89,2195848
2016-07-25,10.95,10.95,10.76,10.83,1192527
2016-07-26,10.7,10.7,10.51,10.64,1268830
2016-07-27,10.51,11.02,10.51,10.89,1893372
2016-07-28,10.89,10.89,10.7,10.89,1218420
2016-07-29,10.83,10.89,10.76,10.76,765167
2016-08-01,10.83,11.08,10.83,11.02,1156542
2016-08-02,10.95,10.95,10.76,10.89,1765158
2016-08-03,10.89,10.95,10.76,10.89,724990
2016-08-04,10.95,11.27,10.95,11.14,2125583
2016-08-05,11.14,11.59,11.14,11.59,2502352
2016-08-08,11.59,11.78,11.34,11.4,480944
2016-08-09,11.46,12.16,11.46,12.16,2275243
2016-08-10,12.1,12.42,11.97,12.42,1502990
2016-08-11,12.35,12.99,12.16,12.86,2495613
2016-08-12,13.06,13.44,13.06,13.31,2600678
2016-08-15,13.37,13.82,13.31,13.5,1397991
2016-08-16,13.5,13.76,12.99,13.18,2287911
2016-08-17,13.25,13.56,13.18,13.25,1882940
2016-08-18,13.25,14.07,13.06,14.07,2112922
2016-08-19,14.14,14.46,13.44,13.5,2490108
2016-08-22,13.56,13.95,13.44,13.82,1580925
2016-08-23,13.76,14.14,13.37,13.95,1920306
2016-08-24,13.56,14.14,13.56,13.82,1777849
2016-08-25,13.63,13.82,13.5,13.63,991498
2016-08-26,13.63,13.95,13.63,13.69,847001
2016-08-29,13.69,13.76,12.86,13.18,2437403
2016-08-30,13.18,13.37,12.99,13.37,791324
2016-08-31,13.31,13.37,13.18,13.37,1260691
2016-09-01,13.37,13.37,12.93,12.93,1663683
2016-09-05,13.06,13.37,12.99,13.37,1582038
2016-09-06,13.5,13.88,13.31,13.63,2929135
2016-09-07,13.5,13.63,13.31,13.37,1774633
2016-09-08,13.5,13.63,13.31,13.5,2224794
2016-09-09,13.63,13.88,13.31,13.37,3947065
2016-09-12,13.25,13.37,13.06,13.18,1077185
2016-09-13,13.18,13.18,12.93,13.12,1215123
2016-09-14,12.99,13.12,12.93,13.06,1604230
2016-09-15,12.93,12.93,12.61,12.67,1427009
2016-09-16,12.67,12.67,12.1,12.16,5263064
2016-09-19,12.29,12.74,12.23,12.74,1507340
2016-09-20,12.74,12.8,12.48,12.8,922590
2016-09-21,12.74,12.99,12.61,12.8,1575350
2016-09-22,12.93,13.18,12.67,12.67,1827269
2016-09-23,12.74,12.8,12.55,12.55,1220880
2016-09-26,12.48,12.61,12.23,12.48,1564019
2016-09-27,12.61,12.74,12.48,12.74,954616
2016-09-28,12.67,12.74,12.48,12.67,1813430
2016-09-29,12.93,13.88,12.93,13.88,7816526
2016-09-30,14.01,14.33,13.5,13.5,2120414
2016-10-03,13.5,13.76,13.37,13.37,1377707
2016-10-04,13.5,13.69,13.18,13.5,3372182
2016-10-05,13.5,13.76,13.5,13.56,1893530
2016-10-06,13.63,13.82,13.44,13.63,1960923
2016-10-07,13.69,14.14,13.69,13.88,2892320
2016-10-10,13.82,13.82,13.44,13.5,1266829
2016-10-11,13.69,13.95,13.5,13.88,2935026
2016-10-12,13.88,13.95,13.69,13.76,1942480
2016-10-13,13.63,13.69,13.5,13.69,1923533
2016-10-14,13.69,13.88,13.63,13.69,1318775
2016-10-17,13.69,13.69,13.31,13.31,1663020
2016-10-18,13.31,13.5,13.18,13.44,1434253
2016-10-19,13.56,13.56,13.31,13.31,914550
2016-10-20,13.5,13.56,13.12,13.12,2461000
2016-10-21,13.06,13.12,12.99,13.12,1437310
2016-10-24,13.06,13.12,12.67,12.67,1132156
2016-10-25,12.74,12.86,12.48,12.8,1722334
2016-10-26,12.67,12.74,12.42,12.48,1298200
2016-10-27,12.61,12.74,12.42,12.67,647680
2016-10-28,12.67,12.67,12.55,12.61,853870
2016-10-31,12.61,12.61,12.16,12.23,1033619
2016-11-01,12.1,12.23,11.91,11.97,1518697
2016-11-02,11.91,11.91,11.34,11.4,1327489
2016-11-03,11.4,11.59,11.08,11.59,1665200
2016-11-04,11.46,11.59,11.21,11.4,619526
2016-11-07,11.34,11.65,11.34,11.59,537174
2016-11-08,11.65,11.72,11.4,11.53,1419993
2016-11-09,11.4,11.4,10.51,11.21,1972970
2016-11-10,10.13,11.59,10.13,11.46,1363400
2016-11-11,11.4,11.53,11.27,11.34,987200
2016-11-14,11.27,11.27,10.95,11.02,1279134
2016-11-15,11.08,11.27,11.08,11.21,1423225
2016-11-16,11.46,11.72,11.34,11.4,1289675
2016-11-17,11.34,11.34,11.21,11.27,640359
2016-11-18,11.27,11.4,11.14,11.21,769418
2016-11-21,11.34,11.4,11.27,11.27,967370
2016-11-22,11.4,11.65,11.4,11.46,2881910
2016-11-23,11.53,11.53,11.4,11.4,423703
2016-11-24,11.4,11.59,11.4,11.4,1059200
2016-11-25,11.4,11.46,11.14,11.21,977000
2016-11-28,11.14,11.14,10.95,11.08,1757450
2016-11-29,11.21,11.21,11.08,11.14,916760
2016-11-30,10.06,11.46,10.06,11.27,1455425
2016-12-01,11.85,12.35,11.78,11.91,7014780
2016-12-02,12.1,12.23,11.65,11.65,1538650
