time,open,high,low,close,volume
2025-10-30,18.6,18.6,18.6,18.6,2200
2025-10-31,21.3,21.3,21.3,21.3,1300
2025-11-03,24.4,24.4,24.4,24.4,4700
2025-11-04,28.0,28.0,28.0,28.0,1500
2025-11-05,32.2,32.2,32.0,32.1,25100
2025-11-06,36.0,37.0,36.0,37.0,4500
2025-11-07,37.0,42.3,31.4,37.0,21900
2025-11-10,36.8,37.0,36.5,37.0,2400
2025-11-11,31.5,36.0,31.3,31.3,2300
2025-11-12,35.5,35.5,35.5,35.5,100
2025-11-13,35.0,35.5,34.0,34.0,1700
2025-11-14,31.0,31.1,31.0,31.1,400
2025-11-17,32.5,34.7,32.0,34.7,900
2025-11-18,34.7,34.7,33.9,33.9,600
2025-11-19,29.3,34.3,29.3,34.3,400
2025-11-21,28.2,28.2,28.2,28.2,100
2025-11-24,32.4,32.4,32.0,32.0,300
2025-11-25,32.0,37.0,32.0,37.0,300
2025-11-26,33.0,33.0,33.0,33.0,200
2025-11-27,33.0,36.0,32.0,32.0,1500
2025-12-05,29.1,33.0,29.1,33.0,2500
2025-12-08,29.4,29.4,29.0,29.1,2500
2025-12-09,29.2,29.2,29.2,29.2,300
