time,open,high,low,close,volume
2015-07-09,16.2,16.26,16.2,16.26,8200
2015-07-10,16.08,16.08,14.89,15.91,19300
2015-07-13,16.02,16.08,15.49,15.49,21000
2015-07-14,16.32,16.32,15.49,15.67,18600
2015-07-15,15.55,16.02,15.49,15.79,15900
2015-07-16,15.96,16.08,15.91,16.08,43000
2015-07-17,16.98,18.35,16.08,16.98,26500
2015-07-20,17.87,18.35,16.68,17.87,14800
2015-07-21,19.0,19.0,16.8,17.28,6800
2015-07-22,17.45,17.45,17.28,17.39,21400
2015-07-23,17.39,17.39,14.89,16.38,19200
2015-07-24,17.87,17.87,15.79,15.79,20300
2015-07-27,17.51,17.51,17.1,17.1,30300
2015-07-28,16.68,17.22,16.68,16.98,67000
2015-07-29,16.98,17.16,16.98,17.16,64600
2015-07-30,18.94,18.94,17.87,17.87,21800
2015-07-31,17.28,18.35,17.28,18.35,500
2015-08-03,16.38,17.69,16.38,17.69,600
2015-08-04,16.68,17.28,16.68,17.28,1800
2015-08-05,15.67,17.1,15.61,17.1,400
2015-08-06,16.38,16.74,16.38,16.68,1500
2015-08-07,16.68,16.68,16.68,16.68,10600
2015-08-10,16.68,16.68,16.68,16.68,10000
2015-08-11,16.98,17.51,16.68,17.51,29300
2015-08-12,15.85,17.51,15.85,17.51,24000
2015-08-13,16.68,17.22,16.68,16.68,18600
2015-08-14,16.44,16.8,16.44,16.8,28300
2015-08-17,15.79,16.68,15.79,16.68,22500
2015-08-18,15.96,16.68,15.96,16.68,21000
2015-08-19,16.14,16.98,16.14,16.98,38000
2015-08-20,17.22,17.22,16.68,16.74,4000
2015-08-21,16.38,16.92,16.38,16.92,4900
2015-08-24,16.5,16.62,16.5,16.62,7800
2015-08-25,16.44,16.44,16.44,16.44,13200
2015-08-26,17.28,17.28,17.28,17.28,100
2015-08-27,17.22,17.22,16.68,16.68,1100
2015-08-28,16.44,17.22,16.08,17.22,8600
2015-08-31,16.68,17.87,16.68,17.87,1400
2015-09-01,17.1,17.1,17.1,17.1,100
2015-09-03,17.1,17.1,17.1,17.1,0
2015-09-04,16.14,17.28,16.14,17.28,300
2015-09-07,17.28,17.28,17.28,17.28,0
2015-09-08,17.28,17.28,17.28,17.28,0
2015-09-09,16.68,16.92,16.68,16.92,15300
2015-09-10,16.68,17.28,16.38,17.28,14900
2015-09-11,16.62,17.75,16.62,17.75,10100
2015-09-14,16.74,17.51,16.74,17.51,14800
2015-09-15,16.68,17.39,16.68,17.39,10100
2015-09-16,16.68,16.8,16.68,16.68,13800
2015-09-17,16.68,16.68,16.68,16.68,10000
2015-09-18,16.68,17.28,16.68,17.28,14600
2015-09-21,16.74,17.28,16.74,17.28,12000
2015-09-22,17.04,17.28,17.04,17.28,10300
2015-09-23,17.28,17.87,17.04,17.33,12600
2015-09-24,17.28,17.75,17.16,17.75,13700
2015-09-25,17.22,17.28,17.22,17.28,10300
2015-09-28,17.28,17.69,17.28,17.69,2600
2015-09-29,17.28,17.28,16.98,16.98,600
2015-09-30,17.63,17.63,17.63,17.63,100
2015-10-01,17.57,17.63,17.57,17.63,14500
2015-10-02,17.57,17.57,16.98,17.33,11600
2015-10-05,17.51,17.51,17.28,17.28,28500
2015-10-06,17.39,17.39,17.28,17.28,11700
2015-10-07,17.39,17.39,17.28,17.28,11000
2015-10-08,19.0,19.0,17.28,17.28,15800
2015-10-09,18.17,18.29,17.28,17.75,12400
2015-10-12,17.57,17.75,17.28,17.75,12700
2015-10-13,17.69,17.69,17.28,17.57,26500
2015-10-14,17.51,17.57,17.33,17.57,16900
2015-10-15,17.81,19.66,17.57,17.57,38900
2015-10-16,17.57,17.81,17.45,17.81,16000
2015-10-19,18.11,18.47,17.87,18.47,41800
2015-10-20,18.71,20.91,18.71,20.91,91100
2015-10-21,21.98,23.11,21.98,22.64,62000
2015-10-22,22.34,22.58,20.25,21.98,15700
2015-10-23,21.98,21.98,20.55,20.85,21700
2015-10-26,21.74,22.58,21.45,22.04,61800
2015-10-27,22.28,22.28,21.8,21.92,42400
2015-10-28,21.45,21.98,20.55,21.15,23500
2015-10-29,21.92,21.92,21.09,21.45,60100
2015-10-30,21.98,22.04,21.45,21.74,33400
2015-11-02,21.92,21.92,21.45,21.45,35100
2015-11-03,21.8,21.8,21.15,21.45,27100
2015-11-04,20.97,21.62,20.85,20.85,42200
2015-11-05,21.33,21.33,20.25,20.25,40600
2015-11-06,20.97,20.97,19.96,19.96,30700
2015-11-09,19.66,20.73,19.66,20.67,38400
2015-11-10,20.25,20.55,20.25,20.49,36900
2015-11-11,20.85,21.15,20.85,20.97,81150
2015-11-12,20.85,21.15,20.19,20.25,63100
2015-11-13,21.15,21.15,20.19,20.19,35900
2015-11-16,21.03,21.03,19.96,20.02,19500
2015-11-17,20.79,20.79,19.06,19.66,24300
2015-11-18,20.43,20.43,19.42,19.66,30500
2015-11-19,20.02,20.02,19.06,19.06,34000
2015-11-20,19.54,19.54,18.47,18.71,37900
2015-11-23,19.54,19.6,19.48,19.48,20500
2015-11-24,19.84,19.84,18.47,18.47,41000
2015-11-25,18.94,18.94,17.87,18.71,36500
2015-11-26,18.76,18.82,18.53,18.82,9500
2015-11-27,18.82,19.0,18.82,18.88,4600
2015-11-30,18.88,18.88,18.88,18.88,0
2015-12-01,19.24,19.24,19.12,19.18,40000
2015-12-02,19.66,19.66,19.24,19.24,21000
2015-12-03,19.42,19.42,19.36,19.36,10000
2015-12-04,19.24,19.24,19.24,19.24,100
2015-12-07,19.24,19.24,19.24,19.24,0
2015-12-08,19.24,19.36,19.06,19.36,24400
2015-12-09,19.24,19.24,19.06,19.06,19400
2015-12-10,19.66,19.66,19.06,19.66,30500
2015-12-11,19.54,19.54,19.54,19.54,20000
2015-12-14,19.42,19.42,17.87,17.87,21000
2015-12-15,17.87,19.48,17.87,18.76,20200
2015-12-16,19.48,19.48,19.42,19.42,23000
2015-12-17,19.54,19.54,19.54,19.54,20700
2015-12-18,19.36,19.42,19.06,19.06,38800
2015-12-21,19.54,19.54,19.36,19.36,19700
2015-12-22,19.36,19.36,17.87,18.47,22200
2015-12-23,19.0,19.0,18.17,18.17,20000
2015-12-24,18.82,18.82,17.99,18.17,22700
2015-12-25,19.3,19.3,19.3,19.3,20000
2015-12-28,19.48,19.48,19.48,19.48,21000
2015-12-29,19.48,19.48,19.48,19.48,0
2015-12-30,18.17,18.47,18.17,18.41,4300
2015-12-31,18.47,18.47,18.17,18.47,3400
2016-01-04,19.54,19.54,19.0,19.06,20600
2016-01-05,19.36,19.36,18.11,18.47,24000
2016-01-06,19.0,19.0,18.35,18.59,23600
2016-01-07,18.47,18.47,18.17,18.17,20700
2016-01-08,18.17,18.17,18.17,18.17,1700
2016-01-11,17.99,18.23,17.63,18.23,8000
2016-01-12,18.17,18.17,17.81,17.99,3200
2016-01-13,18.47,18.47,17.28,17.87,1200
2016-01-14,17.87,17.87,17.63,17.87,2400
2016-01-15,17.87,17.87,17.87,17.87,2200
2016-01-18,17.28,17.28,17.28,17.28,1100
2016-01-19,17.28,17.28,17.28,17.28,200
2016-01-20,17.28,17.28,17.28,17.28,200
2016-01-21,17.28,17.28,17.28,17.28,7700
2016-01-22,16.98,17.1,16.98,17.1,1200
2016-01-25,16.98,17.1,16.98,16.98,7800
2016-01-26,16.98,18.05,16.68,18.05,1600
2016-01-27,17.04,17.28,16.98,17.28,6300
2016-01-28,17.28,17.28,17.22,17.22,200
2016-01-29,16.68,17.51,16.68,17.51,300
2016-02-01,18.05,18.05,18.05,18.05,20000
2016-02-02,16.86,17.39,16.86,17.39,10100
2016-02-03,17.93,17.93,16.98,17.28,16300
2016-02-04,17.87,18.71,17.04,17.04,11300
2016-02-05,17.28,17.28,17.28,17.28,600
2016-02-15,17.28,17.28,17.28,17.28,0
2016-02-16,17.81,17.81,16.98,17.28,11700
2016-02-17,17.33,17.45,16.86,17.22,4300
2016-02-18,17.87,18.41,17.28,17.28,12100
2016-02-19,16.98,17.33,16.68,17.33,13300
2016-02-22,17.81,17.81,17.28,17.28,16900
