time,open,high,low,close,volume
2015-09-30,8.25,8.5,8.12,8.5,397320
2015-10-01,8.67,9.08,8.56,9.08,236460
2015-10-02,9.08,9.44,9.08,9.27,41850
2015-10-05,9.22,9.63,9.22,9.63,275190
2015-10-06,10.26,10.26,9.9,10.01,228850
2015-10-07,10.01,10.01,9.77,9.9,204010
2015-10-08,9.77,9.9,9.52,9.9,163690
2015-10-09,9.9,9.9,9.57,9.68,97100
2015-10-12,9.41,9.71,9.35,9.63,83520
2015-10-13,9.63,9.82,9.63,9.79,96370
2015-10-14,9.79,9.85,9.79,9.82,184950
2015-10-15,9.77,10.01,9.77,10.01,165540
2015-10-16,9.99,10.21,9.99,10.21,374950
2015-10-19,10.21,10.37,10.21,10.34,204350
2015-10-20,10.34,10.43,10.34,10.37,201770
2015-10-21,10.37,10.37,10.1,10.21,429360
2015-10-22,10.18,10.26,10.1,10.26,132100
2015-10-23,10.26,10.32,10.18,10.18,127720
2015-10-26,10.23,10.23,10.04,10.04,143630
2015-10-27,9.63,10.04,9.63,10.04,43090
2015-10-28,9.99,10.07,9.99,9.99,36220
2015-10-29,9.93,10.04,9.85,10.04,40170
2015-10-30,9.96,10.04,9.9,9.99,14530
2015-11-02,9.85,10.01,9.85,10.01,105520
2015-11-03,9.13,9.22,9.08,9.22,42640
2015-11-04,9.22,9.41,9.22,9.41,100490
2015-11-05,9.41,9.55,9.41,9.55,103970
2015-11-06,9.52,9.55,9.49,9.55,12610
2015-11-09,9.49,9.55,9.46,9.55,41540
2015-11-10,9.44,9.55,9.44,9.55,9650
2015-11-11,9.46,9.52,9.27,9.41,23000
2015-11-12,9.35,9.49,9.35,9.49,8990
2015-11-13,9.46,9.49,9.35,9.41,4490
2015-11-16,9.35,9.49,9.13,9.38,6310
2015-11-17,9.0,9.38,8.83,9.3,12270
2015-11-18,9.08,9.22,8.86,9.08,3540
2015-11-19,8.94,8.94,8.94,8.94,520
2015-11-20,8.94,9.55,8.8,9.08,38280
2015-11-23,8.58,9.35,8.58,9.08,21140
2015-11-24,9.08,9.08,8.67,9.02,37450
2015-11-25,9.02,9.02,8.72,9.02,34370
2015-11-26,9.02,9.02,8.8,8.8,32040
2015-11-27,9.08,9.08,8.75,8.8,36590
2015-11-30,9.05,9.05,8.75,8.8,32880
2015-12-01,9.02,9.02,8.86,9.0,86400
2015-12-02,9.0,9.49,8.97,9.3,54980
2015-12-03,9.3,9.35,9.22,9.35,64980
2015-12-04,9.35,9.35,9.16,9.22,37020
2015-12-07,9.74,9.74,9.08,9.08,42170
2015-12-08,9.08,9.16,8.91,8.97,73630
2015-12-09,8.97,9.19,8.94,9.08,116020
2015-12-10,9.08,9.22,9.08,9.19,129000
2015-12-11,9.19,9.22,8.94,9.13,107210
2015-12-14,8.8,9.19,8.8,9.08,152420
2015-12-15,8.47,9.08,8.47,9.02,12160
2015-12-16,8.83,8.89,8.8,8.8,37090
2015-12-17,8.75,8.86,8.72,8.86,19920
2015-12-18,8.45,8.8,8.45,8.78,21160
2015-12-21,8.67,8.8,8.58,8.75,12170
2015-12-22,8.28,8.8,8.28,8.8,5140
2015-12-23,8.8,8.8,8.56,8.8,20000
2015-12-24,8.8,8.8,8.47,8.8,22700
2015-12-25,8.47,8.75,8.36,8.75,55990
2015-12-28,8.75,8.75,8.75,8.75,10
2015-12-29,8.75,8.75,8.75,8.75,100
2015-12-30,8.53,8.75,8.5,8.75,18000
2015-12-31,8.72,8.78,8.72,8.78,15000
2016-01-04,8.78,8.8,8.53,8.69,31030
2016-01-05,8.67,8.69,8.58,8.64,36540
2016-01-06,8.64,8.75,8.64,8.64,53510
2016-01-07,8.64,8.67,8.47,8.61,31620
2016-01-08,8.64,8.64,8.25,8.61,29090
2016-01-11,8.61,8.61,8.61,8.61,0
2016-01-12,8.58,8.61,8.34,8.5,26380
2016-01-13,8.64,8.64,8.25,8.5,6770
2016-01-14,8.64,8.64,8.28,8.58,3020
2016-01-15,8.25,8.61,8.25,8.56,10650
2016-01-18,8.5,8.5,8.14,8.14,44000
2016-01-19,8.58,8.58,8.14,8.5,850
2016-01-20,8.67,8.67,8.45,8.47,36240
2016-01-21,8.47,8.47,8.09,8.23,14080
2016-01-22,8.09,8.25,7.98,8.14,27570
2016-01-25,8.17,8.23,8.12,8.23,8590
2016-01-26,8.23,8.23,7.81,8.17,7140
2016-01-27,8.23,8.53,7.84,8.12,1820
2016-01-28,7.84,8.09,7.84,8.01,42730
2016-01-29,8.01,8.01,7.95,7.98,3820
2016-02-01,7.98,7.98,7.84,7.84,54400
2016-02-02,7.81,7.84,7.79,7.84,22340
2016-02-03,7.79,7.92,7.79,7.92,7690
2016-02-04,7.84,8.23,7.84,7.84,12900
2016-02-05,7.98,7.98,7.98,7.98,300
2016-02-15,8.03,8.03,7.84,7.92,5010
2016-02-16,7.81,7.92,7.57,7.92,18390
2016-02-17,7.84,8.47,7.57,8.36,134540
2016-02-18,8.25,8.56,8.25,8.56,303950
2016-02-19,8.56,8.56,8.25,8.56,34970
2016-02-22,8.56,8.56,8.5,8.5,10490
2016-02-23,8.25,8.42,7.98,8.25,5790
2016-02-24,8.25,8.25,8.25,8.25,10140
2016-02-25,7.98,8.25,7.98,7.98,17360
2016-02-26,7.98,8.06,7.92,8.06,26320
2016-02-29,7.98,8.12,7.98,8.12,2280
2016-03-01,8.12,8.12,8.12,8.12,0
2016-03-02,7.95,8.12,7.84,7.92,10360
2016-03-03,7.9,7.92,7.87,7.92,20090
2016-03-04,7.92,8.03,7.87,8.03,19180
2016-03-07,7.7,7.98,7.51,7.7,116740
2016-03-08,7.7,7.81,7.43,7.81,49600
2016-03-09,7.79,7.98,7.79,7.92,30510
