time,open,high,low,close,volume
2015-07-06,4.0,4.06,4.0,4.06,149640
2015-07-07,4.06,4.06,4.02,4.02,58960
2015-07-08,4.02,4.02,3.96,4.0,189540
2015-07-09,4.02,4.02,3.96,4.0,67030
2015-07-10,4.0,4.02,3.96,3.98,86180
2015-07-13,3.98,4.0,3.96,4.0,56220
2015-07-14,4.0,4.18,4.0,4.14,253050
2015-07-15,4.12,4.14,4.08,4.12,98940
2015-07-16,4.12,4.14,4.08,4.12,84710
2015-07-17,4.12,4.26,4.12,4.16,221020
2015-07-20,4.16,4.16,4.06,4.12,128510
2015-07-21,4.1,4.18,4.04,4.1,73870
2015-07-22,4.06,4.14,4.06,4.12,119970
2015-07-23,4.1,4.34,4.1,4.28,420060
2015-07-24,4.28,4.4,4.24,4.32,231240
2015-07-27,4.34,4.42,4.3,4.38,140730
2015-07-28,4.38,4.47,4.32,4.32,298710
2015-07-29,4.32,4.38,4.28,4.28,248660
2015-07-30,4.42,4.45,4.32,4.32,217030
2015-07-31,4.38,4.42,4.32,4.32,137920
2015-08-03,4.32,4.32,4.12,4.2,83850
2015-08-04,4.2,4.24,4.1,4.18,43310
2015-08-05,4.2,4.26,4.16,4.24,91690
2015-08-06,4.24,4.28,4.18,4.26,63480
2015-08-07,4.26,4.26,4.2,4.24,22190
2015-08-10,4.28,4.3,4.24,4.3,60870
2015-08-11,4.34,4.34,4.26,4.3,83830
2015-08-12,4.26,4.26,4.18,4.24,73610
2015-08-13,4.14,4.2,4.1,4.12,64270
2015-08-14,4.1,4.24,4.1,4.16,61830
2015-08-17,4.18,4.24,4.16,4.16,126180
2015-08-18,4.16,4.22,4.16,4.22,46110
2015-08-19,4.14,4.22,4.14,4.18,64400
2015-08-20,4.2,4.2,4.16,4.18,64730
2015-08-21,4.18,4.18,4.08,4.14,151410
2015-08-24,4.02,4.08,3.85,3.85,182070
2015-08-25,3.73,4.0,3.73,3.89,188090
2015-08-26,4.14,4.14,3.94,4.02,84140
2015-08-27,4.08,4.1,4.02,4.1,49980
2015-08-28,4.06,4.14,4.06,4.1,60910
2015-08-31,4.1,4.16,4.1,4.16,76460
2015-09-01,4.16,4.18,4.16,4.18,28490
2015-09-03,4.18,4.2,4.14,4.16,49930
2015-09-04,4.18,4.18,4.16,4.18,24540
2015-09-07,4.16,4.18,4.16,4.18,24730
2015-09-08,4.08,4.24,4.08,4.22,67170
2015-09-09,4.24,4.26,4.2,4.22,32820
2015-09-10,4.22,4.26,4.22,4.22,19850
2015-09-11,4.24,4.36,4.24,4.28,88120
2015-09-14,4.28,4.38,4.24,4.34,172580
2015-09-15,4.34,4.36,4.28,4.28,48920
2015-09-16,4.32,4.34,4.26,4.32,80080
2015-09-17,4.32,4.4,4.32,4.34,70710
2015-09-18,4.38,4.4,4.36,4.36,75880
2015-09-21,4.36,4.38,4.28,4.36,44930
2015-09-22,4.36,4.38,4.3,4.36,90340
2015-09-23,4.39,4.49,4.39,4.45,23550
2015-09-24,4.49,4.49,4.41,4.43,36970
2015-09-25,4.45,4.49,4.39,4.49,33600
2015-09-28,4.49,4.54,4.49,4.49,48630
2015-09-29,4.64,4.64,4.49,4.52,66540
2015-09-30,4.62,4.62,4.52,4.54,48050
2015-10-01,4.58,4.84,4.54,4.84,239510
2015-10-02,4.97,5.14,4.9,5.1,183260
2015-10-05,5.18,5.18,4.97,5.1,96920
2015-10-06,5.1,5.16,5.01,5.1,166720
2015-10-07,5.12,5.38,5.06,5.29,238710
2015-10-08,5.31,5.6,5.31,5.51,213420
2015-10-09,5.51,5.55,5.42,5.51,139710
2015-10-12,5.51,5.79,5.51,5.79,165180
2015-10-13,5.79,6.18,5.75,6.18,390890
2015-10-14,6.18,6.42,6.03,6.14,213530
2015-10-15,6.14,6.2,6.05,6.2,96660
2015-10-16,6.26,6.31,5.98,6.05,158320
2015-10-19,5.98,6.26,5.98,6.16,189570
2015-10-20,6.26,6.26,6.09,6.2,72610
2015-10-21,6.24,6.63,6.2,6.63,361450
2015-10-22,6.7,7.02,6.63,6.87,190760
2015-10-23,7.09,7.35,6.87,7.35,264650
2015-10-26,7.35,7.52,7.13,7.32,222530
2015-10-27,7.22,7.82,7.22,7.73,714990
2015-10-28,7.73,8.1,7.73,7.89,355000
2015-10-29,7.93,7.97,7.63,7.93,140560
2015-10-30,7.78,7.91,7.39,7.39,258480
2015-11-02,7.02,7.11,6.89,6.89,374640
2015-11-03,6.68,7.13,6.55,6.85,159300
2015-11-04,7.11,7.11,6.48,6.72,158860
2015-11-05,6.91,6.91,6.55,6.59,68040
2015-11-06,6.59,6.59,6.29,6.35,73110
2015-11-09,6.16,6.78,6.16,6.78,187690
2015-11-10,6.91,7.22,6.81,7.22,223070
2015-11-11,7.24,7.43,7.22,7.22,247160
2015-11-12,7.22,7.22,6.91,7.13,102650
2015-11-13,7.04,7.28,7.04,7.28,71670
2015-11-16,7.28,7.67,7.24,7.5,362100
2015-11-17,7.56,7.58,7.26,7.26,94360
2015-11-18,7.26,7.45,7.19,7.45,63600
2015-11-19,7.45,7.45,7.3,7.35,100470
2015-11-20,7.3,7.41,7.15,7.15,140270
2015-11-23,7.15,7.17,6.91,6.91,134710
2015-11-24,6.76,6.96,6.7,6.72,173610
2015-11-25,6.59,7.11,6.59,6.72,106990
2015-11-26,6.72,6.96,6.72,6.81,28880
2015-11-27,6.81,7.02,6.7,6.78,38590
2015-11-30,7.09,7.09,6.48,6.85,33290
2015-12-01,7.02,7.02,6.85,6.89,50330
2015-12-02,6.91,7.02,6.91,7.0,38070
2015-12-03,6.96,6.98,6.83,6.98,64260
2015-12-04,6.93,6.93,6.85,6.89,68960
2015-12-07,6.81,7.0,6.81,6.91,19330
2015-12-08,6.83,7.39,6.81,7.39,78480
2015-12-09,7.45,7.67,7.24,7.39,81450
2015-12-10,7.45,7.54,7.3,7.45,2260
2015-12-11,7.28,7.58,7.28,7.45,45820
2015-12-14,7.45,7.52,7.35,7.43,62900
2015-12-15,7.54,7.54,7.35,7.54,106400
2015-12-16,7.56,8.06,7.54,8.06,256790
2015-12-17,8.21,8.55,8.21,8.55,186280
2015-12-18,8.79,8.9,8.51,8.66,124210
2015-12-21,8.51,8.81,8.32,8.53,41380
2015-12-22,8.53,8.64,8.53,8.55,34780
2015-12-23,8.43,8.58,8.32,8.34,60530
2015-12-24,8.34,8.92,8.34,8.9,441030
2015-12-25,8.9,9.33,8.86,8.86,104100
2015-12-28,8.88,9.25,8.86,8.86,151940
2015-12-29,8.92,9.05,8.73,8.73,70570
2015-12-30,8.73,8.86,8.53,8.75,103740
2015-12-31,8.75,9.07,8.68,8.94,89430
2016-01-04,9.07,9.48,9.07,9.46,137010
2016-01-05,9.51,9.55,9.29,9.38,113910
2016-01-06,9.44,9.48,9.07,9.48,80970
2016-01-07,9.48,9.48,8.86,9.18,124930
2016-01-08,8.92,9.18,8.64,8.64,207440
2016-01-11,8.64,8.75,8.34,8.36,66000
2016-01-12,8.36,8.73,8.36,8.73,115360
2016-01-13,8.97,9.07,8.53,8.53,32200
2016-01-14,8.43,8.49,8.19,8.21,126070
2016-01-15,8.4,8.53,8.21,8.53,144430
2016-01-18,8.53,8.53,8.19,8.34,133420
2016-01-19,8.43,8.43,8.21,8.4,70920
2016-01-20,8.47,8.51,8.32,8.32,78060
2016-01-21,8.4,8.49,8.12,8.32,67510
2016-01-22,8.32,8.45,8.21,8.23,85390
2016-01-25,8.43,8.75,8.32,8.71,103750
2016-01-26,8.58,8.58,8.32,8.38,54560
2016-01-27,8.25,8.43,7.93,7.99,300050
2016-01-28,7.56,7.82,7.45,7.45,307180
2016-01-29,7.35,7.56,7.24,7.32,145010
2016-02-01,7.17,7.45,7.02,7.22,76760
2016-02-02,7.35,7.35,7.02,7.17,30790
2016-02-03,7.04,7.43,6.96,7.43,61980
2016-02-04,7.3,7.56,7.3,7.35,24960
2016-02-05,7.43,7.45,7.3,7.43,7870
2016-02-15,7.3,7.39,7.13,7.24,38680
2016-02-16,7.26,7.45,7.15,7.35,58670
2016-02-17,7.37,7.37,7.24,7.32,20060
2016-02-18,7.41,7.41,7.19,7.19,89830
2016-02-19,7.19,7.41,7.19,7.24,121750
2016-02-22,7.26,7.56,7.26,7.56,88240
2016-02-23,7.56,7.97,7.56,7.89,183910
2016-02-24,7.78,7.89,7.56,7.82,109620
2016-02-25,7.82,7.82,7.37,7.45,102540
2016-02-26,7.45,7.56,7.26,7.3,77100
2016-02-29,7.24,7.35,6.81,6.81,214650
2016-03-01,6.59,6.74,6.48,6.55,213180
2016-03-02,6.55,6.83,6.55,6.61,106140
2016-03-03,6.61,6.93,6.61,6.93,92230
2016-03-04,6.93,6.93,6.78,6.78,107600
2016-03-07,6.78,6.85,6.65,6.7,67370
2016-03-08,6.76,6.78,6.65,6.65,73330
2016-03-09,6.68,6.74,6.61,6.7,48100
2016-03-10,6.52,6.78,6.52,6.59,71660
2016-03-11,6.63,6.7,6.55,6.55,79560
2016-03-14,6.65,6.65,6.26,6.26,308090
2016-03-15,6.29,6.31,5.83,5.83,406870
2016-03-16,5.9,6.14,5.88,6.05,65130
2016-03-17,6.16,6.24,6.07,6.22,57860
2016-03-18,6.2,6.2,6.07,6.11,80830
2016-03-21,6.26,6.33,6.14,6.22,72880
2016-03-22,6.33,6.57,6.26,6.46,160480
2016-03-23,6.48,6.68,6.48,6.65,96340
2016-03-24,6.72,6.78,6.37,6.44,192030
2016-03-25,6.39,6.44,6.22,6.44,104470
2016-03-28,6.46,6.46,6.26,6.31,72930
2016-03-29,6.35,6.59,6.35,6.48,224570
2016-03-30,6.5,6.5,6.26,6.42,81210
2016-03-31,6.31,6.52,6.31,6.5,209960
2016-04-01,6.48,6.5,6.42,6.48,152060
2016-04-04,6.5,6.59,6.46,6.55,168020
2016-04-05,6.48,6.59,6.48,6.57,32930
2016-04-06,6.57,6.57,6.29,6.29,75450
2016-04-07,6.22,6.55,6.22,6.52,114120
2016-04-08,6.52,6.59,6.48,6.57,94130
2016-04-11,6.7,7.02,6.7,7.02,287140
2016-04-12,7.3,7.35,7.13,7.28,210230
2016-04-13,7.26,7.56,7.13,7.26,140290
2016-04-14,7.26,7.5,7.26,7.45,178320
2016-04-15,7.35,7.54,7.24,7.24,99540
2016-04-19,7.13,7.26,6.93,6.96,128400
2016-04-20,6.96,7.06,6.72,6.91,138520
2016-04-21,6.91,7.04,6.89,7.04,59260
2016-04-22,7.06,7.13,6.98,6.98,46780
2016-04-25,7.13,7.37,6.98,7.32,138250
2016-04-26,7.35,7.67,7.24,7.54,148990
2016-04-27,7.6,7.99,7.54,7.91,178990
2016-04-28,7.91,7.91,7.65,7.71,138140
2016-04-29,7.26,7.76,7.26,7.71,112540
2016-05-04,7.78,7.86,7.58,7.82,59530
2016-05-05,7.82,7.86,7.67,7.69,60900
2016-05-06,7.63,7.84,7.6,7.8,131130
2016-05-09,7.86,8.14,7.8,7.97,161540
2016-05-10,7.99,7.99,7.86,7.97,31900
2016-05-11,8.06,8.06,7.95,7.99,86690
2016-05-12,8.31,8.31,8.06,8.06,83290
2016-05-13,8.06,8.13,8.06,8.06,93570
2016-05-16,8.06,8.24,7.97,8.13,59040
2016-05-17,8.17,8.22,8.13,8.17,16480
2016-05-18,8.19,8.19,8.04,8.04,60480
2016-05-19,8.08,8.13,8.02,8.08,70820
