time,open,high,low,close,volume
2015-07-09,34.91,34.91,34.91,34.91,144690
2015-07-10,36.08,36.08,34.91,34.99,74430
2015-07-13,34.99,35.35,33.75,34.26,163280
2015-07-14,34.26,34.84,34.18,34.4,75460
2015-07-15,34.4,35.35,34.4,34.84,66310
2015-07-16,34.84,35.35,34.62,34.84,36570
2015-07-17,34.84,34.84,33.89,33.89,13040
2015-07-20,33.89,33.89,32.8,33.82,48350
2015-07-21,33.53,34.26,33.53,33.82,21820
2015-07-22,33.53,33.82,33.16,33.75,23050
2015-07-23,33.75,33.75,32.8,33.16,48500
2015-07-24,33.16,33.16,32.43,33.16,21890
2015-07-27,33.16,34.26,33.16,33.75,53510
2015-07-28,34.4,34.62,33.31,33.38,80590
2015-07-29,33.38,34.26,33.38,33.53,101090
2015-07-30,35.0,35.0,33.49,33.81,29970
2015-07-31,33.81,34.2,33.49,33.57,46090
2015-08-03,32.85,33.25,31.26,32.06,165220
2015-08-04,32.37,32.53,31.02,32.53,72840
2015-08-05,32.61,33.25,32.53,33.25,42710
2015-08-06,33.25,33.25,31.74,32.14,53940
2015-08-07,32.06,32.37,30.86,31.26,116340
2015-08-10,30.78,31.58,30.07,31.26,137370
2015-08-11,31.26,32.61,30.23,31.74,174740
2015-08-12,31.42,31.58,30.86,31.18,104350
2015-08-13,30.7,31.02,30.31,30.31,44250
2015-08-14,30.23,30.62,29.83,30.07,77170
2015-08-17,29.83,30.23,29.27,29.27,37150
2015-08-18,29.27,30.15,29.11,30.15,55110
2015-08-19,30.23,31.18,29.99,30.54,59420
2015-08-20,30.54,30.54,29.99,29.99,18300
2015-08-21,29.99,29.99,28.08,28.95,65550
2015-08-24,27.92,27.92,26.97,26.97,76790
2015-08-25,25.14,28.64,25.14,28.64,178900
2015-08-26,28.64,29.43,28.0,29.43,44210
2015-08-27,29.43,29.43,28.56,28.56,74130
2015-08-28,28.56,30.54,28.56,30.54,164970
2015-08-31,30.54,30.54,29.75,30.15,34720
2015-09-01,30.15,30.15,29.43,29.43,29750
2015-09-03,29.19,29.35,27.84,29.03,42840
2015-09-04,28.79,28.79,28.32,28.64,13440
2015-09-07,28.64,28.64,28.4,28.4,17560
2015-09-08,28.4,28.64,27.92,28.08,58680
2015-09-09,28.64,28.95,28.24,28.64,42160
2015-09-10,28.4,28.64,28.32,28.48,11310
2015-09-11,28.24,28.79,28.24,28.48,14390
2015-09-14,30.47,30.47,29.91,30.47,190190
2015-09-15,30.47,32.45,30.47,32.22,92460
2015-09-16,31.98,33.01,31.82,32.22,75210
2015-09-17,31.82,31.82,31.02,31.02,38410
2015-09-18,31.82,32.29,30.86,31.58,26220
2015-09-21,31.58,31.82,31.02,31.26,41350
2015-09-22,31.74,31.74,30.94,31.02,23750
2015-09-23,30.78,31.34,30.78,31.34,8960
2015-09-24,31.66,32.22,31.18,31.5,37460
2015-09-25,31.42,32.45,31.42,31.5,108830
2015-09-28,32.14,32.85,31.66,32.85,53400
2015-09-29,32.61,34.2,32.22,33.65,98040
2015-09-30,33.97,35.24,33.97,35.0,160970
2015-10-01,35.0,35.79,35.0,35.79,66150
2015-10-02,35.87,36.99,35.87,36.83,31350
2015-10-05,36.75,37.23,35.4,36.91,162120
2015-10-06,36.91,37.7,35.79,37.39,142340
2015-10-07,37.54,38.1,36.99,37.39,62810
2015-10-08,37.39,38.5,37.39,38.1,84030
2015-10-09,38.1,38.1,36.99,37.54,110600
2015-10-12,36.59,37.54,36.59,36.83,27810
2015-10-13,36.59,37.23,36.19,36.83,64900
2015-10-14,36.27,37.39,36.27,37.39,51210
2015-10-15,37.46,38.66,37.46,38.18,70370
2015-10-16,38.18,38.34,37.39,37.39,64840
2015-10-19,37.39,38.1,37.39,37.78,80630
2015-10-20,37.78,38.42,37.78,38.34,79640
2015-10-21,38.58,40.96,38.58,40.96,38780
2015-10-22,41.36,43.75,41.36,42.95,52650
2015-10-23,43.75,43.75,40.96,40.96,35170
2015-10-26,41.36,43.35,40.96,43.35,51190
2015-10-27,45.34,46.14,45.34,46.14,56440
2015-10-28,49.32,49.32,48.92,49.32,59390
2015-10-29,52.5,52.5,49.32,51.31,119560
2015-10-30,51.31,51.31,48.92,48.92,62550
2015-11-02,47.73,48.92,45.74,45.74,97430
2015-11-03,43.35,45.74,42.56,45.74,144380
2015-11-04,45.74,45.74,42.56,42.56,50780
2015-11-05,40.57,42.16,39.77,40.96,68640
2015-11-06,41.36,41.76,38.98,39.77,102380
2015-11-09,40.96,42.56,40.17,42.56,74130
2015-11-10,44.54,45.34,43.75,45.34,115930
2015-11-11,45.34,45.34,43.75,43.75,59310
2015-11-12,43.75,43.75,41.76,43.35,47980
2015-11-13,43.35,44.54,42.16,44.15,34000
2015-11-16,43.75,44.94,43.35,43.75,36640
2015-11-17,43.35,43.75,42.16,42.16,40340
2015-11-18,42.16,42.95,41.76,42.16,32360
2015-11-19,41.36,42.56,40.96,42.16,30000
2015-11-20,41.76,42.56,41.76,42.16,20230
2015-11-23,42.16,42.56,41.36,42.56,15530
2015-11-24,42.56,42.56,41.36,41.36,22740
2015-11-25,41.76,42.56,41.36,42.56,24590
2015-11-26,42.56,42.56,40.57,40.96,15330
2015-11-27,40.57,40.96,40.17,40.17,44530
2015-11-30,39.77,39.77,39.37,39.37,32960
2015-12-01,39.06,39.77,38.98,38.98,29630
2015-12-02,39.37,39.53,39.37,39.53,5580
2015-12-03,39.14,39.37,38.98,39.37,9460
2015-12-04,39.37,39.37,38.42,39.21,15380
2015-12-07,38.42,38.98,38.42,38.58,5530
2015-12-08,38.18,38.9,37.46,38.26,23750
2015-12-09,38.26,38.58,37.86,38.18,19460
2015-12-10,38.34,40.57,38.26,40.57,23600
2015-12-11,40.57,40.57,39.77,40.17,12150
2015-12-14,39.77,41.36,39.77,40.57,6950
2015-12-15,40.17,40.57,40.17,40.17,10250
2015-12-16,40.57,42.16,40.17,40.96,43120
2015-12-17,41.76,41.76,40.96,40.96,14040
2015-12-18,41.76,41.76,39.77,39.77,19540
2015-12-21,40.57,40.57,38.58,38.58,15970
2015-12-22,38.26,38.58,38.1,38.1,14720
2015-12-23,40.17,40.17,37.54,37.54,22440
2015-12-24,38.1,39.69,37.78,39.69,16350
2015-12-25,39.69,39.69,38.98,39.69,15100
2015-12-28,40.57,40.57,38.18,39.37,17240
2015-12-29,38.42,39.61,38.34,39.37,17000
2015-12-30,39.37,39.37,38.58,39.21,4670
2015-12-31,39.77,40.57,39.69,40.57,48170
2016-01-04,40.17,43.35,40.17,42.95,68810
2016-01-05,43.35,43.35,40.57,41.36,72900
2016-01-06,42.16,42.95,41.76,42.95,38890
2016-01-07,42.95,42.95,40.57,42.16,44430
2016-01-08,42.16,42.16,40.57,40.57,39930
2016-01-11,40.17,40.96,39.77,39.77,12370
2016-01-12,40.17,40.57,39.77,40.57,33900
2016-01-13,40.17,41.36,39.77,40.17,8460
2016-01-14,39.77,39.77,39.37,39.61,37850
2016-01-15,39.61,40.57,38.98,39.14,13190
2016-01-18,36.59,38.58,36.59,38.18,37540
2016-01-19,37.78,39.77,37.78,38.58,22010
2016-01-20,39.77,39.77,38.58,38.58,10810
2016-01-21,35.95,36.75,35.95,35.95,154950
2016-01-22,33.49,34.6,33.49,33.49,135120
2016-01-25,31.18,33.81,31.18,31.18,56700
2016-01-26,29.11,31.66,29.11,31.02,93270
2016-01-27,31.42,31.58,29.67,31.1,8150
2016-01-28,31.1,31.42,31.02,31.02,39310
2016-01-29,30.31,31.1,30.31,30.7,37710
2016-02-01,30.7,30.7,28.72,28.72,89150
2016-02-02,27.52,28.64,26.73,26.73,424420
2016-02-03,25.06,26.25,24.9,26.25,367730
2016-02-04,25.93,28.08,25.85,28.08,18750
